Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
2. Naughty Nash,D,2,6,30.0,440,2025-07-18,GOUL,M,24.96,24.92,24.64,,0.75,Thirteen Plus,83222,5.0
"",D,3,2,30.0,400,2025-07-14,MAIT,M,22.65,22.33,22.24,5.5,4.5,Eureka Mac,5653,18.0
"",D,5,4,30.6,320,2025-06-18,RICH,M,18.93,18.65,18.25,2.35,4.0,Sandi Kingdom,8875,4.6
"",D,3,8,30.1,400,2025-06-09,MAIT,M,23.57,23.02,22.47,5.48,7.75,Futsal,7463,2.3
"",D,2,6,30.3,400,2025-06-02,MAIT,M,22.99,22.97,22.19,5.52,0.25,Futsal,5332,2.6
4. Magnificent,B,7,6,24.1,365,2025-07-14,NOWR,M,21.66,20.95,20.54,9.29,10.0,Donna Don't Stop,77,23.0
"",B,4,8,23.9,365,2025-07-07,NOWR,M,21.3,21.04,20.52,8.98,3.75,Kung Fu Bay,54,5.5
"",B,5,4,23.8,365,2025-06-30,NOWR,M,21.41,21.05,20.38,9.06,5.25,Gramercy Gift,65,8.0
"",B,3,3,24.2,365,2025-06-16,NOWR,M,21.62,20.68,20.5,9.17,13.25,Gramercy Beat,73,9.5
"",B,3,1,24.5,330,2025-06-11,TEMA,M,19.19,18.94,18.79,,3.5,Blue Swallow,3,4.0
