Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. IT'S A CHAPPLE,B,1,2,27.4,300,2025-06-25,HEA,Maiden,17.643,17.643,17.065,4.169,0.25,LITTLE SPLINTER,1,15.0
"",B,8,5,27.6,400,2025-06-19,WAR,Tier 3 - Maiden,23.896,22.96,22.789,9.0895,14.0,JUMBUK MAHMOOD,8,16.0
"",B,8,8,27.4,300,2025-06-15,HEA,Maiden,17.693,17.248,16.547,4.1405,6.75,RATTLIN' BONES,8,16.0
"",B,7,6,27.3,300,2025-06-08,HEA,Maiden,18.055,17.303,16.788,,11.25,MADE BY MIA,7,7.5
2. BLACK MAHIKA,B,3,8,25.3,300,2025-06-20,HEA,Tier 3 - Maiden,17.302,17.103,16.912,,3.0,MAXIMUM JASMINE,3,3.6
"",B,3,8,25.9,300,2025-04-23,HEA,Maiden,17.274,17.196,16.941,4.0465,1.25,DROP AND RUN,3,12.0
"",B,7,7,26.0,390,2025-04-14,SHE,Maiden,23.318,22.632,21.967,,10.25,ASTON RICHIE,7,9.0
"",B,8,1,26.2,300,2025-02-25,HEA,Maiden,17.704,17.086,16.764,4.116,9.25,GREEK SNIPER,8,5.0
3. Black Fire,D,2,3,31.8,300,2025-06-20,HEA,Tier 3 - Maiden,17.11,17.103,16.912,,0.25,MAXIMUM JASMINE,2,4.6
"",D,3,6,32.1,300,2025-06-13,HEA,Tier 3 - Maiden,17.356,17.325,16.99,4.2145,0.5,ELLA AUDACIOUS,3,4.4
"",D,3,1,32.1,300,2025-06-08,HEA,Maiden,17.576,17.3,16.788,,4.25,GLAMOROUS JEWEL,3,8.0
"",D,4,5,32.8,300,2024-07-14,HEA,Maiden,17.543,17.1,16.686,4.13,6.75,PLAYBACK,4,16.3
4. BLAZING GIRL,B,5,6,27.5,435,2025-06-18,SAL,Maiden,25.295,24.796,24.481,5.4425,7.5,RIO IZZY,5,15.0
"",B,7,6,27.5,400,2024-06-04,WAR,Tier 3 - Maiden,23.635,23.053,22.816,8.8995,8.75,CRYPTO PRINCE,7,62.2
"",B,7,1,27.3,400,2024-05-30,WAR,Tier 3 - Maiden,24.01,23.229,22.958,8.8995,11.75,DANCING DARCIE,7,6.8
"",B,6,1,27.9,435,2024-01-28,SAL,Maiden,25.427,24.834,24.223,5.285,8.5,DR. ANNE,6,37.9
"",B,5,7,27.7,350,2024-01-19,HEA,Tier 3 - Maiden,20.212,19.655,19.655,6.7425,8.0,LITTLE FAST BULL,5,35.5
5. SWIFTLY DEALT,B,8,7,26.0,425,2025-06-25,BEN,Tier 3 - Maiden,25.255,24.664,24.085,6.93925,9.0,BIRDHILL NED,8,10.0
"",B,5,2,26.0,390,2025-06-19,SHE,Maiden,23.71,22.65,22.231,,16.0,LILAH RAINBOW,5,26.0
"",B,7,7,26.1,390,2025-06-12,SHE,Maiden,23.692,22.837,22.393,,13.0,SO ANGELIC,7,26.0
"",B,7,6,26.0,400,2025-06-03,GEE,Maiden,23.936,23.421,22.676,,7.75,ZINZAN CIAN,7,15.0
"",B,6,4,25.9,425,2025-05-28,BEN,Tier 3 - Maiden,25.093,24.155,24.155,,14.0,SIMPLY NED,6,14.0
6. GUACAMOLE IRISH,D,5,3,32.0,300,2025-06-13,HEA,Tier 3 - Maiden,17.441,17.325,16.99,4.1795,1.75,ELLA AUDACIOUS,5,5.0
"",D,2,4,32.3,300,2025-06-06,HEA,Tier 3 - Maiden,17.118,16.998,16.808,4.065,2.0,SERRATUS,2,6.0
