Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Zipping Mario,D,5,8,33.0,400,2025-06-13,GRDN,5,23.42,23.22,22.79,11.58,2.75,Hooked On Iraola,865,10.0
"",D,6,8,32.9,350,2025-06-10,GRAF,5,20.92,20.31,20.1,4.29,8.75,Slimy Trout,6,3.5
"",D,6,6,33.6,400,2024-11-28,MAIT,5,23.68,22.59,22.27,5.54,15.5,Noah,6666,2.8
"",D,5,4,33.4,400,2024-11-19,BUL,5,23.03,22.32,22.23,6.65,10.0,Written In Gold,5655,5.0
"",D,5,5,34.1,520,2024-09-06,RICH,5,30.55,29.91,29.41,4.46,9.25,Zipping Darla,34225,5.5
2. Limeburner Opal,B,8,9,27.9,400,2025-05-09,GRDN,4/5,24.05,22.74,22.74,11.47,18.5,Solar Rush,378,71.0
"",B,8,8,28.4,400,2025-04-11,GRDN,5,23.82,22.91,22.77,11.41,13.0,Aussie Bell,158,26.0
"",B,5,3,28.2,400,2025-03-28,GRDN,5,23.95,23.0,22.82,11.33,13.5,Cranky Cruiser,135,81.0
"",B,8,10,28.3,400,2025-03-14,GRDN,5,24.32,23.47,22.72,11.49,12.25,Full Tilt Tom,328,101.0
"",B,7,4,28.7,400,2025-03-07,GRDN,5,23.75,22.97,22.58,11.18,11.0,Jack Jack Binks,117,71.0
3. Eureka Remi,B,1,5,26.9,300,2025-06-25,TARE,5,17.65,17.65,17.26,6.62,5.25,Miss Clarence,411,3.3
"",B,7,3,27.6,400,2025-04-11,GRDN,5,23.75,23.23,22.77,11.45,7.5,Salem Sweetheart,647,19.0
"",B,4,7,27.7,324,2025-03-20,RICS,M3,18.42,18.04,17.46,7.3,5.25,Pumpkin Eater,6724,13.0
"",B,8,9,26.8,400,2025-03-08,GRDN,M2/M3,23.93,23.19,22.44,11.6,10.5,Johnny Red,788,61.0
"",B,7,3,26.5,515,2025-03-01,GRDN,4/5,31.03,30.0,29.79,5.25,14.5,Messy And Untidy,77777,61.0
4. Red Digger,B,8,6,27.3,400,2025-06-23,MAIT,5,24.47,22.53,22.37,5.46,27.75,Tarawi,6588,21.0
"",B,4,2,27.1,400,2025-06-20,GRDN,5,23.5,23.36,22.4,11.32,2.0,Elusive Lenny,624,17.0
"",B,4,1,27.4,336,2025-06-14,MUSW,4,19.68,19.47,19.34,,3.0,Gunnell Girl,554,4.4
"",B,8,3,27.0,431,2025-05-17,MUSW,5,26.21,24.96,24.96,,17.75,Fascinate Vern,8,21.0
"",B,4,8,26.8,388,2025-05-13,GOSF,5,23.06,22.76,22.23,10.56,4.25,Real Express,4334,3.9
5. Fantastic Maxine,B,6,6,26.3,297,2025-06-26,DAPT,5,18.07,17.59,16.98,5.52,6.75,Datora's Memory,566,11.0
"",B,7,9,26.0,401,2025-06-20,RICH,5,24.21,23.03,22.6,7.15,16.75,Canya Sapphire,8887,71.0
"",B,7,7,26.1,365,2025-06-16,NOWR,5,21.82,20.93,20.5,9.35,12.75,Uncle Walter,77,4.2
"",B,6,4,26.5,297,2025-06-12,DAPT,5,17.9,17.28,16.92,5.54,8.75,Teresa's Angel,466,5.0
"",B,4,3,26.4,365,2025-06-09,NOWR,5,21.3,21.11,20.5,8.94,2.5,Fancy Bentley,54,16.0
6. Toxic Label,D,5,7,33.7,515,2025-06-07,GRDN,5,30.68,30.19,29.55,5.23,7.0,Smooth White,4465,16.0
"",D,7,2,33.4,515,2025-05-29,GOSF,5,30.31,29.63,29.63,4.64,9.75,Canya Not,55677,26.0
"",D,4,1,32.9,515,2025-05-17,GRDN,4/5,30.15,29.54,29.54,5.11,8.75,Flying Goddess,3434,34.0
"",D,4,3,33.4,400,2025-05-12,MAIT,M3,23.09,22.72,21.94,5.51,5.25,Cawbourne Spade,4444,4.2
"",D,4,8,33.4,515,2025-05-09,GRDN,5,30.19,29.69,29.5,5.15,7.0,Jasper Darke,4544,41.0
7. Aussie Audrey,B,4,5,26.7,400,2025-06-21,GRDN,5,23.7,23.48,22.82,11.53,3.0,Proud Choice,134,23.0
"",B,8,1,26.7,400,2025-06-13,GRDN,5,24.12,23.39,22.79,11.72,10.25,Fire Motto,788,34.0
"",B,6,6,26.4,400,2025-06-06,GRDN,5,24.21,23.97,22.82,11.81,3.5,Kiarni Phantom,486,101.0
"",B,6,4,26.2,400,2025-05-16,GRDN,5,23.66,22.9,22.59,11.56,10.75,Wade's Edge,466,31.0
"",B,4,4,26.3,400,2025-05-12,MAIT,5,23.39,22.73,21.94,5.43,9.25,Boom Boom Tommy,2344,34.0
8. Fusion Law,D,8,7,27.8,388,2025-06-24,GOSF,5,23.88,22.21,22.08,11.07,23.75,She Will Kick,88,101.0
"",D,5,4,27.7,388,2025-05-31,GOSF,5,23.83,22.57,22.2,10.94,18.0,Redshift Foxtrot,3855,51.0
"",D,8,8,26.7,400,2025-05-10,GRDN,5,24.86,23.31,22.76,12.05,22.0,Sea Surge,588,9.0
"",D,7,3,27.2,400,2025-05-03,GRDN,5,24.62,23.64,22.54,11.98,14.0,Wamba Nella,657,21.0
"",D,5,5,27.0,388,2025-04-29,GOSF,5,23.49,22.53,22.02,10.64,13.75,Tilly's On Top,55,16.0
