Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DURAN NIRVANA,D,5,4,32.8,450,2025-06-25,BAL,Maiden,26.694,26.185,25.722,,7.75,PHOENIX VIOLET,5,6.0
"",D,3,8,32.9,525,2025-06-18,MEA,Maiden Heat,31.188,30.936,29.967,,4.0,ASCEND HIBISCUS,3,6.0
2. ASTON BUGSY,D,6,6,33.0,460,2025-06-17,WAR,Maiden,28.046,26.727,25.776,,19.75,CODICIL,6,2.6
"",D,3,2,32.8,460,2025-05-29,GEE,Maiden Heat,26.161,25.786,25.708,6.692,5.75,SHAQ IN BLACK,3,3.4
4. ASCEND FERN,D,3,6,30.0,450,2025-06-25,BAL,Maiden,26.455,26.185,25.722,,4.25,PHOENIX VIOLET,3,4.2
"",D,4,4,29.6,525,2025-06-18,MEA,Maiden Heat,31.317,30.936,29.967,,5.75,ASCEND HIBISCUS,4,6.0
6. ACCESSIBLE,D,8,2,34.5,460,2025-05-29,GEE,Maiden Heat,26.874,25.92,25.708,6.8445,14.25,EXTREME HAVOC,8,2.8
7. MY BOY SONNY,D,8,4,31.9,400,2025-05-29,GEE,Maiden Heat,23.54,22.818,22.589,8.90175,11.0,PARTY OUT BACK,8,12.0
8. BOMB SUE,B,6,2,31.6,450,2025-06-25,BAL,Maiden,26.846,26.185,25.722,,10.0,PHOENIX VIOLET,6,8.0
"",B,6,5,31.2,525,2025-06-18,MEA,Maiden Heat,31.353,30.936,29.967,,6.25,ASCEND HIBISCUS,6,7.0
