Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Keegan's Reports,D,2,7,29.1,300,2025-07-23,TARE,M,17.89,17.31,17.31,6.59,8.25,Eader,122,31.0
2. Stratavon Sissy,B,6,1,25.1,300,2025-06-28,TARE,M,18.63,17.97,17.33,6.72,9.25,Little Kaos,646,19.0
"",B,5,5,25.0,400,2025-06-09,MAIT,M,23.82,22.79,22.47,5.61,14.5,Tarawi,8875,51.0
"",B,8,5,26.8,300,2025-04-12,TARE,M,18.63,17.95,17.58,6.9,9.75,Majestic Jojo,878,21.0
3. Rebel Whacker,B,7,7,31.1,300,2025-07-02,TARE,M,18.58,17.28,17.16,6.76,18.5,Miss Beaujolais,677,71.0
"",B,7,4,31.3,300,2025-06-28,TARE,M,18.57,17.82,17.33,6.78,10.5,Rough Passage,457,81.0
"",B,5,3,31.1,300,2025-06-18,TARE,M,18.76,17.86,17.33,6.95,12.75,Al Can Do,655,71.0
"",B,6,9,30.6,272,2025-06-11,GRDN,M,16.73,16.17,15.66,4.72,8.0,Sketchy Stories,866,41.0
"",B,5,1,30.2,272,2025-05-17,GRDN,M,16.7,15.94,15.69,4.69,10.75,Home Schooled,225,34.0
4. Fab Prince,D,6,3,30.2,300,2025-07-05,TARE,M,18.39,17.87,17.52,6.88,7.5,Kicker Mini,876,4.8
"",D,6,6,32.2,300,2024-12-07,TARE,M,18.41,17.53,17.33,6.74,12.5,Ricardo Got Zip,546,34.0
"",D,8,2,31.2,300,2024-11-16,TARE,M,19.27,17.78,17.41,6.98,21.25,Stratavon Kiwi,678,16.0
"",D,6,8,31.0,300,2024-11-02,TARE,M,18.53,17.9,17.23,6.84,9.0,Petite Whacker,766,10.0
5. Turbo Whacker,D,8,6,36.3,300,2025-04-26,TARE,M,18.86,17.65,17.29,6.82,17.25,Fabio Zed,668,81.0
"",D,8,5,36.3,300,2025-04-19,TARE,M,19.08,17.67,17.38,6.82,20.25,Imagine The Fun,668,51.0
6. Wildfire Miss,B,8,8,22.1,300,2025-07-23,TARE,M,18.41,17.6,17.31,6.74,11.5,Inner West,368,61.0
"",B,4,6,22.0,300,2025-07-05,TARE,M,18.35,17.87,17.52,6.77,6.75,Kicker Mini,144,19.0
"",B,5,8,23.8,300,2025-05-14,TARE,M,19.19,17.39,17.32,6.83,25.75,Manila Ghost,245,71.0
"",B,5,9,23.3,300,2025-04-12,TARE,M,18.4,17.7,17.58,6.74,10.0,Splash Of Red,565,61.0
"",B,5,1,23.7,300,2025-02-22,TARE,M,18.35,17.83,17.34,6.7,7.5,Boots And All,135,41.0
7. Simplicity Magic,D,4,8,33.8,450,2025-07-21,MAIT,M,25.58,25.3,25.26,8.07,4.0,More Rain,5444,11.0
"",D,2,1,34.1,400,2025-07-14,MAIT,M,22.7,22.4,22.24,5.44,4.25,Prince Of Persia,1222,6.0
8. We So Cunning,D,7,5,31.9,300,2025-06-25,TARE,M,18.59,17.79,17.26,6.96,11.5,Jilliby Dymar,687,11.0
"",D,4,6,31.6,300,2025-06-18,TARE,M,18.26,17.86,17.33,6.83,5.75,Al Can Do,744,13.0
"",D,5,2,32.5,300,2025-04-26,TARE,M,18.27,17.65,17.29,6.85,8.75,Fabio Zed,775,9.5
"",D,8,5,31.9,300,2024-09-14,TARE,M,18.98,17.63,17.24,7.26,19.25,Zipping Cagney,888,10.0
"",D,7,3,31.9,400,2024-06-06,MAIT,M,23.78,23.03,22.27,5.69,10.5,Mekong Ruby,7757,12.0
9. Buffalina,B,6,8,25.0,300,2025-07-05,TARE,M,18.61,18.02,17.52,6.69,8.25,Stratavon Bear,536,14.0
"",B,5,2,25.7,300,2025-06-21,TARE,M,18.35,17.78,17.37,6.91,8.25,Big Cool Kaos,665,9.5
"",B,8,7,25.5,300,2025-05-27,CASO,M,18.11,17.05,16.75,2.53,15.0,Integrity Bet,3888,17.0
10. Unique Whacker,D,8,5,32.5,300,2025-06-28,TARE,M,18.64,17.82,17.33,6.84,11.75,Rough Passage,778,81.0
"",D,6,2,32.4,300,2025-06-18,TARE,M,18.82,17.86,17.33,7.01,13.75,Al Can Do,866,71.0
"",D,6,2,31.5,272,2025-05-17,GRDN,M,16.85,15.73,15.69,4.73,16.0,Kasey's Way,56,61.0
"",D,7,1,31.9,300,2025-04-26,TARE,M,18.63,17.55,17.29,6.87,15.5,Pearl Shiraz,887,101.0
"",D,8,3,32.2,300,2025-04-19,TARE,M,18.9,17.6,17.38,6.92,18.5,She's Elaborate,888,61.0
