Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. PATH TO NIRVANA,D,6,8,31.6,300,2025-06-22,HEA,Grade 5,17.028,16.632,16.519,,6.0,CHEMICAL EROSION,6,12.0
"",D,5,8,31.9,300,2025-06-15,HEA,Mixed 4/5,16.974,16.777,16.547,4.06525,3.0,MR. OTTO,5,10.0
"",D,4,7,31.9,300,2025-06-08,HEA,Grade 5,17.313,17.113,16.788,4.121,3.0,ANGRY ELLIE,4,10.0
"",D,8,6,31.6,300,2025-06-01,HEA,Grade 5,17.286,16.804,16.604,4.3085,7.25,BLAZING DINO,8,4.6
"",D,4,5,31.6,300,2025-05-25,HEA,Grade 5,16.955,16.572,16.572,4.18125,5.75,FEIKUAI CALVIN,4,10.0
2. MALLY BOY,D,1,4,30.5,435,2025-06-04,SAL,Grade 5 T3,24.941,24.941,24.585,5.24,0.75,SON OF DUKE,1,3.5
"",D,1,1,30.3,435,2025-05-28,SAL,Mixed 4/5,24.889,24.889,24.889,,1.25,Swooping Swan,1,4.2
"",D,3,6,30.1,435,2025-05-21,SAL,Grade 5 T3,24.884,24.795,24.795,5.2,1.5,BRENDEN,3,3.2
"",D,3,1,30.0,435,2025-05-11,SAL,Grade 5,24.951,24.77,24.166,5.25,2.75,BRINDLE CHIC,3,3.2
"",D,1,3,29.7,435,2025-05-07,SAL,Grade 5 T3,24.954,24.954,24.575,5.26,0.75,Mighty Hannibal,1,5.5
3. RUBY'S SHOW,B,3,8,27.1,390,2025-06-25,BAL,Grade 5,22.873,22.559,22.226,,4.75,VALLETTA DASH,3,6.0
"",B,7,7,27.0,400,2025-06-20,GEE,Mixed 4/5,23.1,22.3,22.3,,12.0,NEEDFUL,7,12.0
"",B,5,7,27.1,390,2025-06-16,SHE,Mixed 4/5,22.635,22.226,21.963,8.675,6.25,CINNABAR ICON,5,3.2
"",B,4,7,27.0,390,2025-06-11,BAL,Grade 5,22.689,22.228,21.865,,7.0,MORE BEER PLEASE,4,6.5
"",B,3,4,26.4,390,2025-06-04,WAR,Grade 5 Final,22.087,21.965,21.749,,2.0,Cookie Man,3,10.0
4. PAW REX,D,6,2,31.5,410,2025-06-03,HOR,Grade 4,24.313,23.446,23.326,,13.0,LADY JULIA,6,3.5
"",D,7,7,31.4,390,2025-05-28,WAR,Grade 5 Heat,22.563,21.954,21.884,,9.25,DESIRED,7,3.4
"",D,1,1,31.4,450,2025-05-22,WAR,Grade 5,25.374,25.374,25.303,,4.75,SANTORINI BALE,1,2.0
"",D,7,2,31.4,425,2025-05-09,BEN,Free For All,24.83,23.814,23.814,,15.25,Matt Loch,7,8.0
"",D,1,5,31.5,425,2025-05-02,BEN,Mixed 3/4,23.799,23.799,23.753,,8.0,JETSTREAM ICON,1,5.0
5. PEGASUS BALE,D,2,1,36.7,390,2025-06-25,BAL,Grade 5,22.573,22.42,22.226,,2.5,Kaluna Chaos,2,8.0
"",D,2,6,36.5,400,2025-06-17,WAR,Grade 5,23.069,22.822,22.676,8.6325,3.75,Bon Star,2,6.0
"",D,7,8,36.8,400,2025-06-13,WAR,Grade 5,23.917,22.782,22.58,8.8475,17.0,Celtic Bouy,7,12.0
"",D,2,7,36.1,410,2025-06-10,HOR,Grade 5,24.153,23.908,23.479,,3.75,See Saw Lass,2,16.0
"",D,4,7,36.6,400,2025-06-03,WAR,Grade 5,22.987,22.674,22.492,,4.75,LIGHTNING RANGE,4,15.0
6. DR. BUCK,D,8,5,35.9,460,2025-06-17,WAR,Grade 5 Heat,26.454,25.935,25.776,,7.75,FADE TO BLACK,8,12.0
"",D,6,4,36.2,460,2025-06-06,WAR,S/E Heat,26.099,25.722,25.659,6.91175,5.75,BEBOP JAZZ,6,51.0
