Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Hillston Road,D,5,3,33.4,400,2025-06-22,DUBO,M,24.2,23.3,22.54,9.67,12.75,Ada Taro,7755,4.0
"",D,4,5,32.6,431,2025-06-08,GUNN,MX,25.37,24.64,24.64,11.68,10.25,Bandit Bugsy,2344,12.0
"",D,5,3,33.0,318,2025-05-31,DUBO,M,19.03,18.43,18.11,4.94,8.5,Out Of Duece,6555,6.5
"",D,2,4,33.2,400,2025-05-24,DUBO,M,23.54,23.16,22.95,9.33,5.25,Go Forward Milky,3322,5.0
"",D,2,4,33.5,431,2025-05-21,GUNN,M,25.56,25.47,24.92,11.66,1.25,Indi's Girl,2222,7.5
2. Karoona Kid,D,5,5,33.5,320,2025-06-20,RICH,M,19.23,18.6,18.25,2.23,9.0,Avoca Madness,4465,5.0
"",D,4,8,32.9,320,2025-06-13,RICH,M,18.83,18.41,18.23,2.27,6.0,Cash Worth,6664,12.0
"",D,3,5,32.6,400,2025-06-06,WAGA,M,24.04,23.79,22.81,,3.5,Stagger Out Tim,3,8.5
"",D,6,5,34.1,516,2025-04-28,DUBO,MX,30.7,30.0,30.0,4.62,10.0,No Cents,464466,13.0
"",D,2,5,33.6,400,2025-04-21,DUBO,M,23.2,23.11,22.95,9.13,1.25,Roto Road,3222,4.2
3. Swift Ben,D,4,9,31.8,318,2025-06-22,DUBO,M,18.97,18.46,18.13,4.96,7.25,MINH TOMMY,7444,9.5
"",D,7,2,31.8,318,2025-04-28,DUBO,M,19.33,18.52,18.38,4.95,11.5,Nola Keeping,6877,5.5
4. Mid City Phoenix,B,6,8,26.6,318,2025-06-14,DUBO,M,19.07,18.51,18.17,4.94,8.0,Belly Up,6666,15.0
"",B,5,5,26.3,400,2025-06-07,DUBO,M,24.1,23.64,23.22,9.51,6.5,Junior Creek,2455,9.0
"",B,5,4,26.5,318,2025-05-31,DUBO,M,19.03,18.76,18.11,4.95,3.75,Only Fool,5555,6.5
"",B,2,3,26.4,318,2025-05-26,DUBO,M,18.6,18.47,18.47,4.8,1.75,Madam Zelda,2222,12.0
"",B,3,1,26.2,318,2025-05-24,DUBO,M,18.86,18.58,18.36,4.76,4.0,Miss Ciardo,2233,10.0
5. Sister Creek,B,7,4,26.5,400,2025-06-07,DUBO,M,24.22,23.64,23.22,9.7,8.25,Junior Creek,5677,51.0
"",B,7,3,26.5,340,2025-05-28,GUNN,M,21.13,19.56,19.42,7.14,22.25,Red Rock Royals,8877,34.0
6. Panama Mac,D,8,5,32.0,457,2025-06-25,TEMA,MX,27.35,26.24,26.16,,15.75,Club Miami,8,71.0
"",D,8,8,31.7,318,2025-06-22,DUBO,M,19.69,18.46,18.13,5.1,17.5,MINH TOMMY,8788,26.0
"",D,6,2,31.5,400,2025-06-07,DUBO,M,24.17,23.64,23.22,9.55,7.5,Junior Creek,4566,10.0
7. Rockholes Viv,B,4,4,30.0,400,2025-06-22,DUBO,M,24.12,23.3,22.54,9.53,11.75,Ada Taro,8844,19.0
"",B,7,2,30.0,318,2025-06-14,DUBO,M,19.2,18.51,18.17,4.99,9.75,Belly Up,8877,7.0
"",B,2,10,29.5,318,2025-05-31,DUBO,M,18.77,18.76,18.11,4.82,0.125,Only Fool,1122,13.0
"",B,5,7,29.9,318,2025-05-26,DUBO,M,19.34,18.47,18.47,4.87,12.25,Madam Zelda,5555,26.0
"",B,7,1,29.2,400,2025-05-16,WAGA,M,24.36,23.75,22.75,,8.75,Even Bigger Deal,7,5.5
8. All About Krissy,B,8,8,27.6,400,2025-06-22,DUBO,M,24.61,23.3,22.54,9.56,18.5,Ada Taro,4588,34.0
"",B,2,2,26.5,400,2025-03-03,DUBO,M,23.65,23.5,23.5,9.16,2.0,Kia Keeping,1122,31.0
"",B,7,9,26.7,400,2025-03-01,DUBO,M,24.73,23.09,22.78,10.01,23.5,Shorty,2677,21.0
"",B,6,4,26.9,318,2025-02-22,DUBO,M,19.35,18.5,18.08,4.78,12.25,Armatree Violet,1366,27.0
"",B,5,7,27.3,318,2024-12-30,DUBO,M,19.48,18.75,18.29,5.05,10.25,Bogan Plains,5555,4.6
