Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Aussie Blend,D,6,3,30.5,520,2025-06-19,W/PK,5,30.56,30.18,29.62,5.43,5.25,Zipping Kirk,2116,13.0
"",D,1,1,30.8,440,2025-06-06,GOUL,4/5,24.85,24.85,24.67,5.59,1.5,Foxtrot Ethics,51111,1.35
"",D,6,3,30.6,440,2025-05-23,GOUL,4/5,25.05,24.69,24.69,,5.25,Saint Omagh,33366,4.2
"",D,2,8,31.1,440,2025-05-16,GOUL,5,24.79,24.47,24.47,,4.5,Saint Omagh,65222,2.5
"",D,2,7,31.1,350,2025-05-09,GOUL,NG1-4,19.95,19.74,19.54,,3.0,Shrewd Ethics,6322,3.8
2. Bland Option,B,2,3,30.7,440,2025-05-30,GOUL,5,24.59,24.55,24.55,5.64,0.75,Saint Omagh,21122,4.0
"",B,1,7,30.6,350,2025-05-23,GOUL,5,19.71,19.71,19.48,6.49,2.25,Spring Grim,2111,2.6
"",B,1,5,30.0,297,2025-05-15,DAPT,5,16.94,16.94,16.89,5.36,3.75,Return An Earn,111,1.85
"",B,4,3,29.9,440,2025-05-02,GOUL,5,25.15,24.59,24.17,,8.0,Taw Galaxy,444,2.3
"",B,6,8,28.7,520,2024-12-26,W/PK,5,31.18,29.8,29.64,5.46,19.75,Canya Brew It,1116,4.2
3. Pure Silver,D,2,5,33.3,450,2025-06-15,GRAF,4/5,25.66,25.43,25.08,9.2,3.25,Calypso Rogue,6532,11.0
"",D,3,8,33.6,350,2025-06-06,GOUL,NG,19.94,19.62,19.62,,4.5,SERIAL STICKER,5433,8.5
"",D,4,3,33.4,520,2025-05-17,W/PK,5,30.25,29.97,29.63,5.65,4.0,LEONI BALE,7634,3.7
"",D,4,2,33.1,520,2025-05-10,W/PK,5,30.09,29.96,29.7,5.62,1.75,Canya Brew It,7834,5.0
"",D,2,8,33.0,520,2025-05-03,W/PK,5,30.09,29.8,29.58,5.54,4.25,Cool Junior,7532,9.0
4. Sovereign State,D,3,6,33.0,350,2025-06-20,GOUL,NG1-4,20.36,19.8,19.74,,8.0,YOGEN BALE,3343,6.0
"",D,2,6,32.7,350,2025-06-13,GOUL,4/5,20.06,19.82,19.63,,3.5,Jet Linkin,6522,3.6
"",D,5,1,32.8,440,2025-05-30,GOUL,5,24.98,24.55,24.55,,6.0,Saint Omagh,33455,7.0
"",D,3,1,33.1,440,2025-05-23,GOUL,4/5,24.91,24.69,24.69,,3.0,Saint Omagh,44433,8.0
"",D,5,4,33.0,440,2025-05-16,GOUL,5,24.94,24.47,24.47,,6.5,Saint Omagh,23455,7.5
5. Ziggy Girl,B,3,2,27.5,340,2025-06-17,BUL,M1/M2/M3,19.46,19.12,19.12,3.39,4.75,Just Brew It,4443,8.0
"",B,1,4,27.8,350,2025-06-13,GOUL,M1/M2/M3,19.84,19.84,19.63,6.4,4.25,Orson Jimmy,1111,5.5
"",B,6,8,27.6,340,2025-05-27,BUL,5,19.92,19.68,19.2,3.42,3.5,Prince Sal,4456,4.4
"",B,8,9,27.8,340,2025-05-20,BUL,4/5,19.94,19.2,18.85,3.43,10.5,Our Mumma Jo,4488,13.0
"",B,1,6,27.9,340,2025-05-13,BUL,M2/M3,19.47,19.47,18.98,3.38,1.0,Sirius Cuddles,3311,4.0
6. Tin Roof Rusty,D,1,6,33.2,440,2025-06-20,GOUL,4/5,24.79,24.79,24.79,,2.0,Taw Major,1111,8.0
"",D,3,5,33.6,457,2025-06-04,TEMA,5,26.08,25.78,25.71,,4.25,Gear Five,3,2.2
"",D,3,8,33.5,457,2025-05-28,TEMA,4/5,25.94,25.77,25.77,,2.25,WINCEY BALE,3,3.2
"",D,1,3,33.0,457,2025-04-23,TEMA,5,25.46,25.46,25.46,,3.0,Forest Prince,1,1.85
"",D,1,7,33.0,457,2025-04-16,TEMA,5,25.96,25.96,25.51,,1.5,Irinka Ted,1,1.3
7. Big Ted,D,4,8,38.7,350,2025-06-20,GOUL,5,20.37,19.78,19.74,,8.25,Cambridge King,7764,5.5
"",D,3,7,39.4,350,2025-06-13,GOUL,5,20.29,19.63,19.63,,9.25,Spring Mirage,7433,15.0
"",D,6,5,39.4,350,2025-05-09,GOUL,5,20.42,19.68,19.54,,10.5,Calypso Ethics,5466,3.6
"",D,6,7,39.5,440,2025-04-11,GOUL,5,25.19,24.76,24.64,,6.0,Aussie Blend,4566,6.0
"",D,1,7,39.3,440,2025-03-28,GOUL,5,25.19,25.19,25.0,5.81,3.75,Sutton Sparky,86111,3.7
8. HIBIKI BLUE,B,4,3,24.1,400,2025-06-16,MAIT,5,23.05,22.64,22.15,5.43,5.75,Sweet Street,144,6.5
"",B,6,1,24.3,440,2025-06-13,GOUL,4/5,25.66,25.07,24.49,,8.25,Banjo's Express,666,26.0
"",B,4,2,23.9,350,2025-06-06,GOUL,NG,20.2,19.62,19.62,,8.25,SERIAL STICKER,1544,71.0
"",B,2,7,24.2,520,2025-05-31,W/PK,5,30.38,30.09,29.66,5.56,4.25,Cluster One,1222,5.0
"",B,7,1,24.9,400,2025-05-20,BUL,4,23.31,22.26,22.26,6.7,15.0,Cool Junior,2777,81.0
