Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. WEBLEC POLLY,B,3,1,26.5,410,2025-06-24,HOR,Maiden,24.19,23.635,23.283,,8.5,PAW DROGO,3,4.0
3. BELGIUM SLICE,B,4,3,31.0,425,2025-06-29,BEN,Maiden,24.764,24.385,23.624,,5.75,SALTY SNOOP,4,3.6
4. TEMPO AND TOUCH,D,2,3,37.2,390,2025-06-30,SHE,Maiden,22.528,22.401,21.894,,2.0,PURPLE,2,3.6
5. DYNAMITE ERIC,D,6,2,29.8,410,2025-05-31,HOR,Maiden,24.36,23.714,23.168,10.967,9.75,RAMPAGE ROCKY,6,3.6
7. SOLAR GOLD,D,5,3,32.9,390,2025-07-03,WAR,Maiden,22.769,22.617,21.88,8.995,2.5,CONCRETE KAOS,5,9.0
"",D,2,3,33.3,450,2025-06-19,WAR,Maiden,26.179,25.569,24.716,7.46875,9.25,MOONLIGHT RIVER,2,16.0
"",D,3,1,33.3,410,2025-06-10,HOR,Maiden,24.3,23.893,23.479,,6.25,Super Symon,3,10.0
"",D,4,4,32.9,410,2025-06-03,HOR,Maiden,24.083,23.931,23.326,,2.5,PAW YOCHELLE,4,8.0
"",D,2,4,33.0,410,2025-05-31,HOR,Maiden,23.984,23.714,23.168,10.6975,4.25,RAMPAGE ROCKY,2,5.0
9. MUSTANG ELEANOR,B,6,8,26.1,390,2025-06-30,WAR,Maiden,23.223,22.907,22.299,8.82,4.75,BUSH LASS,6,6.0
"",B,7,3,26.6,390,2025-06-23,WAR,Maiden,23.833,22.389,21.991,9.6525,21.75,WARLINE HENRY,7,3.2
"",B,5,3,26.6,390,2025-06-16,WAR,Maiden,23.007,22.499,22.192,,7.75,SHE REBEL,5,7.5
"",B,2,8,26.4,390,2025-06-11,BAL,Maiden,22.724,22.522,21.865,,3.25,FEDERAL HAVANA,2,12.0
"",B,8,3,26.1,400,2025-06-06,GEE,Maiden,23.743,22.586,22.453,,17.5,ARCHIE'S GIFT,8,10.0
