Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. King Kuna,D,3,2,33.6,601,2025-06-21,CANN,5,35.3,34.88,34.55,10.05,6.0,Junk Yard Clyde,565553,8.0
"",D,2,6,33.3,601,2025-06-14,CANN,4/5,34.88,34.46,34.46,9.89,6.0,ASTON SMOKEY,544422,14.0
"",D,6,3,33.6,520,2025-06-04,CANN,5,30.41,30.26,29.9,5.67,2.0,Simple Sally,77776,21.0
"",D,1,3,33.6,488,2025-05-29,MAND,6,27.93,27.93,27.93,5.96,1.0,Don't Tell Dasha,5531,3.6
"",D,4,8,33.2,520,2025-05-21,CANN,5/6,30.39,30.08,29.91,5.69,4.25,MIDNIGHT MASS,45554,8.0
2. Premium Star,D,6,5,31.7,601,2025-06-21,CANN,OPEN,35.36,34.65,34.55,9.75,10.0,ASTON SMOKEY,323446,21.0
"",D,4,2,31.4,520,2025-06-14,CANN,5,30.16,29.76,29.57,5.69,5.75,Junk Yard Clyde,76554,8.0
"",D,6,6,31.3,520,2025-06-07,CANN,OPEN,30.26,29.56,29.56,5.58,10.0,Bezzecchi,56766,23.0
"",D,5,9,31.0,520,2025-05-31,CANN,5,30.29,29.87,29.6,5.57,6.0,MEPUNGA SCARLETT,55555,8.5
"",D,4,7,30.6,520,2025-05-24,CANN,5,30.59,29.96,29.76,5.6,9.0,Arbolino,44554,4.6
4. Our Girl Jess,B,2,1,27.8,601,2025-06-21,CANN,5,35.28,34.88,34.55,9.93,5.75,Junk Yard Clyde,233332,4.4
"",B,6,3,27.5,601,2025-06-07,CANN,5,37.33,34.3,34.3,12.08,43.25,Incredible Rogue,766666,12.0
"",B,5,2,27.6,601,2025-05-31,CANN,5,35.41,35.02,34.88,9.93,5.5,Lady Sherwood,436665,2.9
"",B,5,8,27.3,520,2025-05-24,CANN,OPEN,30.71,30.22,29.76,5.7,7.0,Catch The Feels,75655,9.5
"",B,7,8,27.3,601,2025-05-10,CANN,5,35.23,34.76,34.76,10.31,6.5,Panadero Magic,887777,23.0
6. Fire Fly Lane,B,4,5,27.2,520,2025-06-18,CANN,4/5,30.35,29.9,29.9,5.76,6.25,Michigan,77754,71.0
"",B,4,8,27.0,488,2025-06-12,MAND,5/6,28.3,27.76,27.76,6.04,7.75,Don't Tell Dasha,7554,8.0
"",B,6,7,26.9,488,2025-06-06,MAND,4/5,27.87,27.27,27.27,5.97,8.5,Trunkey Irene,7666,41.0
"",B,7,3,27.0,520,2025-05-28,CANN,5/6,30.64,30.02,29.65,5.74,8.75,Michigan,88877,21.0
"",B,5,7,27.0,520,2025-02-22,CANN,5,30.67,29.61,29.61,5.72,15.0,Action Shot,46665,20.0
8. Lady Sherwood,B,4,7,25.2,601,2025-06-14,CANN,4/5,35.42,34.46,34.46,9.98,13.75,ASTON SMOKEY,665564,20.0
"",B,4,5,25.2,601,2025-06-07,CANN,5,35.4,34.36,34.3,10.09,14.75,Sunset Comanche,643444,3.4
"",B,1,7,25.2,601,2025-05-31,CANN,5,35.02,35.02,34.88,9.94,1.0,ASTON SMOKEY,542111,16.0
"",B,3,1,25.1,509,2025-05-26,NOR,FFA,30.08,29.57,29.57,5.94,7.25,Rare Speed,64443,4.4
"",B,7,2,25.1,520,2025-05-17,CANN,5,30.96,29.9,29.47,5.61,15.0,Crooked Kelly,47777,23.0
