Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. AUNTY ALEX,B,6,5,28.6,330,2025-05-28,TEMA,M,19.53,19.04,18.79,,7.0,Spiralling,6,13.0
"",B,5,6,29.0,440,2025-05-02,GOUL,M,25.59,24.94,24.17,,9.25,Shadow Line,75655,12.0
"",B,2,1,28.6,440,2025-04-25,GOUL,M,24.86,24.75,24.62,,1.5,AUSSIE'S QUEEN,42222,3.6
"",B,2,7,28.7,400,2025-04-19,DUBO,M,23.14,23.04,22.91,9.18,1.5,No Cents,5322,3.0
"",B,4,2,29.4,435,2025-02-09,SAL,Maiden,25.131,24.403,24.34,,11.0,ZINGING HOT,4,4.0
2. Sister Creek,B,5,5,26.8,400,2025-07-19,DUBO,M,24.03,23.57,22.73,9.68,6.5,Name Of Love,6555,26.0
"",B,6,8,26.8,318,2025-07-07,DUBO,M,19.3,18.61,18.43,5.05,9.75,Tommy Taro,8566,71.0
"",B,7,1,26.7,516,2025-07-05,DUBO,MX,31.13,29.69,29.69,4.62,20.5,Heidi Keeping,144477,34.0
"",B,6,5,26.1,400,2025-06-28,DUBO,M,24.06,23.27,22.95,9.64,11.25,Hillston Road,6666,41.0
"",B,7,4,26.5,400,2025-06-07,DUBO,M,24.22,23.64,23.22,9.7,8.25,Junior Creek,5677,51.0
3. Rockholes Viv,B,2,5,30.2,330,2025-07-23,TEMA,M,19.28,19.03,18.61,,3.5,Dark Lord,2,19.0
"",B,4,8,29.8,457,2025-07-16,TEMA,M,26.86,25.92,25.79,,13.25,Neymar Nismo,4,16.0
"",B,8,4,30.0,318,2025-07-12,DUBO,M,19.31,18.75,18.28,5.05,8.0,River Of Glass,6788,8.0
"",B,3,2,29.9,318,2025-07-07,DUBO,M,18.73,18.61,18.43,4.82,1.75,Tommy Taro,3333,11.0
"",B,2,4,30.1,318,2025-07-05,DUBO,M,18.85,18.77,18.21,4.92,1.0,Hip Hop,5422,5.0
4. GLASS BUTTONS,B,7,6,27.1,318,2025-07-12,DUBO,M,19.48,18.55,18.28,4.9,13.25,Miss Switzerland,6367,21.0
"",B,3,1,27.2,318,2025-07-05,DUBO,M,18.95,18.77,18.21,4.86,2.5,Hip Hop,4333,9.0
"",B,7,1,27.1,318,2025-06-22,DUBO,M,19.68,18.46,18.13,4.79,17.25,MINH TOMMY,1677,19.0
"",B,4,4,27.8,318,2025-06-14,DUBO,M,18.94,18.51,18.17,4.91,6.0,Belly Up,4444,71.0
"",B,3,3,27.7,400,2025-06-07,DUBO,M,23.94,23.64,23.22,9.44,4.25,Junior Creek,3333,26.0
5. Running Stream,D,6,3,33.6,318,2025-07-07,DUBO,M,19.67,18.69,18.43,4.98,14.0,Magic Breakout,4566,18.0
"",D,6,3,33.9,340,2025-07-02,GUNN,M,20.95,19.93,19.57,7.12,14.5,Jungle Miss,8866,18.0
"",D,8,5,33.5,340,2025-06-04,GUNN,M,20.86,19.69,19.61,6.98,16.75,Wreck It Rex,8888,21.0
"",D,7,4,33.5,340,2025-05-28,GUNN,M,20.76,19.92,19.42,6.87,12.0,Lumeah Taylor,4477,5.5
6. Greysynd Gina,B,6,7,28.0,318,2025-07-26,DUBO,M,19.18,18.8,18.25,4.82,5.25,Todd Keeping,2766,41.0
"",B,6,3,28.1,340,2025-07-23,GUNN,M,20.6,19.98,19.64,6.79,8.75,Gold Miner,5566,19.0
"",B,3,3,28.4,400,2025-07-19,DUBO,M,23.91,23.57,22.73,9.37,4.75,Name Of Love,1333,9.5
"",B,2,1,28.2,318,2025-07-12,DUBO,M,18.83,18.55,18.28,4.8,4.0,Miss Switzerland,1222,8.5
"",B,2,5,28.1,340,2025-07-02,GUNN,M,20.02,19.93,19.57,6.64,1.25,Jungle Miss,1122,31.0
7. Swift Ben,D,3,2,32.0,318,2025-07-26,DUBO,M,19.02,18.8,18.25,4.9,3.0,Todd Keeping,4533,13.0
"",D,6,2,31.8,400,2025-07-19,DUBO,M,24.07,23.57,22.73,9.76,7.0,Name Of Love,5666,2.6
"",D,4,2,31.8,318,2025-07-12,DUBO,M,19.04,18.55,18.28,4.91,7.0,Miss Switzerland,4544,2.9
"",D,3,7,31.9,400,2025-07-05,DUBO,M,23.7,23.11,22.65,9.44,8.25,Terry Keeping,4433,11.0
"",D,3,3,31.8,400,2025-06-28,DUBO,M,23.69,23.27,22.95,9.41,6.0,Hillston Road,2433,3.3
8. Hand Me Down,D,7,7,31.8,450,2025-07-16,GRAF,MX,26.8,25.53,24.98,9.32,18.0,Gus The Great,7477,23.0
"",D,4,2,31.3,450,2025-07-10,GRAF,M,25.88,25.55,25.01,9.34,4.75,Benny Trick,4444,21.0
"",D,7,7,31.0,450,2025-07-06,GRAF,M,26.56,25.06,25.06,9.63,21.25,Jack Jack,1667,51.0
9. Lone Dazzler,B,7,4,26.1,330,2025-07-23,TEMA,M,19.99,19.01,18.61,,14.0,Flashback Jim,7,34.0
"",B,6,2,26.2,318,2025-07-19,DUBO,M,19.28,18.49,18.45,4.92,11.25,Beer Tax,6666,6.5
