Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Lady Amron,B,6,4,24.6,390,2025-06-23,SHE,Grade 5,22.869,22.087,21.918,8.9115,11.75,JOLLY OLLIE,6,10.0
"",B,7,7,24.9,320,2025-06-06,WAGA,5,19.21,18.39,18.28,,11.75,ASTON NETWORK,7,11.0
"",B,4,5,24.8,320,2025-04-11,WAGA,4/5,18.7,18.43,18.22,,3.75,ASTON CREOLE,4,8.0
"",B,5,2,24.8,320,2025-03-31,WAGA,NG1-4,18.89,18.2,18.2,,9.75,Fortified,5,26.0
"",B,2,7,24.7,320,2025-03-28,WAGA,5,18.93,18.54,18.2,,5.5,In The Klondike,2,4.2
2. VAN ROOYEN,D,7,2,30.8,440,2025-06-20,GOUL,4/5,25.82,24.79,24.79,,14.5,Tin Roof Rusty,4677,81.0
"",D,6,4,31.2,440,2025-06-06,GOUL,5,25.82,24.76,24.67,,15.0,Dark Noise,25666,51.0
"",D,3,1,30.6,440,2025-05-30,GOUL,5,25.3,25.28,24.55,,0.25,Wild Angela,55433,34.0
"",D,5,1,30.8,400,2025-05-19,WAGA,NG1-4,23.59,23.01,23.01,,8.25,Shanti Bay,5,13.0
"",D,4,8,30.8,400,2025-05-02,WAGA,5,23.59,22.72,22.72,,12.25,Errol,4,3.7
3. Aunty Meeka,B,2,7,25.3,320,2025-06-20,WAGA,5,18.69,18.57,18.4,,1.75,EIGHT OLD MATES,2,3.9
"",B,1,1,25.1,400,2025-06-13,WAGA,5,22.87,22.87,22.87,,0.75,Slick Felix,1,2.5
"",B,3,3,24.7,318,2025-06-07,DUBO,NG,18.64,18.23,18.23,4.83,5.75,Fusion Mint,5433,19.0
"",B,3,8,24.7,320,2025-05-30,WAGA,NG,18.82,18.07,18.07,,10.5,Got A Depart,3,15.0
"",B,4,4,25.2,525,2025-05-16,WAGA,5,30.87,30.41,30.27,5.29,6.5,ELITE DOM,4,1.45
4. ZIPPING MUFASA,D,5,5,32.8,390,2025-06-26,SHE,Grade 5,22.846,22.585,22.316,,4.0,KING MATTEO,5,3.2
"",D,4,4,32.6,400,2025-06-20,WAGA,4/5,23.34,22.82,22.82,,7.5,Rowan,4,7.5
"",D,1,8,32.5,320,2025-06-16,WAGA,NG1-4,18.52,18.52,18.31,,2.0,Queen Of Spades,1,2.25
"",D,1,8,33.0,390,2025-05-22,SHE,Grade 5,22.282,22.282,22.264,8.48,4.5,KRAKEN HOOK,1,3.0
"",D,6,7,33.4,390,2025-05-19,WAR,Grade 5,22.953,22.577,22.396,,5.75,SUPER CEVICHE,6,4.0
5. Zipping Hermione,B,4,6,25.4,400,2025-06-13,WAGA,5,23.94,23.01,22.87,,13.25,Let's Go Wham,4,5.5
"",B,3,4,25.4,400,2025-05-02,WAGA,5,23.45,22.72,22.72,,10.25,Errol,3,12.0
"",B,7,6,25.8,400,2025-04-11,WAGA,5,24.02,23.04,23.04,,14.0,Let's Go Wham,7,6.0
"",B,7,5,26.8,320,2025-03-23,RICH,5,18.81,18.15,18.15,2.25,9.25,Zipping Fowler,5567,41.0
"",B,6,9,27.3,520,2025-02-01,W/PK,5,30.8,30.3,29.49,5.77,7.0,Pop's Star,6786,101.0
6. King Of Asgard,D,1,1,30.7,320,2025-06-16,WAGA,5,18.31,18.31,18.31,,3.25,Rupee Shark,1,2.5
"",D,2,4,30.3,320,2025-06-13,WAGA,5,18.55,18.46,18.42,,1.25,All Things Go,2,3.7
"",D,4,7,30.2,320,2025-06-09,WAGA,5,19.19,18.52,18.22,,9.5,All Things Go,4,4.0
"",D,2,1,30.4,320,2025-06-06,WAGA,5,18.67,18.62,18.28,,0.75,EIGHT OLD MATES,2,3.5
"",D,8,3,30.7,400,2025-05-30,WAGA,4/5,23.92,23.22,23.22,,10.0,LEONI BALE,8,16.0
7. Errol,D,6,4,33.5,450,2025-06-26,SHE,Grade 5,25.954,25.648,25.222,,4.75,Global Express,6,5.0
"",D,5,4,33.3,320,2025-06-16,WAGA,5,18.88,18.31,18.31,,8.25,King Of Asgard,5,4.6
"",D,6,6,32.9,457,2025-06-11,TEMA,5,26.41,25.8,25.56,,8.75,Yathong Tiger,6,5.7
"",D,6,2,32.8,400,2025-06-06,WAGA,5,23.84,22.81,22.81,,14.5,Chasin' Opie,6,3.5
"",D,3,2,33.6,320,2025-05-19,WAGA,5,19.1,18.8,18.35,,4.25,Wrangler Fusion,3,1.4
8. Kath's Chance,B,4,1,29.0,330,2025-06-25,TEMA,5,19.61,19.38,18.92,,3.25,Dana Mac,4,8.5
"",B,4,3,28.9,400,2025-06-20,WAGA,5,23.64,23.3,22.82,,4.75,Summer Faith,4,7.0
"",B,5,6,29.1,320,2025-06-16,WAGA,4,18.97,18.64,18.31,,4.75,Dana Pauline,5,3.5
"",B,7,1,28.9,400,2025-05-30,WAGA,4/5,23.81,23.22,23.22,,8.25,LEONI BALE,7,12.0
"",B,5,2,29.1,400,2025-05-23,WAGA,5,23.72,23.47,23.47,,3.5,JOLLY OLLIE,5,5.5
