Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Identity Unknown,B,2,5,25.6,411,2025-07-03,CASO,4/5,23.46,23.2,23.0,8.72,3.75,Nitro Slim,44322,6.5
"",B,3,2,25.5,411,2025-06-26,CASO,4/5,23.79,23.27,23.27,8.88,7.5,Kingsbrae Brett,33333,8.0
"",B,6,4,25.6,350,2025-06-10,GRAF,5,20.86,20.18,20.1,4.32,9.75,Impress Amber,6,3.0
"",B,4,7,25.7,411,2025-06-03,CASO,3/4,23.65,23.29,23.29,8.74,5.25,Frying Bonnie,7544,26.0
"",B,8,3,25.7,457,2025-05-29,QOT,5,26.43,25.61,25.43,4.56,11.75,Bogie Frank,7888,23.0
2. Magique Noir,B,6,3,29.1,457,2025-07-03,QOT,M5,26.21,25.75,25.42,4.39,6.5,Infra Terra,3346,41.0
"",B,1,3,29.0,331,2025-06-29,APSU,4,19.12,19.12,18.99,7.16,2.75,Indy Pace Car,21,8.0
"",B,1,5,29.7,395,2025-06-11,APWE,M5,23.07,23.07,22.54,10.8,1.0,Judged,21,10.0
"",B,2,1,30.1,331,2025-06-05,APTH,M5,19.44,19.13,18.95,7.16,4.25,Ascierto,22,3.3
"",B,6,4,30.5,390,2025-04-04,QOT,5,22.71,21.74,21.67,6.33,13.75,Canya Escape,886,71.0
3. Let Jill Rip,B,8,6,26.0,331,2025-06-29,APSU,3/4,20.02,19.04,18.99,7.35,14.0,Federal Emeran,68,4.4
"",B,2,1,26.3,331,2025-06-15,APSU,4,19.25,19.14,18.69,7.12,1.5,Paua Of Tessa,12,1.7
"",B,3,3,26.5,331,2025-06-05,APTH,4/5,19.27,19.2,18.95,6.94,1.0,Eastly Breeze,13,2.8
"",B,5,8,26.1,331,2025-04-06,APSU,FFA,19.42,18.98,18.78,7.42,6.25,Unique,55,5.5
"",B,4,5,25.8,331,2025-03-23,APSU,BT8,19.37,19.02,18.68,7.27,5.0,Super Leon,64,6.5
4. Dancing Stars,B,6,3,24.8,352,2025-06-25,QOT,FFA,20.37,19.59,19.59,4.0,11.0,Borneo Brave,556,23.0
"",B,6,5,24.9,352,2025-06-19,QOT,2/3,20.27,19.65,19.47,4.06,8.75,TIGER JORDY,776,6.5
"",B,4,4,25.2,390,2025-06-06,QOT,FFA,22.07,21.75,21.75,6.13,4.5,Dark Photon,664,15.0
"",B,6,4,25.5,457,2025-05-27,QOT,5,26.57,26.09,25.64,,6.75,Daysea's Court,6,2.4
