Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Ita Keeping,B,1,6,24.3,297,2025-07-07,NOR,5,17.27,17.27,17.06,,2.5,Surely,111,3.3
"",B,7,6,24.5,297,2025-06-30,NOR,5,17.76,16.99,16.99,,11.0,Boiler Maker,357,6.0
"",B,1,8,24.7,297,2025-06-23,NOR,NOV,17.39,17.39,17.21,,6.25,Go Lilo Go,111,1.26
"",B,1,5,25.0,297,2025-06-16,NOR,NOV,17.43,17.43,16.96,,3.0,West On Panda,111,1.5
"",B,3,7,25.0,297,2025-06-09,NOR,NOV,17.67,17.35,16.93,,4.5,Don't Turn,343,2.15
2. Poppy Tahleia,B,1,1,31.1,275,2025-07-09,CANN,6,16.46,16.46,16.19,5.67,1.5,Aeroplane Penny,111,2.5
"",B,5,7,31.2,381,2025-07-02,CANN,6,22.58,22.15,21.67,6.65,6.0,Wheel Around,2345,13.0
"",B,4,4,31.4,275,2025-06-18,CANN,6,16.44,16.08,16.02,5.64,5.25,Canya Gulfstream,224,4.2
"",B,6,6,31.0,300,2025-06-12,MAND,5,17.79,17.15,17.15,6.87,9.25,Liberty Rules,66,12.0
"",B,4,4,30.9,300,2025-06-05,MAND,5/6,17.59,17.39,17.06,6.66,2.75,Turtle Fernando,14,18.0
3. Found The Brake,D,2,3,36.9,275,2025-07-09,CANN,5,16.21,16.19,16.19,5.64,0.25,Beautiful Babe,222,11.0
"",D,3,2,36.6,275,2025-07-02,CANN,5,16.55,16.12,15.67,5.72,6.0,Canya Gulfstream,753,9.5
"",D,5,2,36.5,275,2025-06-25,CANN,5,16.34,15.76,15.76,5.69,8.25,Toad,755,12.0
"",D,6,5,36.7,275,2025-06-18,CANN,4/5,16.63,16.02,16.02,5.73,8.75,Aussie Sigma,766,26.0
"",D,1,6,36.6,275,2025-06-11,CANN,6,16.15,16.15,15.85,5.64,2.5,Kenny Keeping,111,3.8
4. Bonnie Gray,B,3,2,25.1,275,2025-05-28,CANN,5,16.31,15.77,15.77,5.63,7.75,Aussie Sigma,333,7.0
"",B,4,8,25.1,275,2025-05-21,CANN,5,16.33,15.91,15.91,5.58,6.0,Aussie Sigma,234,8.5
"",B,3,8,25.0,275,2025-05-14,CANN,5,16.26,16.08,15.97,5.54,2.5,Common Chaos,223,13.0
"",B,7,6,25.2,275,2025-04-29,CANN,5/6,16.89,16.08,16.08,5.58,11.5,Warrego Rose,137,4.4
"",B,3,4,25.4,275,2025-04-09,CANN,5,16.34,16.07,16.07,5.72,3.75,Paula Keeping,633,8.5
5. Frankies Girl,B,3,1,28.7,300,2025-06-26,MAND,5,17.47,17.28,17.04,6.62,2.5,Infrared Gem,23,4.4
"",B,4,8,28.5,275,2025-06-18,CANN,4/5,16.34,16.02,16.02,5.64,4.5,Aussie Sigma,344,8.5
"",B,3,1,28.4,275,2025-06-11,CANN,5,16.21,16.14,15.85,5.63,1.0,Sunset Skylight,333,4.4
"",B,5,1,28.6,275,2025-06-04,CANN,5,16.51,16.2,16.17,5.66,4.25,Jonah Gundi,455,3.1
"",B,3,8,28.6,300,2025-05-29,MAND,4/5,17.53,17.25,17.15,6.77,4.0,BEAUTY IN ME,33,26.0
6. NEGRONI,B,3,2,32.0,275,2025-07-09,CANN,5,16.4,16.19,16.19,5.77,3.0,Beautiful Babe,433,7.5
"",B,1,4,31.6,275,2025-07-02,CANN,6,16.47,16.47,15.67,5.8,0.5,Aeroplane Penny,741,4.0
"",B,4,5,31.2,300,2025-06-26,MAND,5,17.54,17.28,17.04,6.83,3.75,Infrared Gem,74,26.0
"",B,5,1,31.2,300,2025-06-20,MAND,5/6,17.75,17.34,17.34,6.97,5.75,Trunkey Bling,85,8.0
"",B,7,7,30.9,300,2025-06-12,MAND,5,17.83,17.15,17.15,6.99,9.75,Liberty Rules,77,18.0
7. Horoscope,B,1,6,24.9,300,2025-07-10,MAND,LS6,17.49,17.49,16.97,6.69,1.25,Firehouse Mac,11,3.5
"",B,4,2,24.9,300,2025-06-27,MAND,6,17.54,17.17,17.17,6.73,5.25,Glasgow Boy,24,9.5
"",B,5,3,25.1,300,2025-06-20,MAND,6,18.03,17.57,17.34,7.04,6.5,Kingsbrae Extra,75,6.0
"",B,3,1,25.1,297,2025-06-16,NOR,6,17.95,17.71,16.96,,3.5,Send It Miles,233,3.3
"",B,5,5,25.2,300,2025-06-05,MAND,LS6,17.53,17.11,17.06,6.72,6.0,IDYLLIC PAIGE,35,11.0
8. RAPIDO MYSTIQUE,B,1,8,26.0,275,2025-07-09,CANN,6,16.24,16.24,16.19,5.68,0.75,Unique Jasmine,111,3.3
"",B,8,3,26.2,400,2025-05-22,MAND,6,23.49,23.08,22.73,6.58,5.75,Wise Koonac,678,5.0
"",B,6,5,26.5,400,2025-05-15,MAND,5,23.35,22.61,22.61,6.48,10.5,Go Gettem Croker,666,17.0
