Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Keynan,D,4,2,28.4,300,2025-06-25,TARE,5,18.05,17.65,17.26,6.62,5.75,Eureka Remi,324,7.5
"",D,8,5,28.6,300,2025-06-18,TARE,M2/M3,18.62,17.96,17.33,6.6,9.25,Key Van,518,18.0
"",D,5,7,28.2,336,2025-06-14,MUSW,5,19.97,19.44,19.34,,7.5,Park Key Pop,445,34.0
"",D,8,6,27.9,324,2025-05-15,RICS,5,18.64,17.71,17.65,7.3,13.25,Calla Tiger,6678,101.0
"",D,6,1,27.4,336,2025-05-10,MUSW,M2/M3,20.45,19.49,19.19,,13.75,Worimi Star,6666,35.0
2. Petite Whacker,B,6,7,27.9,300,2025-06-25,TARE,5,18.25,17.65,17.26,6.74,8.5,Eureka Remi,136,23.0
"",B,7,3,28.1,300,2025-06-21,TARE,5,18.51,17.85,17.37,6.65,9.25,Crossed Toes,137,51.0
"",B,6,7,27.9,400,2025-03-29,GRDN,5,25.22,23.52,22.83,11.67,24.25,CRUISING ALONG,146,61.0
"",B,8,2,27.8,400,2025-03-21,GRDN,5,24.13,22.93,22.87,11.5,17.25,Homer Mulwee,248,101.0
"",B,6,9,27.7,300,2025-03-19,TARE,5,18.49,17.75,17.17,6.73,10.5,Gigi La Femme,246,26.0
3. Ricardo Got Zip,D,7,3,31.8,300,2025-06-25,TARE,5,18.41,17.65,17.26,7.0,10.75,Eureka Remi,677,8.0
"",D,5,2,32.0,300,2025-06-21,TARE,5,18.34,17.85,17.37,6.76,7.0,Crossed Toes,655,10.0
"",D,8,7,31.8,525,2025-06-18,TARE,5,32.41,31.14,31.14,4.18,18.0,Spunky Monkey,6688,81.0
"",D,5,2,32.1,400,2025-06-13,GRDN,5,23.63,22.9,22.79,11.47,10.25,Nukkunya,755,101.0
"",D,4,6,31.6,400,2025-06-09,MAIT,5,23.61,23.38,22.47,5.57,3.25,Smack Water Man,6434,26.0
4. Solar Bright,D,6,5,29.2,300,2025-06-21,TARE,5,18.35,17.54,17.37,6.81,11.5,Reel 'em Harada,886,101.0
"",D,8,9,28.7,300,2025-06-19,CASO,M3,18.02,17.14,16.6,2.59,12.5,Lucky Colour,6888,41.0
"",D,5,2,28.7,350,2025-06-17,GRAF,M3,21.02,20.43,19.77,4.31,8.25,Sir Finley,6655,14.0
"",D,7,9,28.9,350,2025-06-10,GRAF,5,21.22,20.23,20.1,4.27,14.0,Great Marlow,6787,21.0
"",D,4,6,28.7,300,2025-06-03,CASO,M2/M3,17.44,16.74,16.74,2.64,10.0,Unquenchable,644,51.0
5. Majestic Zeke,D,3,6,36.8,300,2025-06-25,TARE,5,18.04,17.65,17.26,6.75,5.5,Eureka Remi,543,7.5
"",D,6,6,37.2,300,2025-06-21,TARE,5,18.57,17.8,17.37,6.71,11.0,Red Jenny,666,8.5
"",D,6,8,36.4,300,2025-04-05,TARE,5,18.49,17.59,17.38,6.65,12.75,Reel 'em Harada,426,5.5
"",D,7,3,36.2,300,2025-04-02,TARE,5,18.37,17.62,17.3,6.78,10.5,Weekend Scotch,667,11.0
"",D,6,6,36.8,300,2025-03-12,TARE,5,18.21,17.45,17.4,6.75,10.75,Calm Down Donna,576,16.0
6. Barefoot Chaos,B,4,4,26.1,400,2025-06-06,GRDN,5,23.85,22.82,22.82,11.79,14.5,Tenacious Talker,154,71.0
"",B,7,5,26.0,350,2025-06-01,GRAF,5,21.02,20.52,19.97,,7.0,Arctic Bell,7,21.0
"",B,7,8,26.5,300,2025-05-14,TARE,5,18.99,17.92,17.32,7.18,15.25,Sea Shine,887,2.4
"",B,5,6,26.3,300,2025-05-03,TARE,5,18.37,17.66,17.37,6.72,10.0,Stanley Rupert,575,3.5
"",B,7,1,25.8,300,2025-04-23,TARE,5,18.09,17.57,17.31,6.85,7.5,Waltzin' Ethics,587,3.7
7. Miss Tallowood,B,5,7,27.6,300,2025-06-21,TARE,5,18.15,17.64,17.37,6.84,7.25,MISS BRONX,775,61.0
"",B,5,7,27.7,336,2025-04-17,MUSW,M3,20.14,19.4,19.23,,10.5,Radley Erskin,5,101.0
"",B,5,5,27.8,336,2025-04-03,MUSW,5,20.11,19.36,18.87,,10.5,Canya Ablaze,5,81.0
"",B,7,5,27.5,336,2025-02-13,MUSW,5,20.1,19.5,19.05,,8.5,Cheers Cobber,77,101.0
"",B,6,6,26.9,336,2025-01-25,MUSW,M3,20.23,19.38,19.29,,12.25,Telford,7566,61.0
8. Lenny Keeping,D,7,1,36.9,300,2025-06-21,TARE,5,18.42,17.54,17.37,6.68,12.5,Reel 'em Harada,457,5.0
"",D,8,3,36.3,300,2025-01-08,TARE,5,18.42,17.59,17.22,6.85,11.75,Rapid Duke,468,16.0
"",D,7,2,36.1,300,2024-11-27,TARE,5,18.39,17.45,17.19,6.83,13.25,She's Clean,887,3.3
"",D,5,3,36.3,300,2024-11-16,TARE,4,18.31,17.78,17.41,6.79,7.5,Quick To Judge,665,2.5
"",D,4,4,36.4,300,2024-11-09,TARE,4/5,18.02,17.72,17.32,6.65,4.25,Miss Ziva,434,2.25
