Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Total Faith,D,1,1,31.4,520,2025-07-12,W/PK,M2/M3,29.86,29.86,29.56,5.61,5.25,Wilson's Pick,2211,2.15
"",D,7,5,31.3,520,2025-06-21,W/PK,M2/M3,30.94,30.34,29.41,5.51,8.5,Jo John John,1177,4.0
"",D,1,5,31.3,520,2025-06-07,W/PK,M2/M3,29.82,29.82,29.67,5.45,5.5,Scorching Boy,2111,5.0
"",D,6,7,32.2,457,2025-03-09,TEMA,NG,26.54,25.42,25.42,,16.0,Power And Glory,6,51.0
"",D,7,1,32.1,350,2025-01-24,GOUL,4/5,20.21,20.02,19.85,,2.5,Dig Deep Rupee,7,4.0
2. Cassie Cool,B,6,4,24.4,720,2025-07-19,W/PK,5,43.44,41.97,41.97,17.45,21.0,Suribachi,3666,81.0
"",B,5,7,24.4,630,2025-07-14,NOWR,5,37.57,36.7,36.37,10.83,12.25,Queen Linda,555,51.0
"",B,8,4,24.3,720,2025-07-10,W/PK,5,43.16,42.57,42.57,17.1,8.25,Go Forward Sky,7888,81.0
"",B,7,2,24.1,720,2025-07-05,W/PK,NG,42.84,41.85,41.85,17.04,14.0,Alakazam,5777,81.0
"",B,6,8,24.5,720,2025-06-28,W/PK,5,42.95,41.9,41.74,16.9,15.0,Mia Magnifico,6666,81.0
3. Star,B,2,3,27.5,520,2025-07-19,W/PK,5,29.92,29.74,29.37,5.55,2.5,Zipping Chetty,3222,8.5
"",B,4,2,27.6,520,2025-07-10,W/PK,5,30.26,29.65,29.54,5.72,8.75,Zipping Ariel,8854,11.0
"",B,6,1,27.8,520,2025-06-28,W/PK,NG,30.28,29.48,29.48,5.62,11.5,Eriza Sparkles,7756,8.5
"",B,3,9,27.9,520,2025-06-21,W/PK,5,30.21,29.98,29.41,5.65,3.25,Tracey Taro,7643,6.0
"",B,4,5,27.6,520,2025-06-19,W/PK,5,30.28,29.99,29.62,5.62,4.25,Zipping Chetty,5544,8.0
4. Secret Mrs.,B,2,1,30.3,520,2025-07-18,RICH,5,30.11,29.74,29.74,4.49,5.25,Billy Ray's Girl,64222,4.6
"",B,4,2,29.7,520,2025-07-12,W/PK,5,30.51,30.0,29.56,5.63,7.25,Raging Saige,4344,15.0
"",B,5,2,30.7,520,2025-06-25,RICH,4/5,30.48,30.1,29.97,4.5,5.25,Grand Blazer,66545,51.0
"",B,5,1,30.5,520,2025-06-21,W/PK,5,30.39,29.75,29.41,5.59,9.25,UNLEASH IN MIAMI,7555,41.0
"",B,4,8,30.7,515,2025-06-17,GOSF,4/5,29.83,29.33,29.33,4.57,7.0,She's That Girl,75544,51.0
5. Mustang Ethics,B,1,1,30.0,450,2025-07-21,MAIT,4/5,25.26,25.26,25.26,,3.5,Rise Up Nismo,4441,2.5
"",B,1,7,30.0,450,2025-07-14,MAIT,5,25.32,25.32,25.1,8.0,1.0,Iron Lady,6631,4.6
"",B,2,1,29.8,520,2025-07-05,W/PK,5,30.21,29.64,29.45,5.61,8.25,Taw Galaxy,5522,5.5
"",B,2,4,29.8,450,2025-06-30,MAIT,4/5,25.3,25.17,25.17,8.13,1.75,Rise Up Nismo,7442,11.0
"",B,5,5,29.7,400,2025-06-24,BUL,4/5,23.11,22.64,22.5,6.67,6.5,Street Machine,6455,8.5
6. Hope's Secret,B,5,6,27.4,520,2025-07-19,W/PK,5,30.47,29.63,29.37,5.64,12.0,Ritza Duane,3465,12.0
"",B,2,2,27.5,520,2025-07-12,W/PK,5,30.08,29.91,29.56,5.62,2.25,Linkin Park,2322,3.5
"",B,4,2,27.5,520,2025-07-03,W/PK,5,30.08,29.54,29.54,5.55,7.75,Ritza Benji,2344,9.0
"",B,8,7,27.5,520,2025-06-21,W/PK,5,30.89,29.77,29.41,5.59,16.0,Go Jimmy,3488,15.0
"",B,5,6,27.6,520,2025-06-12,W/PK,5,30.52,30.19,29.53,5.68,4.75,Supermaxi,6765,6.0
7. Ferrari Driver,D,3,2,30.8,520,2025-07-19,W/PK,5,30.27,30.15,29.37,5.72,1.75,Reggae Ethics,2453,26.0
"",D,6,8,30.0,622,2025-07-11,RICH,5,36.97,36.26,36.26,10.14,10.0,Derry,1666,61.0
"",D,5,4,30.3,520,2025-07-05,W/PK,5,30.73,29.92,29.45,5.87,11.5,Taw Commander,3675,41.0
"",D,5,2,30.5,520,2025-06-26,DAPT,5,30.86,30.15,29.97,5.69,10.0,Wagyu Boy,8855,51.0
"",D,8,4,30.6,520,2025-06-21,W/PK,5,30.65,29.75,29.41,5.75,12.75,UNLEASH IN MIAMI,2888,81.0
8. Saint Omagh,D,5,4,33.5,520,2025-07-17,W/PK,NG1-4,30.6,30.02,29.63,5.73,8.25,Both Bowers Ace,6775,10.0
"",D,1,2,33.7,440,2025-07-11,GOUL,4/5,24.65,24.65,24.65,5.58,5.5,Jayla Magic,31111,1.75
"",D,7,7,33.4,440,2025-07-04,GOUL,4/5,25.62,24.96,24.96,,9.25,Pure Silver,44777,1.7
"",D,1,3,33.8,350,2025-06-27,GOUL,5,19.65,19.65,19.65,,2.5,Maestro Ethics,3211,2.8
"",D,1,3,33.8,350,2025-06-20,GOUL,5,19.82,19.82,19.74,,2.5,Maestro Ethics,3311,1.35
