Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. ANGELANI,B,2,3,26.3,425,2025-06-25,BEN,Tier 3 - Maiden,24.774,24.664,24.085,6.745,1.75,BIRDHILL NED,2,21.0
"",B,3,6,26.5,500,2025-06-18,BEN,Tier 3 - Maiden,29.173,28.604,28.422,,8.5,ZIPPING TORVILL,3,16.0
"",B,8,6,26.5,425,2025-06-04,BEN,Maiden,25.448,24.668,24.282,,11.75,ASTON SURPRISE,8,21.0
"",B,4,8,26.3,425,2025-05-28,BEN,Tier 3 - Maiden,24.927,24.155,24.155,,11.75,SIMPLY NED,4,10.0
"",B,5,3,26.5,425,2025-02-28,BEN,Maiden Final,24.614,23.899,23.868,6.855,10.75,WALK WITH PRIDE,5,26.0
2. IN THE SNOW,D,7,7,33.2,390,2025-06-30,BAL,Tier 3 - Maiden,24.03,22.44,22.223,8.8485,23.75,INTRIGUE,7,12.0
"",D,8,3,33.0,390,2025-06-26,SHE,Maiden,23.851,22.322,22.316,,23.0,POWDER DRY,8,26.0
"",D,6,2,33.1,390,2025-06-19,SHE,Maiden,23.689,22.655,22.231,,15.5,HUNTLY MISS,6,41.0
"",D,8,5,32.7,390,2025-06-16,SHE,Maiden,23.976,22.391,21.963,,23.75,TRAJECTORY,8,41.0
3. AUDACIOUS CHIEF,D,3,8,29.8,400,2025-06-12,WAR,Tier 3 - Maiden,23.14,22.91,22.617,,3.5,ASTON ELENI,3,12.0
"",D,3,5,29.4,400,2025-06-05,WAR,Maiden,23.45,23.231,22.545,8.6675,3.5,MISS BELLA BABE,3,8.0
"",D,5,5,29.7,400,2025-05-23,WAR,Maiden,23.663,22.821,22.613,,12.75,BLUE KHAKI,5,4.8
"",D,5,8,29.6,400,2025-05-16,WAR,Maiden,23.99,23.291,22.5,8.8375,10.5,KEEPING NOISE,5,2.4
