Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. GRAND CASSIAN,D,3,7,33.0,515,2025-06-30,SAN,Mixed 6/7,30.362,29.98,29.444,,5.75,DOONGALLA SERENA,3,10.0
"",D,6,7,33.1,460,2025-06-24,WAR,Restricted Win,26.837,26.404,26.021,6.527,6.5,REIKO MIMOSA,6,11.0
"",D,4,6,32.9,460,2025-06-20,WAR,Mixed 6/7,26.302,26.081,25.938,,3.5,SECRETS WE KEEP,4,10.0
"",D,5,6,33.0,460,2025-06-13,WAR,Restricted Win Heat,26.656,25.695,25.695,,14.5,MR. THOMAS,5,21.0
"",D,3,3,32.7,435,2025-06-08,SAL,Grade 7,24.873,24.542,24.053,5.255,5.0,JUMBUK SACHIN,3,6.5
2. REGAL JYLE,D,5,7,32.1,715,2025-06-30,SAN,Restricted Win,42.602,41.961,41.961,,9.75,MEPUNGA LARA,5,10.0
"",D,3,5,31.6,500,2025-06-20,BEN,Mixed 6/7,28.572,28.26,27.909,,4.75,MANAGER,3,6.0
"",D,2,4,31.6,680,2025-06-13,GEE,Group Listed,39.718,38.826,38.826,,13.5,WITHOUT A TRACE,2,21.0
"",D,2,1,31.7,680,2025-06-07,GEE,Restricted Win Heat,39.601,39.4,38.964,18.57,3.0,ASTON BARTON,2,21.0
"",D,6,5,31.9,595,2025-05-26,SAN,Restricted Win,35.309,33.926,33.926,,20.75,ASTON BARTON,6,11.0
3. Zipping Una,B,4,8,30.0,520,2025-04-23,RICH,5,30.35,30.08,29.84,4.5,3.75,Zipping Kirk,65544,5.0
"",B,2,3,30.3,520,2025-04-16,RICH,MX,30.14,29.95,29.95,4.46,2.5,Zipping Frida,43442,5.5
"",B,5,8,30.0,520,2025-04-02,RICH,5,30.22,29.75,29.7,4.53,6.5,Zipping Dekkers,87775,21.0
"",B,1,3,30.0,401,2025-03-30,RICH,M,22.99,22.99,22.44,6.85,0.75,Motor City Mini,2111,2.8
"",B,3,8,29.3,515,2025-03-11,GOSF,M,30.33,29.8,29.18,4.61,7.5,Why Me,57633,1.45
4. SPICY SEDUCTION,B,4,8,27.6,460,2025-07-04,WAR,Mixed 6/7,26.579,26.486,26.113,,1.5,IRISH ZOE,4,7.0
"",B,5,7,27.7,510,2025-06-27,SAL,Mixed 6/7,29.207,28.801,28.76,9.465,6.25,BAYWARA,5,8.0
"",B,6,4,28.0,460,2025-06-20,WAR,Mixed 6/7,26.472,26.081,25.938,,6.0,SECRETS WE KEEP,6,16.0
"",B,4,4,28.3,450,2025-06-16,BAL,Tier 3 - Grade 6,26.31,25.898,25.539,6.9275,6.25,CHEESY EASY,4,8.0
"",B,6,6,28.3,450,2025-06-09,BAL,Tier 3 - Grade 6,26.399,25.727,25.727,,10.25,ASTON CASTLE,6,4.0
5. GO FLASH GO,D,2,7,38.4,510,2025-07-02,SAL,Tier 3 - Restricted Win,29.805,29.802,29.521,9.557,0.25,ESTHER'S JAKIT,2,4.2
"",D,5,6,38.0,595,2025-06-23,SAN,Restricted Win,35.201,34.745,34.459,,7.0,KICK ON KING,5,10.0
"",D,3,1,38.1,595,2025-06-16,SAN,Restricted Win,35.231,34.809,34.49,9.22,6.5,MEPUNGA LILLY,3,10.0
"",D,6,1,38.3,595,2025-06-09,SAN,Restricted Win Heat,35.586,34.743,34.244,9.34,12.75,ASTON FREDDIE,6,23.0
"",D,5,4,38.4,595,2025-06-02,SAN,Restricted Win,35.116,34.683,34.373,,6.5,ASTON BARTON,5,41.0
6. PAW HELION,D,5,5,32.9,425,2025-07-04,BEN,Mixed 6/7 Heat,24.388,24.094,23.619,6.825,4.5,FEAR THE BEER,5,8.0
"",D,2,6,33.3,515,2025-06-30,SAN,Mixed 6/7,29.998,29.98,29.444,,0.5,DOONGALLA SERENA,2,12.0
"",D,7,8,33.4,640,2025-06-22,SAL,Restricted Win,37.238,36.7,36.625,,8.25,FLYING PROUD,7,5.0
"",D,2,8,33.6,600,2025-06-14,MEA,Mixed 6/7,35.182,35.136,34.609,9.4,0.75,DESTINY LANE,2,14.0
"",D,3,6,33.6,510,2025-06-08,SAL,Restricted Win,29.189,28.799,28.799,9.554,6.0,AMRON TOMMY,3,7.5
7. BROOKLYN GIRL,B,3,2,28.7,460,2025-06-10,WAR,Restricted Win,26.19,25.931,25.931,6.48,4.0,INTREPIDUS,3,4.0
"",B,5,5,28.9,350,2025-05-25,HEA,Mixed 6/7,19.769,19.432,19.083,6.65875,5.25,SAINT MIKEY,5,7.0
"",B,3,2,29.4,350,2025-05-11,HEA,Mixed 6/7,19.545,19.505,18.935,6.6285,0.75,MADE UP STORIES,3,21.0
"",B,4,4,29.3,400,2025-03-18,WAR,Grade 7,23.179,22.737,22.517,,6.75,TRENDY TOMMY,4,2.4
"",B,1,1,29.2,400,2025-03-11,WAR,Maiden,23.207,23.207,22.849,,6.5,SECRET DARGAN,1,3.0
8. DR. ODIN,D,6,5,32.0,515,2025-07-03,SAN,Mixed 6/7,30.238,29.463,29.334,5.352,11.75,WEBLEC JOEL,6,8.0
"",D,1,5,32.2,435,2025-06-27,SAL,Maiden,24.628,24.628,24.249,,5.75,JOLLY OLD MAC,1,8.0
9. PRECINCT,B,6,1,25.9,400,2025-07-03,WAR,Mixed 6/7,23.95,23.136,23.036,8.96125,12.25,DARNUM STUMP,6,4.2
"",B,8,6,25.4,460,2025-06-24,WAR,Restricted Win,27.058,26.404,26.021,6.6145,10.0,REIKO MIMOSA,8,4.8
"",B,2,5,25.5,460,2025-06-19,WAR,Tier 3 - Restricted Win,26.259,26.211,26.09,,0.75,MIGHTY HEIGHTY,2,7.5
