Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
2. Senora Riot,B,6,3,28.0,300,2025-06-25,TARE,M,18.44,17.35,17.26,6.67,15.5,Bundy Blue,556,3.8
"",B,3,8,28.2,320,2025-06-20,RICH,M,18.78,18.6,18.25,2.23,2.5,Avoca Madness,3333,4.0
"",B,5,3,29.0,320,2025-06-13,RICH,M,18.84,18.41,18.23,2.26,6.0,Cash Worth,4545,12.0
3. Lord Eddie,D,3,4,29.2,320,2025-06-22,RICH,M,18.55,18.44,18.29,2.21,1.5,Red Rock Rattler,5543,3.2
"",D,3,7,28.9,350,2025-06-13,GOUL,M,20.5,20.01,19.63,,7.0,Pure Blue,2333,3.9
"",D,5,5,29.0,350,2025-06-06,GOUL,M,20.47,20.0,19.62,,6.5,Ancestral Queen,5455,7.0
"",D,4,2,29.3,350,2025-05-30,GOUL,M,20.07,19.47,19.36,,8.5,Dark Noise,7444,9.0
"",D,3,7,29.5,350,2025-05-23,GOUL,M,20.5,20.14,19.48,,5.25,Precocious Storm,4433,9.0
4. Aston Aisling,B,2,3,25.9,297,2025-06-26,DAPT,M,17.77,17.54,16.98,5.63,3.25,French Houdini,722,19.0
"",B,3,4,25.8,401,2025-06-18,RICH,M,23.31,23.0,22.71,6.86,4.25,Greta,4333,21.0
"",B,4,8,26.0,297,2025-06-12,DAPT,M,17.82,17.46,16.92,5.79,5.25,Ferocious Willow,644,4.6
"",B,5,7,25.7,365,2025-06-09,NOWR,M,21.42,20.81,20.5,8.81,8.75,Zipping Garner,65,26.0
"",B,5,7,25.7,297,2025-06-05,DAPT,M,17.77,17.6,16.96,5.53,2.25,Where's Harry,355,10.0
5. Erina Charm,B,3,8,25.4,320,2025-06-27,RICH,M,18.89,18.39,18.25,2.28,7.0,Joanne,5553,12.0
"",B,4,8,25.5,320,2025-06-22,RICH,M,18.95,18.44,18.29,2.23,7.25,Red Rock Rattler,4454,19.0
"",B,4,5,25.6,320,2025-06-18,RICH,M,18.93,18.65,18.25,2.22,4.0,Sandi Kingdom,4454,14.0
"",B,8,7,25.9,401,2025-06-11,RICH,M,24.11,23.24,22.59,7.2,12.25,Zipping Red Rum,5778,13.0
"",B,6,7,26.0,320,2025-06-06,RICH,M,19.11,18.41,18.16,2.32,10.0,Done By Noon,5556,3.3
7. All On Pop,D,3,7,32.4,401,2025-05-23,RICH,M,23.27,22.93,22.67,6.89,4.75,Follow The Ace,4443,2.3
"",D,6,8,32.5,320,2025-05-16,RICH,M,19.55,18.62,18.18,2.3,13.25,Meg's Charm,8846,1.9
"",D,2,2,33.1,401,2025-05-11,RICH,M,23.16,22.85,22.63,6.85,4.25,Energy Wave,5522,3.5
8. Zipping Zeyatta,B,8,7,26.6,320,2025-06-25,RICH,M,19.32,18.53,18.07,2.18,11.25,Hey Bubba Louie,4478,2.1
"",B,2,3,26.7,401,2025-06-18,RICH,M,23.1,23.0,22.71,6.8,1.5,Greta,3222,2.9
"",B,8,6,26.8,320,2025-06-15,RICH,M,19.03,18.38,18.17,2.21,9.25,Unacceptable Col,2258,3.4
"",B,5,8,26.7,401,2025-06-11,RICH,M,24.04,23.17,22.59,7.22,12.25,Front End Loader,6775,4.6
