Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DR. RAFAELA,B,7,1,26.8,435,2025-07-06,SAL,Maiden,26.227,24.795,24.398,,21.5,DR. ZAID,7,12.0
"",B,7,3,27.0,400,2025-07-01,WAR,Maiden,24.101,23.314,22.631,,11.75,SAVVY LAD,7,9.0
2. NANDO BLAST,D,6,5,29.9,435,2025-07-02,SAL,Tier 3 - Maiden,25.831,25.008,24.796,,12.5,HAMMER ROSE,6,12.0
"",D,6,5,29.8,300,2025-06-27,HEA,Tier 3 - Maiden,17.516,16.935,16.747,4.07575,8.75,NESHIA,6,12.0
"",D,5,2,30.0,390,2025-06-23,BAL,Tier 3 - Maiden,23.89,23.424,22.401,9.06675,7.0,DIAMANTINA PEARL,5,16.0
"",D,6,5,29.9,300,2025-05-30,HEA,Tier 3 - Maiden,17.741,17.213,16.953,3.97,8.0,BE A SHADOW,6,21.0
"",D,7,2,30.0,400,2025-04-10,WAR,Tier 3 - Maiden,24.049,23.209,22.96,,12.75,BORROLOOLA LAD,7,21.0
3. LINDENOW JIMMY,D,7,3,34.6,435,2025-06-18,SAL,Maiden,25.783,24.821,24.481,5.587,14.5,DR. MANIAC,7,15.0
"",D,6,6,34.4,435,2025-05-28,SAL,Maiden,25.641,25.131,24.889,,7.75,SELECT KAY,6,26.0
"",D,7,3,34.1,435,2025-05-21,SAL,Tier 3 - Maiden,25.875,24.998,24.795,,13.25,DR. REIGNITE,7,12.0
"",D,5,1,34.5,435,2025-05-14,SAL,Maiden,25.63,24.72,24.493,5.6665,13.75,TAYLOR'S GIRL,5,15.0
"",D,3,7,34.1,435,2025-05-07,SAL,Tier 3 - Maiden,25.642,24.766,24.575,5.615,13.25,BRUCE,3,8.0
4. DR. COUGAR,D,5,4,29.7,435,2025-07-06,SAL,Maiden,25.595,25.05,24.398,,8.25,DR. TESSA,5,12.0
"",D,5,7,29.9,400,2025-07-01,WAR,Maiden,23.902,23.314,22.631,,9.0,SAVVY LAD,5,7.5
5. RIVERBANK SANDY,B,7,1,29.3,435,2025-06-18,SAL,Maiden,25.709,24.796,24.481,5.42675,13.75,RIO IZZY,7,10.0
"",B,6,7,28.8,435,2025-06-15,SAL,Maiden,25.47,24.49,23.982,,14.75,Franky Hindmarsh,6,16.0
"",B,6,4,28.2,435,2025-06-08,SAL,Maiden,25.48,24.498,24.053,5.462,14.75,HONEY BLITZ,6,21.0
"",B,7,3,28.2,435,2025-05-28,SAL,Maiden,25.727,25.131,24.889,,9.0,SELECT KAY,7,4.0
"",B,4,6,28.2,435,2025-05-14,SAL,Maiden,25.261,25.032,24.493,5.34,3.5,MISS BLACK,4,3.6
6. COURT'S EDGE,D,3,6,30.9,435,2025-07-02,SAL,Tier 3 - Maiden,25.412,24.988,24.796,,6.5,JOLLY OLD MAC,3,6.5
"",D,2,3,31.0,300,2025-06-27,HEA,Tier 3 - Maiden,17.148,16.935,16.747,3.955,3.25,NESHIA,2,8.0
"",D,3,4,31.2,390,2025-06-23,BAL,Tier 3 - Maiden,23.709,23.424,22.401,9.03175,4.5,DIAMANTINA PEARL,3,6.0
"",D,6,8,31.5,435,2025-06-18,SAL,Maiden,25.411,24.796,24.481,5.4355,9.25,RIO IZZY,6,12.0
"",D,8,3,31.5,400,2025-06-12,WAR,Tier 3 - Maiden,23.625,23.043,22.617,8.74425,8.75,PRETTY ESMAY,8,7.5
7. WOODSIDE AMIGO,B,2,1,27.6,400,2025-07-03,WAR,Maiden,23.72,23.371,23.036,8.59,5.25,SPUD BUG,2,12.0
"",B,6,2,27.5,400,2025-06-26,WAR,Tier 3 - Maiden,24.035,23.01,22.805,,15.5,REGGAE MISS,6,16.0
"",B,6,1,27.1,400,2025-06-12,WAR,Tier 3 - Maiden,23.78,22.91,22.617,,13.0,ASTON ELENI,6,16.0
"",B,7,7,27.4,435,2025-05-28,SAL,Maiden,26.0,25.126,24.889,,13.25,DR. NEVILLE,7,15.0
"",B,4,5,27.5,400,2025-05-22,WAR,Maiden,23.542,22.995,22.856,8.59425,8.25,PHANTOM DONALD,4,16.0
8. SUB STATION,D,8,8,31.8,435,2025-06-15,SAL,Maiden,26.806,24.599,23.982,,33.0,DR. CALVIN,8,16.0
"",D,7,7,31.9,435,2025-06-08,SAL,Maiden,27.404,25.528,24.053,,28.0,BOMBERS LUCKNOW,7,6.0
9. WOODSIDE FOX,D,4,2,27.6,400,2025-07-03,WAR,Maiden,24.034,23.402,23.036,9.13925,9.5,CORRYONG,4,16.0
"",D,7,7,27.7,400,2025-06-26,WAR,Tier 3 - Maiden,24.083,23.233,22.805,,12.75,ACRES BLUE BOY,7,21.0
"",D,8,1,27.4,400,2025-06-19,WAR,Tier 3 - Maiden,24.383,23.096,22.789,9.305,19.25,JULIE'S GIRL,8,12.0
"",D,8,3,28.1,400,2025-05-29,WAR,Tier 3 - Maiden,24.445,23.208,22.955,9.142,18.5,ELSWYK CINNAMON,8,21.0
"",D,7,3,28.2,435,2025-04-06,SAL,Maiden,26.012,24.912,24.208,5.58925,16.5,SOMERTON TEDDY,7,21.0
