Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Hollywood Miss,B,7,2,29.8,488,2025-06-12,MAND,5/6,28.7,27.76,27.76,6.03,13.25,Don't Tell Dasha,6777,3.1
"",B,1,1,29.9,488,2025-06-03,MAND,NOV,27.45,27.45,27.45,5.67,6.25,Sozin's Heart,1111,5.0
"",B,3,7,30.0,400,2025-05-16,MAND,NOV,22.92,22.76,22.25,6.51,2.25,Go Gettem Scooby,543,34.0
"",B,3,4,30.4,488,2025-05-09,MAND,NOV,27.95,27.62,27.23,5.97,4.75,Katitjin,3333,11.0
"",B,5,7,30.8,488,2025-05-02,MAND,NOV,28.44,27.76,27.1,5.93,9.75,Defender,3555,7.0
2. Ginny Riggs,B,6,5,26.4,400,2025-07-01,MAND,5/6,23.2,22.39,22.35,6.58,11.5,West On Caddy,776,8.5
"",B,8,2,26.9,400,2025-06-24,MAND,5,23.01,22.59,22.59,6.5,6.0,Pronto Rocco,668,8.5
"",B,1,5,26.7,300,2025-06-17,MAND,5/6,17.41,17.41,17.07,6.72,2.5,Son Of Spike,11,3.8
"",B,1,1,26.4,400,2025-06-10,MAND,NOV,22.84,22.84,22.65,6.39,1.75,Major Ace,211,2.6
"",B,1,3,26.4,400,2025-06-03,MAND,NOV,22.64,22.64,22.41,6.38,2.25,Sunset Snitch,111,26.0
3. Sunset Owlet,B,1,2,25.0,520,2025-07-02,CANN,5/6,29.95,29.95,29.95,5.54,5.5,Monteleone,21111,1.7
"",B,2,3,24.7,520,2025-06-25,CANN,5/6,30.1,30.02,29.88,5.56,1.0,West On Gnocchi,22262,3.7
"",B,3,7,24.8,520,2025-06-18,CANN,5/6,30.45,30.1,29.9,5.65,5.0,White Cliffs,33333,3.1
"",B,1,4,25.2,520,2025-06-07,CANN,NOV,29.98,29.98,29.56,5.53,1.0,Next Thing Uno,22221,2.8
"",B,3,2,25.2,520,2025-05-31,CANN,OPEN,30.35,30.2,29.6,5.52,2.0,Chef's Dream,13333,4.4
4. Go Gettem Scooby,D,3,8,36.3,488,2025-07-03,MAND,5/6,28.09,27.97,27.97,5.8,1.75,PREMIUM EQUITY,2223,4.4
"",D,1,8,36.6,488,2025-06-24,MAND,NOV,27.66,27.66,27.47,5.76,4.75,Go Gettem Beryl,2111,4.2
"",D,3,6,36.3,488,2025-06-17,MAND,NOV,28.33,28.13,28.03,16.74,2.75,WALKING EASY,4353,8.5
"",D,3,7,37.0,488,2025-06-10,MAND,NOV,28.11,27.99,27.82,5.92,1.75,Sozin's Heart,2223,4.2
"",D,4,8,37.2,488,2025-06-03,MAND,NOV,28.18,27.45,27.45,5.9,10.25,Hollywood Miss,5444,6.0
5. Gouda Monelli,D,1,1,33.4,530,2024-10-28,AP/K,6,30.76,30.76,30.54,5.4,0.031,SPIN AND BURN,1,1.35
"",D,5,6,33.4,530,2024-09-26,AP/K,6,31.2,30.56,29.84,5.4,9.25,Warcraft,5,3.0
"",D,1,3,33.6,530,2024-09-19,AP/K,6,30.65,30.65,30.35,5.36,2.5,Imperial Son,1,1.8
"",D,4,4,33.8,530,2024-09-12,AP/K,SE,30.94,30.4,30.37,5.6,7.75,HOT ASHES,4,4.8
"",D,3,2,33.8,530,2024-09-05,AP/K,6,30.61,30.42,30.33,5.26,2.5,PAW EARNEST,3,3.7
6. SIN CITY MARV,D,4,4,30.0,488,2025-07-03,MAND,5/6,28.32,27.97,27.97,6.01,5.0,PREMIUM EQUITY,6664,6.0
"",D,1,1,30.2,488,2025-06-26,MAND,5/6,27.73,27.73,27.73,5.79,0.125,Exceeding,1221,1.85
"",D,2,6,30.3,488,2025-06-19,MAND,5/6,27.73,27.68,27.68,5.74,0.75,Girls Like You,1112,41.0
"",D,6,4,30.6,400,2025-06-12,MAND,6,23.21,22.5,22.5,6.61,10.0,Yunderup Sun,766,8.5
"",D,3,7,30.6,400,2025-06-05,MAND,6,22.98,22.82,22.65,6.42,2.25,Formula Fire,243,4.4
7. New Hope,D,6,7,33.2,509,2025-06-30,NOR,5,30.27,29.76,29.68,5.97,7.25,Don't Tell Dasha,66666,12.0
"",D,3,4,32.8,509,2025-06-23,NOR,5/6,30.33,30.18,29.61,5.89,2.0,Trunkey Jennings,15543,4.0
"",D,7,7,32.8,509,2025-06-16,NOR,5/6,30.19,29.65,29.26,5.95,7.75,Don't Tell Dasha,45567,3.5
"",D,1,2,32.8,509,2025-06-09,NOR,5/6,29.56,29.56,29.28,5.85,0.75,Azuero,11111,2.7
"",D,6,7,32.9,509,2025-06-02,NOR,5,30.11,29.66,29.41,5.87,6.25,Venetian,56666,12.0
8. Oreo Apprentice,D,6,2,33.3,488,2025-07-03,MAND,5/6,28.54,27.97,27.97,6.08,8.25,PREMIUM EQUITY,7776,5.5
"",D,3,2,33.3,400,2025-06-26,MAND,5,22.92,22.79,22.79,6.54,1.75,Breakout Boy,743,4.6
"",D,2,6,33.6,400,2025-06-19,MAND,5,22.84,22.54,22.54,6.43,4.25,Sassy Lad,342,6.5
"",D,2,5,33.4,400,2025-06-10,MAND,5/6,22.91,22.8,22.65,6.38,1.5,Wise Koonac,222,4.8
"",D,1,3,33.4,400,2025-06-03,MAND,5/6,22.59,22.59,22.41,6.35,2.25,Noble George,211,15.0
