Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SOLAR KELLY,B,8,6,25.3,410,2025-06-24,HOR,Maiden,25.118,23.635,23.283,,22.25,PAW DROGO,8,21.0
"",B,6,1,25.3,390,2025-06-09,BAL,Tier 3 - Maiden,23.732,22.9,22.404,,12.5,MICK SWAGGER,6,12.0
"",B,4,3,24.7,410,2025-05-31,HOR,Maiden,24.223,23.957,23.168,,4.0,CRUISING NAT,4,5.0
"",B,4,6,24.8,390,2025-05-26,WAR,Maiden,23.085,22.754,22.182,9.17675,5.0,DIMORA STRIPEY,4,21.0
"",B,4,8,25.6,410,2025-05-09,HOR,Maiden,24.083,23.558,23.247,,8.0,RUSTIC DUNDEE,4,12.0
2. PUNITIVE,B,6,8,30.6,400,2025-06-20,GEE,Maiden,23.866,23.301,22.3,,8.5,BILLY BEAST,6,12.0
"",B,8,3,30.9,410,2025-06-10,HOR,Maiden,24.526,23.893,23.479,,9.5,Super Symon,8,5.0
7. MRS. WHO,B,3,5,27.0,300,2025-06-25,HEA,Maiden,17.666,17.643,17.065,4.085,0.5,IT'S A CHAPPLE,3,8.5
"",B,8,6,25.4,425,2025-05-14,BEN,Maiden,25.913,24.593,24.208,,19.75,PAW OLIVE,8,12.0
"",B,8,5,25.4,400,2025-03-29,GEE,Maiden,24.751,23.227,22.676,8.882,22.75,ASTON FINNISS,8,15.0
"",B,7,6,25.9,400,2025-03-08,GEE,Maiden,23.398,22.907,22.742,8.535,7.5,WITH THE WIND,7,21.0
"",B,7,4,26.2,400,2025-03-01,GEE,Maiden,23.897,22.782,22.552,8.93175,16.75,COMEBACK CHARLIE,7,15.0
8. WEBLEC POLLY,B,3,1,26.5,410,2025-06-24,HOR,Maiden,24.19,23.635,23.283,,8.5,PAW DROGO,3,4.0
