Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. NORBIT,D,1,5,33.5,460,2025-07-01,GEE,Grade 5,26.384,26.384,26.16,,3.75,Akela Young,1,6.0
"",D,8,6,33.9,450,2025-06-14,BAL,Mixed 4/5,26.497,25.998,25.721,6.92475,7.5,DON'T TELL SHELL,8,10.0
"",D,4,1,33.8,460,2025-06-10,GEE,Grade 5,26.505,25.781,25.781,6.902,11.0,FUJI APPLE,4,7.5
"",D,4,4,33.6,460,2025-06-03,GEE,Grade 5,26.67,26.284,25.925,6.7325,6.0,JUNGLE FIREBALL,4,8.0
"",D,4,4,33.6,450,2025-05-26,BAL,Grade 5 T3,26.225,25.777,25.469,6.9295,6.75,BERN'S BANJO,4,4.2
2. ERIC QUIRK,D,4,6,34.8,390,2025-06-30,WAR,Grade 5,22.989,22.64,22.299,,5.25,STEP ON AIR,4,4.8
"",D,4,2,34.9,400,2025-06-08,MT/G,6,24.06,23.39,23.14,,9.5,Merger,4,4.2
"",D,5,4,34.7,450,2025-05-22,WAR,Grade 5,26.039,25.526,25.303,,7.75,MORAINE WALLY,5,8.0
"",D,7,3,34.9,450,2025-05-15,WAR,Grade 5,26.332,25.589,25.298,,11.25,COLLINDA LAW,7,10.0
"",D,1,1,35.8,450,2025-03-31,WAR,Mixed 6/7,25.76,25.76,25.625,6.727,2.0,PAW OLSON,1,10.0
3. BELAIR BETTY,B,1,7,27.7,390,2025-06-30,WAR,Grade 5,22.376,22.376,22.299,8.79,1.5,SEATS TWO,1,7.5
"",B,6,6,27.4,450,2025-06-19,WAR,Grade 5,25.814,25.11,24.716,,10.75,HUMIDITY,6,12.0
"",B,4,3,27.3,300,2025-06-15,HEA,Restricted Win Heat,17.075,16.547,16.547,4.03275,8.0,BABY GIRL PEARL,4,26.0
"",B,8,8,27.3,485,2025-05-27,HOR,Grade 5,28.177,27.562,27.538,,9.25,INGA JOHNNY,8,16.0
"",B,4,2,27.2,450,2025-05-22,WAR,Grade 5,25.952,25.374,25.303,,8.75,PAW REX,4,21.0
4. VALLETTA MOON,B,1,4,29.0,425,2025-07-02,BEN,Grade 6,24.131,24.131,24.131,,4.25,SAM'S UNIVERSE,1,2.2
"",B,1,3,28.9,400,2025-06-24,GEE,Mixed 6/7,23.128,23.128,22.605,8.825,2.0,RUPEE TRADER,1,3.2
"",B,7,6,28.5,425,2025-05-14,BEN,Grade 7,25.333,24.816,24.208,,7.75,LOUIE CABANG,7,2.2
"",B,1,8,28.3,450,2025-05-08,SHE,Maiden,25.636,25.636,25.369,,7.25,BOY,1,4.2
"",B,5,2,28.4,390,2025-05-05,BAL,Tier 3 - Maiden,23.216,22.453,22.2,9.0425,11.5,BELLE RIOT,5,4.2
6. DINOSAUR,D,4,1,31.2,525,2025-06-11,MEA,Grade 5 T3,31.224,30.409,30.153,,12.25,Blue Vendetta,4,7.5
"",D,4,8,31.4,390,2025-06-05,BAL,Grade 5 Non Penalty Heat,22.8,22.63,21.704,,2.75,DELATITE BEAST,4,10.0
"",D,3,7,31.3,410,2025-05-31,HOR,Grade 5,23.979,23.67,23.168,,4.75,Bella Supreme,3,4.2
"",D,6,6,31.3,410,2025-05-27,HOR,Grade 5,24.081,23.461,23.247,,9.5,Myola Nick,6,12.0
"",D,6,5,31.3,450,2025-05-19,BAL,S/E Heat,26.156,25.697,25.205,,7.0,QUEEN SHAKA,6,6.5
7. Tinker Conall,D,4,3,34.6,390,2025-07-01,BAL,Grade 5,22.608,22.288,22.08,8.73,5.0,ASTON OPHELIA,4,10.0
"",D,7,7,34.1,425,2025-06-27,BEN,Grade 5,25.052,24.156,23.682,6.9015,13.5,Hard Style Robbo,7,8.0
"",D,4,5,34.6,450,2025-06-23,BAL,Grade 5 T3,26.513,26.032,25.826,7.1095,7.25,SANTORINI BALE,4,9.0
"",D,4,1,34.6,450,2025-06-16,SHE,Grade 5,25.93,25.628,25.305,,4.75,EMPTY YOUR MIND,4,8.0
"",D,4,4,34.7,410,2025-06-10,HOR,Grade 5,24.28,23.663,23.479,,9.25,MAKE THE CUT,4,9.0
8. BLAZING RIOT,D,7,6,26.4,390,2025-07-03,WAR,Grade 5,22.781,22.376,21.88,9.1495,6.25,PAW MARVEL,7,6.0
"",D,2,5,26.4,390,2025-06-26,WAR,Grade 5,22.17,21.983,21.771,8.695,3.0,INTERSTATE GIRL,2,10.0
"",D,3,2,26.4,390,2025-06-18,BAL,Grade 5,22.439,22.121,22.072,,4.75,JUST BELIEVE,3,3.4
"",D,4,1,26.6,400,2025-06-10,WAR,Grade 5,23.044,22.592,22.592,8.6425,6.75,ANGRY CHIEF,4,3.8
"",D,2,5,26.7,390,2025-06-02,BAL,Grade 5 T3,22.469,22.457,22.106,,0.25,SICILY,2,7.0
