Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Local Legend,D,8,10,34.4,350,2025-06-08,GRAF,NG,20.67,20.07,19.57,4.32,8.5,WHAT HOPE,8888,10.0
"",D,7,3,34.5,520,2025-05-31,QTT,4/5,30.97,29.97,29.97,5.2,14.25,Howdy Elise,6777,4.6
"",D,1,8,34.2,520,2025-05-22,QTT,5,30.2,30.2,29.39,5.14,0.5,Cody's Star,2111,7.0
"",D,2,4,34.3,450,2025-04-27,GRAF,4/5,25.56,25.5,25.5,,0.75,Kia Mcgraw,2,2.5
"",D,5,2,34.3,450,2025-04-20,GRAF,NG,25.4,24.91,24.91,,7.0,VERDI,5,15.0
2. Mumma's Brew,B,1,8,26.4,520,2025-06-07,QTT,M5,30.15,30.15,29.48,5.2,0.75,Obliging Warren,4221,7.0
"",B,2,1,26.7,520,2025-05-22,QTT,M5,30.25,29.75,29.39,5.16,7.0,Jumping Jive,3332,4.0
"",B,2,2,27.1,457,2025-05-09,QOT,M5,25.95,25.63,25.63,4.4,4.5,Jen's Joy,2222,6.0
"",B,2,2,27.2,395,2025-04-23,APWE,3/4,22.77,22.71,22.58,10.63,0.75,Rusty Demon,32,5.0
"",B,7,3,27.2,395,2025-03-26,APWE,4/5,23.06,22.5,22.46,10.64,8.0,Shamrock Hayze,77,21.0
3. Tough Enough,D,3,7,28.2,457,2025-06-17,QOT,5,26.11,25.68,25.51,4.36,6.0,Blocker Tiger,2333,8.0
"",D,1,6,28.2,457,2025-06-10,QOT,5,25.54,25.54,25.43,4.37,2.25,Snow Cone,1111,5.5
"",D,7,4,29.0,457,2025-06-03,QOT,5,26.25,25.36,25.36,4.5,12.75,Typhoon Baylee,7777,3.9
"",D,1,1,28.4,390,2025-05-16,QOT,5,21.74,21.74,21.74,6.04,2.25,Federal Blue Boy,321,1.7
"",D,1,2,28.5,390,2025-05-09,QOT,4/5,21.6,21.6,21.6,5.98,7.75,Destini Potenza,111,1.7
4. Ellie Rhee Court,B,2,2,25.4,457,2025-06-21,QOT,M5,25.7,25.68,25.4,4.24,0.25,Seaway Flyer,1112,4.8
"",B,5,8,25.4,366,2025-06-15,CAPA,5,20.16,19.79,19.76,,5.25,Miss Sara Jane,235,16.0
"",B,2,8,25.5,366,2025-06-08,CAPA,5,20.17,20.05,19.63,,1.75,Idea's Girl,232,4.4
