Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Chippin' Away,B,6,3,30.1,297,2025-06-16,NOR,5,18.05,17.36,16.96,,9.75,Sassy Deluxe,666,9.0
"",B,3,6,29.8,297,2025-06-09,NOR,5,17.44,17.3,16.93,,2.0,Fearless Russ,333,41.0
"",B,4,4,30.1,297,2025-06-02,NOR,5,17.53,17.12,17.12,,5.75,Elite General,3444,16.0
"",B,3,1,29.9,297,2025-05-26,NOR,5,17.48,17.41,17.22,,1.0,Happy Heels,213,14.0
"",B,3,2,29.3,297,2025-05-05,NOR,5,17.6,17.34,17.02,,3.75,Paula Keeping,423,34.0
2. Forever Seven,D,5,1,32.6,297,2025-06-30,NOR,5,17.73,16.99,16.99,,10.5,Boiler Maker,435,18.0
"",D,6,4,33.0,297,2025-06-23,NOR,5,17.77,17.27,17.21,,7.0,Cupid's Dream,646,20.0
"",D,6,6,33.8,300,2025-06-12,MAND,5,17.78,17.31,17.15,6.82,6.5,Bluey Brann,36,41.0
"",D,3,1,33.2,300,2025-06-05,MAND,5,17.56,17.06,17.06,6.76,7.0,Sublime,43,26.0
"",D,5,8,32.6,297,2025-05-26,NOR,5/6,17.7,17.36,17.22,,4.75,Cootamundra Lad,345,15.0
3. Bazinga Girl,B,8,6,26.6,297,2025-06-30,NOR,6,18.7,17.6,16.99,,15.75,Cisco Ripple,888,151.0
"",B,8,9,26.7,297,2025-06-02,NOR,6,18.48,17.44,17.12,,14.75,Rocking Roma,858,101.0
"",B,6,8,27.3,297,2025-05-19,NOR,LS6,18.18,17.52,17.1,,9.25,MAYDAY MAYDAY,666,61.0
"",B,8,5,27.1,297,2025-05-05,NOR,LS6,18.16,17.4,17.02,,10.75,El Salvador,888,51.0
"",B,7,8,26.9,297,2025-04-28,NOR,6,18.12,17.52,17.07,,8.5,All Over Katie,777,101.0
4. El Salvador,B,3,1,25.6,297,2025-07-07,NOR,6,17.6,17.4,17.06,,2.75,Happy Heels,223,6.0
