Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MILES APART,D,5,7,32.5,530,2025-05-01,AP/K,6,31.35,30.98,30.23,5.41,5.25,Wind Whiskers,44445,3.0
"",D,6,4,32.4,525,2025-04-23,MEA,Grade 5,30.805,30.306,30.051,5.46425,7.5,Secret Emgrand,6,14.0
"",D,8,8,32.4,525,2025-04-19,MEA,Grade 5,30.571,30.149,29.706,5.2125,6.5,TAKUMI BALE,8,6.5
"",D,6,4,32.6,525,2025-04-12,MEA,Grade 5,30.549,30.286,29.811,,4.0,VARSITY BALE,6,8.0
"",D,5,8,32.6,525,2025-04-05,MEA,Grade 5,30.964,30.277,29.834,,10.5,PAW XANTIPPE,5,9.0
2. Cuban Mambo,D,2,1,32.4,300,2025-07-15,MBS,5,16.96,16.8,16.67,4.62,2.25,Booterstown,2,9.0
"",D,3,6,32.9,300,2025-07-06,MBR,6,17.15,17.04,16.8,4.63,1.5,You Ain't It,4333,9.0
"",D,1,7,32.8,300,2025-07-01,MBS,6,17.05,17.05,16.6,4.58,0.25,Elegant Flint,2111,2.0
"",D,5,6,32.4,342,2025-06-23,AP/K,6,20.11,19.66,19.43,4.75,6.25,Toora Gracie,4455,8.0
"",D,3,6,32.2,342,2025-06-16,AP/K,6,19.87,19.79,19.27,4.57,1.0,Federal Lady,3,16.0
4. Improvisation,B,2,6,28.4,300,2025-07-15,MBS,6,17.42,17.29,16.67,4.65,1.75,Compton Wink,2,1.4
"",B,3,5,28.2,342,2025-07-03,AP/K,6,19.91,19.5,19.5,4.52,5.75,Indie Or Jill,2223,5.5
"",B,4,7,28.3,342,2025-06-30,AP/K,6,20.42,20.11,19.66,4.77,4.25,MYAH MISS,5544,6.5
"",B,4,2,28.2,342,2025-06-23,AP/K,6,20.14,19.85,19.43,4.54,4.25,Hayden's Milk,1244,2.4
"",B,3,1,28.4,342,2024-08-25,AP/K,6,19.76,19.68,19.37,4.44,1.0,Past President,3,2.9
6. Ms. Karen,B,5,2,25.8,342,2025-07-11,AP/K,TG1-4W,19.96,19.79,19.47,4.67,2.25,Glenageary,5,6.5
"",B,4,2,26.0,342,2025-07-03,AP/K,6,20.12,19.5,19.5,4.7,8.75,Indie Or Jill,5444,5.5
"",B,6,7,25.7,400,2025-06-22,GAWL,6,23.51,23.09,22.81,8.81,6.0,Switching Lanes,2246,8.5
"",B,2,2,25.5,342,2025-06-16,AP/K,6,19.81,19.79,19.27,4.57,0.25,Federal Lady,2,6.5
"",B,2,4,25.7,400,2025-06-11,GAWL,TG1-4W,23.22,23.04,22.87,8.81,2.5,Find The Sun,2,7.5
8. OUR BELLA ROSE,B,4,1,29.7,342,2025-07-14,AP/K,6,19.86,19.8,19.25,4.71,0.75,Joker's Queen,4,3.4
"",B,3,7,29.6,342,2025-07-05,AP/K,TG1-4W,19.86,19.58,19.58,4.75,4.0,BUSTING,3333,6.5
"",B,3,5,29.6,342,2025-06-24,AP/K,TG1-4W,20.04,19.85,19.67,4.87,2.5,ARCHER EIGHT,4333,11.0
"",B,5,8,29.3,342,2025-06-16,AP/K,6,20.17,19.79,19.27,4.79,5.25,Federal Lady,5,5.0
"",B,2,4,29.6,342,2025-06-10,AP/K,TG1-4W,19.83,19.73,19.41,4.73,1.5,Dubai Hunter,2,7.5
