Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. LAKEVIEW HEATHER,B,2,7,30.1,400,2025-06-29,MT/G,5,23.62,23.58,23.17,11.07,0.75,LUCY JANE,3432,1.85
"",B,2,4,30.4,400,2025-06-22,MT/G,5,23.36,23.07,23.01,11.05,4.25,Cadillac Ragtop,3332,3.5
"",B,2,5,30.3,400,2025-06-08,MT/G,4/5,23.34,23.22,23.14,11.08,1.75,My Lady Panama,2,11.0
"",B,3,8,30.0,400,2025-06-01,MT/G,5,23.24,22.93,22.93,10.89,4.25,Cadillac Ragtop,3333,4.0
"",B,2,7,29.9,400,2025-05-22,MT/G,TG5+W,23.06,22.84,22.84,10.82,3.0,Lie To Me,2222,7.5
2. Gaping Margin,B,5,3,27.1,485,2025-05-06,HOR,Mixed 4/5,27.718,27.198,27.198,,8.0,ASTON FANTASTIC,5,16.0
"",B,5,1,27.0,450,2025-04-30,WAR,Mixed 4/5,25.482,24.945,24.636,6.7775,8.25,TALCOTT BALE,5,16.0
"",B,1,2,27.5,460,2025-02-07,GEE,Grade 5,25.864,25.864,25.68,6.6975,1.75,PAW YANELLE,1,12.0
"",B,5,7,27.4,525,2025-01-29,MEA,Mixed 4/5,30.949,30.295,30.065,,10.0,REALITY BEST,5,26.0
"",B,4,7,27.3,400,2025-01-17,GEE,Mixed 4/5,22.839,22.511,22.511,,5.0,FAST LOVE,4,10.0
4. Red To Burn,D,5,5,33.4,512,2025-06-26,MT/G,TG5+W,30.99,30.21,30.21,4.63,11.0,Cadillac Patch,33555,18.0
"",D,2,7,33.3,400,2025-06-19,MT/G,TG5+W,23.72,23.62,23.13,11.24,1.5,Cadillac Lloyd,3222,6.0
"",D,2,4,33.9,400,2025-06-05,MT/G,TG5+W,23.79,23.44,23.32,,5.0,Zip Along Lulu,3322,3.5
"",D,4,1,34.0,400,2025-05-29,MT/G,TG5+W,23.93,23.62,23.33,11.17,4.25,Compton Kelly,5444,2.7
"",D,7,8,34.0,400,2025-05-22,MT/G,TG5+W,23.99,23.23,22.84,11.26,10.75,Lucy Deeds,7777,4.8
5. Magic Tom,D,2,1,31.1,512,2025-06-29,MT/G,5,30.46,30.12,29.92,4.55,4.75,Bourne Sid,32222,5.5
"",D,5,2,31.3,512,2025-06-22,MT/G,5,30.41,30.1,29.56,4.56,4.25,Magic Mack,45555,15.0
"",D,4,1,31.2,512,2025-06-08,MT/G,5,30.74,30.16,30.16,,8.25,Penny Pinto,4,7.0
"",D,4,7,31.1,512,2025-06-01,MT/G,2/3/4,30.15,29.93,29.83,4.55,3.0,Wind Whiskers,44444,17.0
"",D,2,8,30.8,512,2025-05-25,MT/G,OPEN,30.24,29.79,29.79,4.59,6.25,High Cube,2,16.0
7. Lochinvar Pearl,B,4,7,26.4,512,2025-06-29,MT/G,5,30.7,30.12,29.92,4.59,8.25,Bourne Sid,43444,3.1
"",B,7,5,26.4,512,2025-06-22,MT/G,2/3/4,31.03,29.56,29.56,4.41,21.0,High Cube,7,8.0
"",B,2,3,26.4,455,2025-06-13,MBR,5,25.76,25.75,25.39,8.14,0.125,Hey You Guys,2,18.0
"",B,4,6,25.9,512,2025-05-25,MT/G,OPEN,30.52,29.79,29.79,4.7,10.25,High Cube,4,6.0
"",B,4,2,26.2,530,2025-05-16,MBR,4/5,30.66,30.0,30.0,12.13,9.25,CANYA STRIKER,33344,16.0
8. STARLIGHT JEWEL,B,1,2,27.1,600,2025-06-08,MT/G,4/5/6,35.65,35.65,35.65,,0.031,Wind Whiskers,1,3.4
"",B,2,2,27.2,600,2025-05-25,MT/G,5,35.44,35.35,35.35,9.07,1.25,Zipping Mowgli,122222,4.4
"",B,2,4,27.4,600,2025-05-18,MT/G,4/5,35.34,35.16,35.16,9.16,2.5,Huntsman,244442,14.0
"",B,5,6,27.5,512,2025-05-01,MT/G,TG5+W,30.3,29.94,29.94,4.49,5.25,RAVEN PETER,66655,14.0
"",B,4,1,27.3,600,2025-04-27,MT/G,4/5/6,35.69,35.31,35.31,9.31,5.25,OREGON CALDWELL,344444,5.0
