Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Spare,B,1,8,24.5,342,2025-07-08,AP/K,TG1-4W,20.21,20.21,19.38,4.73,1.5,Destini Fresco,1,2.4
,B,4,2,24.3,300,2025-07-01,MBS,6,17.41,17.05,16.6,4.67,5.25,Cuban Mambo,5544,6.0
,B,2,4,24.2,342,2025-06-21,AP/K,TG1-4W,20.09,20.08,19.64,4.64,0.125,Aston Baker,2112,3.5
,B,3,5,24.2,342,2025-06-17,AP/K,TG1-4W,20.12,19.9,19.69,4.76,3.0,Aston Baker,3,2.4
,B,2,7,24.1,342,2025-06-07,AP/K,TG1-4W,20.23,20.03,19.84,4.68,2.75,Integrator,2,5.5
2. Stella Swift,B,2,4,25.0,342,2025-07-11,AP/K,TG1-4W,20.07,20.05,19.47,4.73,0.25,Waikarie Koby,2,3.9
,B,2,8,24.6,342,2025-07-08,AP/K,TG1-4W,20.23,19.92,19.38,4.65,4.25,Hayride Warner,2,11.0
,B,6,4,24.7,342,2025-07-04,AP/K,6,20.56,19.6,19.36,4.86,13.75,Kicker Dusty,5556,51.0
,B,3,1,24.7,400,2025-06-25,GAWL,TG1-4W,23.55,23.41,22.87,8.93,2.0,Razzle Berries,1223,4.6
,B,4,4,24.9,400,2025-06-18,GAWL,SE,24.0,22.9,22.49,8.85,15.75,Binnaway Oak,4,26.0
4. Pagan Witch,B,2,1,26.9,342,2025-07-15,AP/K,TG1-4W,20.05,19.97,19.73,4.68,1.0,Bonnie Diva,2,10.0
,B,6,2,26.6,342,2025-07-08,AP/K,TG1-4W,21.09,20.21,19.38,4.95,12.5,Spare,6,5.5
,B,2,2,26.7,342,2025-07-05,AP/K,TG1-4W,20.23,20.19,19.58,4.72,0.75,Crying Tiger,2222,7.0
,B,3,1,26.6,342,2025-07-01,AP/K,TG1-4W,20.15,19.7,19.65,4.66,6.25,Red Said So,3333,6.5
,B,5,5,26.5,342,2025-06-21,AP/K,TG1-4W,20.31,20.08,19.64,4.72,3.25,Aston Baker,4555,21.0
5. ARCHER TWO,D,5,2,34.9,342,2025-07-15,AP/K,TG1-4W,20.47,19.86,19.73,4.95,8.75,LADY NOVA,5,9.0
,D,6,5,35.5,300,2025-07-08,MBS,TG1-4W,17.18,16.65,16.44,4.56,7.5,Glasthule,6,81.0
,D,4,4,35.4,342,2025-07-05,AP/K,TG1-4W,20.31,19.62,19.58,4.75,9.75,Carry On Kim,4444,41.0
,D,5,1,34.8,342,2025-07-01,AP/K,TG1-4W,20.66,19.78,19.65,4.85,12.5,Imagine The Fun,4555,3.3
,D,4,8,34.7,342,2025-06-24,AP/K,TG1-4W,20.21,19.85,19.67,4.81,5.25,ARCHER EIGHT,2444,16.0
7. Nitro Bolt,D,6,7,33.0,400,2025-06-25,GAWL,TG1-4W,23.91,23.41,22.87,9.43,7.0,Razzle Berries,7666,3.8
,D,5,8,32.9,400,2025-06-22,GAWL,6,23.39,23.09,22.81,9.08,4.25,Switching Lanes,6665,41.0
,D,2,8,33.2,342,2025-06-03,AP/K,TG1-4W,20.21,20.11,19.7,4.83,1.5,Past President,6432,16.0
,D,6,1,33.1,400,2025-05-30,GAWL,6,23.42,23.0,22.41,9.13,6.0,Joker's Queen,7766,23.0
,D,5,1,33.2,300,2025-05-13,MBS,6,17.34,16.7,16.55,4.83,9.25,Binnaway Pearl,6655,34.0
8. She's Graceful,B,2,7,27.8,300,2025-05-14,TARE,5,17.94,17.92,17.32,6.6,0.25,Sea Shine,212,2.7
,B,8,1,27.9,300,2025-02-26,TARE,5,18.58,18.31,17.36,6.61,3.75,Reel'em Chappo,128,2.0
,B,5,6,27.8,400,2025-02-21,GRDN,5,23.61,23.29,22.61,11.64,4.5,Miss Maxi,565,6.0
,B,3,1,27.3,400,2025-02-10,GRDN,5,23.28,23.03,22.66,11.39,3.5,Miss Ziva,233,3.6
,B,7,7,27.8,400,2025-01-31,GRDN,5,23.83,22.83,22.67,11.57,14.25,Offenbach,457,23.0
9. Mr. Puddles,D,2,8,32.7,342,2025-07-15,AP/K,TG1-4W,19.99,19.86,19.73,4.76,1.75,LADY NOVA,2,2.0
,D,3,4,33.3,300,2025-07-08,MBS,TG1-4W,16.86,16.65,16.44,4.46,3.0,Glasthule,3,23.0
,D,6,1,32.9,300,2025-07-01,MBS,6,17.49,17.05,16.6,4.76,6.25,Cuban Mambo,7766,4.0
,D,4,1,33.0,400,2025-06-29,GAWL,6,23.51,23.23,22.8,9.04,4.0,Adhana Carl,3444,8.5
,D,4,8,32.6,400,2025-06-11,GAWL,TG1-4W,23.64,23.24,22.87,9.01,5.75,OUR IVIE ROSE,4,18.0
10. Quality Sigh,B,1,5,29.0,350,2025-07-01,MBS,6,19.35,19.35,19.35,7.0,1.5,Booterstown,1111,2.6
,B,2,7,29.2,350,2025-06-24,MBS,6,19.12,19.11,18.97,7.02,0.125,My Boy Bingo,1112,9.5
,B,3,2,29.4,350,2025-06-17,MBS,6,19.69,19.5,19.35,7.23,2.5,Zinfandel Dash,3,6.5
,B,1,1,29.8,300,2025-06-03,MBS,6,17.15,17.15,16.68,4.63,1.75,Dolan,2111,4.2
,B,5,8,29.3,342,2025-04-29,AP/K,TG1-4W,20.6,19.88,19.53,4.64,10.25,Joker's Queen,3555,2.6
