Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Dash Of Blue,D,7,1,32.6,530,2025-06-19,AP/K,I,32.23,30.76,30.18,5.39,21.0,Okay Boomer,87777,1.95
"",D,1,2,32.7,300,2025-06-10,MBS,5,16.95,16.95,16.9,4.48,0.75,TECTONIC,1,5.5
"",D,5,1,32.6,595,2025-05-08,AP/K,5/6,35.19,34.48,34.48,8.8,10.0,LONE ROOSTER,265555,4.0
"",D,3,4,32.6,595,2025-05-01,AP/K,SE,34.56,34.5,34.5,8.6,0.75,Black Chip,123333,14.0
"",D,3,5,32.8,530,2025-04-24,AP/K,I,30.89,30.83,30.37,5.38,0.75,Royal Nangar,55543,3.3
2. Aston Gillon,D,2,4,35.4,300,2025-06-17,MBS,5,17.01,16.53,16.53,4.56,6.75,Aussie Audi,2,6.5
"",D,1,1,35.3,300,2025-06-03,MBS,I,17.03,17.03,16.68,4.61,0.75,Unique Destiny,4311,3.3
"",D,1,6,35.4,300,2025-05-27,MBS,I,17.06,17.06,16.66,4.7,2.25,My Mum's Value,7411,8.0
"",D,2,7,35.6,300,2025-05-20,MBS,5,17.11,16.69,16.69,4.37,6.0,Sketchy Bloke,4322,101.0
"",D,5,2,35.7,400,2025-05-07,GAWL,P5,23.63,22.91,22.7,8.94,10.25,It's Jackie,4455,21.0
3. Zipping Hagrid,D,1,2,34.5,350,2025-04-01,MBS,6,19.79,19.79,19.79,7.34,1.5,Sand Dragon,5321,1.6
"",D,1,6,34.7,300,2025-03-25,MBS,6,16.78,16.78,16.67,4.54,3.5,Forgotten Fury,3111,3.3
"",D,4,6,34.4,530,2025-01-09,AP/K,6,31.04,30.79,30.11,5.48,3.5,Boom Boom Jack,4,5.5
"",D,1,4,34.2,530,2025-01-02,AP/K,M,30.88,30.88,30.29,5.5,1.5,Dolan,1,1.35
"",D,3,7,34.7,530,2024-12-19,AP/K,M,31.19,30.68,30.35,5.58,7.25,Anna Valentina,3,4.6
4. DUCKWORTH,D,3,6,31.3,395,2025-05-04,MBR,5,22.73,22.42,22.31,5.17,4.25,TECTONIC,2223,6.5
"",D,6,2,31.2,400,2025-04-27,GAWL,5,23.58,22.8,22.68,8.97,11.0,Dashing De Goey,6666,10.0
"",D,2,7,31.2,300,2025-04-22,MBS,5,17.14,17.0,16.87,4.56,2.0,Sketchy Show Man,4222,10.0
"",D,3,2,31.0,300,2025-04-15,MBS,5,17.07,16.63,16.63,4.58,6.25,Pin Up,5543,6.5
"",D,5,2,30.9,300,2025-04-01,MBS,5,17.18,16.88,16.69,4.58,4.25,Indy Sue,4555,5.0
6. Canya Crusader,D,4,1,37.9,300,2025-06-24,MBS,5,16.78,16.67,16.23,4.56,1.5,Cyclone Darcy,4434,7.5
"",D,2,1,37.8,300,2025-06-17,MBS,5,17.05,17.0,16.53,4.51,0.75,Beast Best,2,6.5
"",D,4,7,37.8,300,2025-06-03,MBS,5,17.27,16.68,16.68,4.63,8.25,I'M It,6444,21.0
"",D,1,1,38.2,300,2025-05-27,MBS,TG5+W,17.17,17.17,16.66,4.58,2.25,PENDLEBURY PIE,3111,2.9
"",D,5,8,38.7,300,2025-03-18,MBS,5,17.14,16.88,16.53,4.59,3.75,Spring Whiskey,5455,11.0
7. Nat Nismo,D,6,3,29.2,300,2025-06-24,MBS,5,16.81,16.49,16.23,4.43,4.5,Bobcat Chevy,1166,34.0
"",D,6,4,29.7,342,2025-06-21,AP/K,TG5+W,20.56,19.96,19.64,4.74,8.5,SUPER BREEZE,5666,3.9
"",D,4,3,29.9,300,2025-06-17,MBS,OPEN,17.01,16.66,16.53,4.49,5.0,My Reason,4,26.0
"",D,4,1,30.1,342,2025-06-07,AP/K,TG5+W,20.56,20.32,19.84,4.72,3.5,Smooth Vixen,4,1.65
"",D,5,4,29.7,395,2025-06-01,MBR,5,23.02,22.59,22.11,5.1,6.0,Bang Bang Jack,2455,23.0
8. SHINY PISTOL,D,5,1,31.0,395,2025-06-27,MBR,6,22.87,22.44,22.2,5.31,6.0,Dakota Shine,5555,19.0
"",D,4,2,31.1,300,2025-06-24,MBS,OPEN,16.79,16.23,16.23,4.64,8.0,My Reason,5544,71.0
"",D,5,8,31.1,395,2025-06-20,MBR,6,22.98,22.48,22.0,5.24,7.0,Binnaway Mirage,6665,12.0
"",D,6,7,31.0,300,2025-06-17,MBS,OPEN,17.17,16.66,16.53,4.64,7.25,My Reason,6,61.0
"",D,3,7,30.9,395,2025-06-13,MBR,6,22.91,22.57,22.12,5.21,4.75,No Fines,3,26.0
