Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SULTAN OF SWOON,D,7,6,37.4,390,2025-07-01,BAL,Grade 5,22.96,22.303,22.08,8.9135,10.0,MEAL TICKET,7,8.0
"",D,5,1,37.2,390,2025-06-26,WAR,Grade 5,22.96,22.09,21.771,8.994,13.0,INGA BUDDY,5,4.0
"",D,7,3,37.7,390,2025-05-19,WAR,Grade 5,23.48,22.742,22.396,,11.25,GARY KNEW IT,7,4.8
"",D,1,8,37.6,390,2025-05-12,WAR,Grade 5,22.428,22.428,22.31,8.6725,0.5,ZOOM BOOM,1,4.2
"",D,7,4,37.6,450,2025-05-05,WAR,Grade 5,26.045,25.583,25.583,,7.0,SENSES FAIL,7,3.4
2. Craig Keeping,D,6,4,34.3,390,2025-07-01,BAL,Grade 5,22.903,22.303,22.08,8.8435,9.0,MEAL TICKET,6,6.5
"",D,7,5,34.8,425,2025-06-18,BEN,Grade 5 T3,25.497,24.426,24.139,,16.0,NICKLEBY ACTION,7,9.0
"",D,6,8,35.2,410,2025-06-10,HOR,Grade 5,24.584,23.749,23.479,,12.5,My Lady Panama,6,8.0
"",D,2,8,35.2,425,2025-06-04,BEN,Grade 5,24.651,24.528,24.282,,2.0,DERNANCOURT,2,3.0
"",D,4,2,34.2,390,2025-01-13,BAL,Grade 5 T3,23.055,22.267,22.076,8.545,12.0,LORD PANAMA,4,5.5
4. MR. BOOT BOOT,D,8,2,32.1,400,2025-06-27,GEE,Grade 5,23.435,22.393,22.299,8.9145,15.75,ASGARI BOY,8,16.0
"",D,5,4,31.6,400,2025-06-17,GEE,Grade 5,23.244,22.604,22.526,8.91175,9.75,MR. PERSUADER,5,15.0
"",D,4,7,31.4,400,2025-06-10,GEE,Mixed 4/5,23.508,22.819,22.704,,10.5,BIG CONE TONE,4,10.0
"",D,5,10,31.8,390,2025-05-22,WAR,Grade 5,22.796,22.426,21.937,8.9125,5.75,NAUGHTY NORM,5,10.0
"",D,2,4,32.3,400,2025-05-13,GEE,Grade 5,22.993,22.703,22.542,,4.5,YOU WIN,2,12.0
5. URANA WHIRLWIND,B,4,7,26.0,390,2025-06-26,SHE,Grade 5,22.701,22.34,22.316,8.53,5.5,LAINEY JANE,4,5.0
"",B,1,7,26.0,390,2025-06-12,SHE,Grade 5,22.768,22.768,22.393,,3.0,GOLD GIZMO,1,6.5
"",B,2,3,25.3,425,2025-06-04,BEN,Grade 5,24.639,24.406,24.282,,3.5,HARBOUR LIGHTS,2,6.5
"",B,7,7,24.9,425,2025-05-28,BEN,Grade 5 T3,25.309,24.529,24.155,,11.75,Talk Backs Back,7,8.0
"",B,3,8,25.2,425,2025-05-14,BEN,Grade 5,24.727,24.608,24.208,,2.0,HELLO COOPER,3,8.0
7. Slippery Shark,D,3,3,29.5,425,2025-07-02,BEN,Grade 5,24.576,24.138,24.131,,6.75,MISS MELEE,3,4.0
"",D,2,9,29.5,390,2025-06-23,BAL,Grade 5 T3,22.81,22.53,22.401,,4.25,Crackerjack Bern,2,5.0
"",D,6,6,29.5,390,2025-06-09,BAL,Grade 5 T3,23.033,22.432,22.404,,9.0,PYRENEES PRINCE,6,4.2
"",D,6,5,29.7,390,2025-06-02,BAL,Grade 5 T3,22.912,22.106,22.106,8.86675,12.25,LOVE A BOURBSKI,6,4.8
"",D,6,2,29.5,400,2025-05-27,GEE,Grade 5,23.374,22.655,22.655,8.8335,10.75,FENELLA,6,4.6
8. NOLAN BALE,D,8,1,31.3,390,2025-07-02,BAL,Grade 5,22.871,22.372,22.076,,7.5,TRICKY DISCO,8,8.0
"",D,6,4,31.5,435,2025-06-29,SAL,Grade 5,25.167,24.788,24.357,,5.75,ONCE MORE,6,21.0
"",D,8,5,31.7,400,2025-06-24,WAR,Grade 5,23.748,23.086,22.648,8.4845,10.0,ALBORZ GIRL,8,15.0
"",D,8,6,31.3,400,2025-06-20,GEE,Grade 5,23.424,22.586,22.3,,12.75,BLACKPOOL RANGER,8,12.0
"",D,1,3,31.7,390,2025-06-16,SHE,Grade 5,22.7,22.7,21.963,8.7675,1.0,NEW LINE,1,8.0
