Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Hit After Hit,D,1,2,31.9,380,2025-06-20,TVLE,P5,22.01,22.01,21.8,,1.0,Time For Tina,1,15.0
"",D,5,7,32.2,380,2025-06-06,TVLE,5,22.65,21.85,21.54,,11.5,Lucky Red,5,81.0
"",D,5,6,33.2,380,2025-05-16,TVLE,P5,22.39,21.81,21.81,,8.25,At The Roxy,5,12.0
"",D,6,6,32.2,380,2025-05-02,TVLE,P5,22.83,22.12,21.68,,10.0,Flying In Style,6,9.5
"",D,6,5,32.0,380,2025-04-19,TVLE,P5,23.04,22.23,22.23,,11.5,At The Roxy,6,6.0
2. Oscar Tommy,D,1,6,33.3,380,2025-06-20,TVLE,P5,22.1,22.1,21.8,,1.0,On Report,1,41.0
"",D,4,3,33.3,380,2025-06-17,TVLE,5,22.33,21.98,21.63,,5.0,Souvlaki George,4,61.0
"",D,5,5,32.9,380,2025-06-03,TVLE,5,22.48,21.98,21.51,,7.0,STILTON INDIE,5,71.0
"",D,6,5,32.6,380,2025-05-30,TVLE,P5,22.48,22.02,21.62,,6.5,Speedy Ben,6,81.0
"",D,7,8,33.1,380,2025-05-27,TVLE,5,22.57,21.83,21.56,,10.5,Anna Rumble,7,51.0
3. Canya King Seti,D,1,5,32.4,380,2025-06-20,TVLE,P5,22.16,22.16,21.8,,0.75,She's Winning,1,3.0
"",D,7,6,32.4,380,2025-06-06,TVLE,5,22.24,21.72,21.54,,7.5,Waikarie Venom,7,13.0
"",D,4,6,31.7,380,2025-05-20,TVLE,4/5,22.16,21.78,21.53,,5.25,SWEET CHILD,4,12.0
"",D,6,5,31.6,380,2025-05-13,TVLE,4/5,22.81,21.97,21.93,,12.0,SWEET CHILD,6,3.8
"",D,5,5,32.3,380,2025-05-02,TVLE,5,22.27,21.88,21.68,,5.5,FUEL THE FIRE,5,5.5
4. Miss Moose,B,2,2,26.1,380,2025-06-20,TVLE,P5,22.53,22.46,21.8,,1.0,Time Passages,2,7.0
"",B,4,6,26.0,498,2025-06-17,TVLE,P5,29.63,29.19,28.52,,6.25,Stappen On Tap,4,26.0
"",B,4,7,25.9,380,2025-05-30,TVLE,P5,22.37,21.97,21.62,,5.75,ZIPPING PERKINS,4,14.0
"",B,7,7,25.8,380,2025-05-16,TVLE,P5,22.72,22.15,21.81,,8.25,Helsinki Rico,7,15.0
"",B,7,2,25.8,498,2025-05-13,TVLE,5/6,30.4,29.65,29.12,,10.5,Tilly's Son,7,18.0
5. She's Winning,B,2,9,25.6,380,2025-06-20,TVLE,P5,22.22,22.16,21.8,,0.75,Canya King Seti,2,8.0
"",B,6,9,26.0,380,2025-05-30,TVLE,P5,22.45,21.97,21.62,,6.75,ZIPPING PERKINS,6,3.1
"",B,6,5,25.8,380,2025-02-28,TVLE,P5,22.51,21.63,21.63,,12.5,Tropical Balt,6,5.0
"",B,2,9,25.7,380,2025-02-21,TVLE,P5,22.32,22.14,21.7,,2.5,Divine Electra,2,2.2
"",B,5,8,25.7,380,2025-01-24,TVLE,P5,22.49,21.81,21.7,,9.75,Non Stop Tommy,5,3.9
6. Time Passages,B,1,4,27.9,380,2025-06-20,TVLE,P5,22.46,22.46,21.8,,1.0,Miss Moose,1,2.4
"",B,7,3,28.2,600,2025-05-28,MEA,Restricted Win Heat,35.808,34.727,34.727,,16.25,REIKO DUSTY,7,34.0
"",B,5,7,27.6,600,2025-05-14,MEA,Grade 5,36.18,35.69,35.69,9.36175,7.5,Secret Emgrand,5,34.0
"",B,8,6,27.0,525,2025-04-26,MEA,Grade 5,31.185,30.248,29.963,5.29425,14.0,SCOTT AQUAPHOBIA,8,26.0
"",B,6,10,26.9,525,2025-03-15,MEA,Grade 5,30.669,30.216,29.796,,7.0,SHIMA BLUSH,6,18.0
7. On Report,D,7,8,33.5,498,2025-06-24,TVLE,5,29.78,28.62,28.56,,16.5,Hara's Cookie,7,10.0
"",D,2,8,34.0,380,2025-06-20,TVLE,P5,22.18,22.1,21.8,,1.0,Oscar Tommy,2,3.1
"",D,5,6,33.4,380,2025-06-10,TVLE,5,22.17,21.77,21.56,,5.75,Canya Nuclear,5,15.0
"",D,4,1,33.2,380,2025-06-06,TVLE,5,22.36,21.9,21.54,,6.5,Verruckt,4,2.8
"",D,4,4,33.5,380,2025-04-22,TVLE,4/5,22.43,21.93,21.55,,7.0,Showtime Imogen,4,3.6
8. Time For Tina,D,2,1,33.1,380,2025-06-20,TVLE,P5,22.09,22.01,21.8,,1.0,Hit After Hit,2,2.6
"",D,4,8,33.0,380,2025-06-13,TVLE,5,21.91,21.68,21.68,,3.25,Canya Penny,4,17.0
"",D,5,3,33.2,380,2025-05-27,TVLE,4,22.41,21.91,21.56,,7.0,What's Left,5,21.0
"",D,7,6,32.8,380,2025-05-20,TVLE,4,22.51,21.86,21.53,,9.25,Moustache Mick,7,34.0
"",D,4,3,32.9,380,2025-05-16,TVLE,5,22.19,21.97,21.81,,3.0,Major Ando,4,10.0
9. Migraine,B,3,8,26.6,380,2025-06-20,TVLE,P5,22.16,22.01,21.8,,2.0,Hit After Hit,3,17.0
"",B,7,7,26.7,380,2025-05-09,TVLE,P5,22.52,21.85,21.81,,9.5,Flying In Style,7,19.0
"",B,3,7,26.9,380,2025-05-02,TVLE,P5,22.1,21.77,21.68,,4.75,Bad Not Mad,3,9.5
"",B,7,4,27.1,380,2025-04-25,TVLE,5,22.93,22.16,21.8,,11.0,Federal Fury,7,23.0
"",B,4,7,26.5,380,2025-04-11,TVLE,5,22.48,22.07,21.85,,5.75,Maxwell Rhodes,4,14.0
10. Apache Malt,D,3,3,31.2,380,2025-06-20,TVLE,P5,22.24,22.16,21.8,,1.0,Canya King Seti,3,16.0
"",D,6,8,31.2,380,2025-05-30,TVLE,P5,22.26,21.62,21.62,,9.25,Lush Ice,6,11.0
"",D,6,1,31.3,380,2025-05-23,TVLE,5,22.46,21.8,21.7,,9.25,Cash Pirate,6,16.0
"",D,6,6,30.8,380,2025-05-02,TVLE,M5,22.57,21.68,21.68,,12.75,Judged,6,9.5
"",D,5,5,30.8,380,2025-03-07,TVLE,5,22.81,22.11,21.6,,10.0,Half Day Hero,5,4.2
