Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SONIA'S BEAUTY,B,4,2,29.1,425,2025-06-20,BEN,Restricted Win,24.601,23.902,23.851,6.6175,10.5,PAPA EASY,4,10.0
"",B,1,5,29.0,350,2025-06-15,HEA,Mixed 6/7,19.318,19.318,19.165,6.58,4.25,Despicable Andy,1,4.8
"",B,6,1,29.2,350,2025-06-01,HEA,Mixed 6/7,19.753,19.387,19.073,6.68125,5.5,AGENT SUSIE,6,8.0
"",B,2,3,29.3,350,2025-05-25,HEA,Mixed 6/7,19.455,19.432,19.083,6.517,0.5,SAINT MIKEY,2,15.0
"",B,3,3,29.4,300,2025-05-18,HEA,Mixed 6/7 Heat,17.373,17.13,16.559,4.097,3.75,ZINZAN SAMMY,3,6.5
2. MAGIC FLUX,D,4,2,27.8,390,2025-06-30,BAL,Tier 3 - Grade 7,22.887,22.847,22.223,,0.75,Pinaroo Flyer,4,4.6
"",D,6,2,27.3,460,2025-06-27,GEE,Mixed 6/7,26.897,26.023,25.879,6.85775,13.25,BILLY BUST UP,6,16.0
"",D,1,2,27.5,390,2025-06-23,SHE,Maiden,22.905,22.905,21.918,8.69,0.5,BAYINI,1,3.2
"",D,3,6,27.6,390,2025-06-18,BAL,Maiden,22.631,22.445,22.072,,3.0,PAW CLARISSA,3,4.0
"",D,2,7,27.7,390,2025-06-14,BAL,Maiden,22.693,22.548,22.504,8.705,2.25,CRACKERJACK HOPS,2,2.8
4. SUPER STORM,D,7,1,34.8,425,2025-06-27,BEN,Grade 6,24.718,23.815,23.682,6.865,13.5,EXAGGERATOR,7,10.0
"",D,3,5,34.7,425,2025-06-20,BEN,Restricted Win,24.341,23.902,23.851,6.7295,6.75,PAPA EASY,3,10.0
"",D,1,6,35.0,425,2025-06-11,BEN,Tier 3 - Restricted Win,24.174,24.174,24.174,,3.5,SMOOTH TIGER,1,6.5
"",D,4,2,35.5,450,2025-05-29,SHE,Mixed 6/7,26.014,25.335,25.335,,10.25,FEAR THE BEER,4,3.2
"",D,1,8,35.9,425,2025-05-17,BEN,Maiden,24.291,24.291,24.291,,1.75,HEADING SOUTH,1,3.6
5. PAW HELION,D,2,6,33.3,515,2025-06-30,SAN,Mixed 6/7,29.998,29.98,29.444,,0.5,DOONGALLA SERENA,2,12.0
"",D,7,8,33.4,640,2025-06-22,SAL,Restricted Win,37.238,36.7,36.625,,8.25,FLYING PROUD,7,5.0
"",D,2,8,33.6,600,2025-06-14,MEA,Mixed 6/7,35.182,35.136,34.609,9.4,0.75,DESTINY LANE,2,14.0
"",D,3,6,33.6,510,2025-06-08,SAL,Restricted Win,29.189,28.799,28.799,9.554,6.0,AMRON TOMMY,3,7.5
"",D,4,2,33.9,525,2025-06-04,MEA,Mixed 6/7,30.673,30.352,29.847,5.532,5.0,WYONG GRESHAM,4,15.0
7. FEAR THE BEER,D,3,6,33.4,425,2025-06-13,BEN,Mixed 6/7,24.351,24.02,23.779,,5.0,MOYARRA KONGK,3,4.8
"",D,2,3,33.4,450,2025-06-09,SHE,Mixed 6/7,25.657,25.569,25.011,,1.5,IT'S LATE,2,3.2
"",D,1,8,33.6,450,2025-05-29,SHE,Mixed 6/7,25.335,25.335,25.335,,3.75,MONTANA ICON,1,5.5
"",D,4,8,33.2,450,2025-05-22,SHE,Grade 7,25.591,25.173,25.173,6.72,6.25,TURN THE TIDE,4,4.8
"",D,3,6,33.0,450,2025-05-14,BAL,Restricted Win,25.845,25.545,25.241,6.7825,4.5,PAW VADA,3,4.2
8. AXEL'S RADAR,D,3,1,30.8,390,2025-06-26,SHE,Restricted Win,22.785,22.729,22.316,,1.0,MOE PATTY,3,5.5
"",D,6,2,30.7,390,2025-06-14,BAL,Mixed 6/7,22.824,22.565,22.504,,4.0,LAURA MAY,6,15.0
"",D,2,3,30.6,390,2025-06-11,BAL,Mixed 6/7,22.481,22.35,21.865,,2.0,MAJOR LIGHTYEAR,2,10.0
"",D,5,7,30.8,390,2025-06-04,WAR,Mixed 6/7,22.625,22.346,21.749,,4.25,TRUTH TELLER,5,21.0
"",D,5,5,30.7,450,2025-05-19,BAL,S/E Heat,25.632,25.205,25.205,6.742,6.5,REIKO WALTER,5,16.0
