Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Kade,D,5,8,33.2,450,2025-07-10,WAR,Mixed 4/5,25.759,25.354,25.354,6.793,6.25,IMPEL,5,4.8
"",D,4,6,33.5,450,2025-07-03,WAR,Grade 5,25.623,25.025,25.025,6.90875,9.0,NEEDFUL,4,5.0
"",D,1,7,33.3,460,2025-06-27,GEE,Grade 5,25.879,25.879,25.879,,4.0,ASTON ZINGARA,1,4.2
"",D,2,1,33.3,450,2025-06-19,WAR,Grade 5,25.455,25.415,24.716,6.67,0.75,Gizmo's Girl,2,2.8
"",D,3,1,33.3,500,2025-05-09,BEN,Mixed 4/5,28.607,28.152,28.152,,7.0,Spritely Sian,3,7.5
2. MEAL TICKET,B,2,3,24.7,400,2025-07-11,GEE,Grade 5,22.678,22.504,22.258,,2.75,ZERO KILLER,2,7.5
"",B,1,1,24.7,390,2025-07-01,BAL,Grade 5,22.303,22.303,22.08,8.4935,2.25,LOVE A BOURBSKI,1,3.6
"",B,4,1,24.6,450,2025-06-14,BAL,Mixed 4/5,26.262,25.998,25.721,6.88975,4.0,DON'T TELL SHELL,4,6.5
"",B,4,1,24.7,390,2025-06-02,WAR,Grade 5,22.789,22.484,22.237,,4.75,CLOUDY WREN,4,4.6
"",B,7,4,24.8,450,2025-05-26,WAR,Grade 5,26.53,26.059,25.669,,7.25,NOAH'S BEST,7,5.0
3. ZIPPING CARDI,B,3,2,27.2,460,2025-07-11,GEE,Grade 5,26.027,25.787,25.588,6.7955,3.75,GO GO EVIE,3,12.0
"",B,6,8,27.2,545,2025-05-30,BAL,Special Event,31.302,30.947,30.947,,5.5,DISHEVELED,6,21.0
"",B,6,7,27.0,545,2025-05-16,BAL,Mixed 4/5,31.416,30.961,30.961,,7.0,KING OWEN,6,12.0
"",B,2,2,27.1,545,2025-05-07,BAL,Grade 5,31.193,31.13,31.13,,1.0,Got A Pulse,2,10.0
"",B,6,7,27.2,460,2025-04-25,GEE,Grade 5,26.431,25.883,25.549,6.86625,8.25,WHY I'M BROKE,6,8.0
4. PAW UMA,B,8,7,30.3,525,2025-07-12,MEA,Grade 5,31.045,30.088,29.806,,14.5,AMRON MICK,8,34.0
"",B,8,8,30.3,525,2025-07-05,MEA,Grade 5,30.76,30.064,29.913,,10.5,ZELDA COVILHA,8,12.0
"",B,5,7,29.3,460,2025-06-27,GEE,Mixed 4/5,26.164,25.956,25.879,6.63025,3.25,DASH OF WHISKY,5,16.0
"",B,7,3,29.7,525,2025-06-21,MEA,Grade 5,30.631,30.014,30.014,5.2365,9.25,PAW ZURI,7,6.5
"",B,8,3,29.9,525,2025-06-14,MEA,Free For All,31.153,29.988,29.917,,17.5,HOLDEN BALE,8,12.0
5. EAT YOUR SPINACH,D,3,2,34.3,390,2025-07-10,WAR,Grade 5,22.628,22.381,22.008,8.9175,3.75,LIVING,3,9.0
"",D,2,4,34.5,400,2025-07-04,WAR,Grade 5,23.129,23.059,22.686,,1.25,MAC AND CHEESE,2,4.0
"",D,3,8,34.4,390,2025-06-30,SHE,Grade 5,22.596,22.37,21.894,,3.5,RUXTON SHINE,3,6.0
"",D,3,1,34.4,400,2025-06-24,WAR,Grade 5,23.237,23.086,22.648,8.5895,2.5,ALBORZ GIRL,3,3.7
"",D,2,4,34.3,400,2025-06-17,GEE,Mixed 4/5,22.651,22.526,22.526,,2.0,ALL TALKER,2,6.0
6. KENSINGTON FLYER,D,2,1,28.2,600,2025-07-05,MEA,Grade 5,34.953,34.935,34.733,9.02,0.5,MISS JAZZ,2,3.8
"",D,7,4,28.1,525,2025-06-28,MEA,Grade 5,30.632,29.885,29.843,5.1575,11.25,CANYA MAYHEM,7,15.0
"",D,2,7,27.7,525,2025-06-21,MEA,Grade 5,30.543,30.346,30.014,5.162,3.0,WYONG GRESHAM,2,6.5
"",D,7,2,27.9,525,2025-06-14,MEA,Grade 5,31.156,30.121,29.917,5.12425,15.5,Delicate,7,15.0
