Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Billy Ray's Girl,B,5,2,26.3,401,2025-07-09,RICH,5,23.21,22.61,22.5,6.81,8.5,Zipping Balboa,3235,3.0
"",B,2,2,26.4,520,2025-06-27,RICH,5,30.29,29.59,29.59,4.51,10.0,Sassy Supreme,44232,4.4
"",B,3,5,26.3,520,2025-06-20,RICH,4/5,30.18,29.78,29.78,4.38,5.75,Might Have Been,32333,7.5
"",B,6,1,26.0,520,2025-06-14,W/PK,5,30.48,30.13,29.63,5.64,5.0,Dynamic Drummer,2566,4.6
"",B,5,6,25.9,520,2025-06-05,W/PK,5,30.95,30.01,29.58,5.54,13.25,Go Forward Jacki,1355,4.6
2. Calla Axel,D,4,3,31.7,401,2025-07-09,RICH,4/5,23.16,22.83,22.5,6.94,4.75,Wow It's Me,5444,4.2
"",D,6,8,31.6,520,2025-07-03,W/PK,5,30.62,30.1,29.54,5.6,7.5,Vintage Flair,7566,3.9
"",D,5,7,31.8,401,2025-06-29,RICH,4/5,23.29,22.93,22.81,6.96,5.25,Emgrand Drive,6545,3.3
"",D,4,2,31.5,401,2025-06-25,RICH,4/5,23.36,23.08,22.97,6.92,4.0,Sammy My Boy,7544,2.7
"",D,1,1,31.9,401,2025-06-06,RICH,4/5,22.85,22.85,22.85,6.82,4.25,She's Promising,6211,1.6
4. Angelic Baroque,B,3,4,24.5,520,2025-06-25,RICH,4/5,30.3,30.1,29.97,4.32,2.75,Grand Blazer,11223,17.0
"",B,2,6,24.4,520,2025-06-13,RICH,4/5,30.38,29.79,29.79,4.29,8.25,Zipping Mayer,11222,23.0
"",B,6,6,24.1,520,2025-06-04,RICH,4/5,30.49,29.72,29.72,4.52,11.0,Zipping Braddock,56776,13.0
"",B,5,5,24.4,520,2025-05-28,RICH,4/5,30.41,29.95,29.67,4.43,6.5,Zipping Marquez,12665,10.0
"",B,3,1,24.5,520,2025-05-23,RICH,4/5,29.95,29.83,29.83,4.35,1.75,Billy Ray's Girl,22223,14.0
5. Reece Unleashed,D,2,1,33.1,515,2025-07-08,BUL,5,29.11,29.06,29.06,12.5,0.75,Trunkey Villain,1122,9.0
"",D,6,4,33.5,440,2025-06-20,GOUL,4/5,25.34,24.79,24.79,,7.75,Tin Roof Rusty,3456,13.0
"",D,7,8,33.2,520,2025-06-12,W/PK,5,30.56,29.68,29.53,5.7,12.5,Go Jimmy,7767,8.5
"",D,2,1,33.3,520,2025-06-07,W/PK,5,30.31,30.26,29.67,5.69,0.75,Bernardo Beach,6632,2.4
"",D,7,1,33.5,520,2025-05-24,W/PK,5,30.78,30.14,29.79,5.68,9.25,Cool Story,7687,3.0
7. Poco Rico,D,5,6,33.4,401,2025-07-02,RICH,4/5,23.56,22.88,22.88,7.1,9.75,She's Promising,7565,4.8
"",D,4,1,33.4,520,2025-06-28,W/PK,4/5,29.96,29.76,29.48,5.53,2.75,Talk About Class,4324,8.0
"",D,3,7,33.4,520,2025-06-19,W/PK,NG1-4,30.27,30.2,29.62,5.57,1.0,Both Bowers Ace,3323,19.0
"",D,3,7,34.0,401,2025-06-15,RICH,3/4,22.87,22.57,22.44,6.86,4.25,Both Bowers Ace,4533,9.0
"",D,3,6,33.5,520,2025-06-07,W/PK,4/5,29.82,29.81,29.67,5.51,0.125,Blue Goose Boy,2223,16.0
8. Sassy Supreme,B,7,3,28.8,520,2025-07-03,W/PK,5,30.23,29.94,29.54,5.5,4.25,Bland Option,2477,3.3
"",B,1,1,28.9,520,2025-06-27,RICH,5,29.59,29.59,29.59,4.33,10.0,Billy Ray's Girl,11111,1.33
"",B,1,1,29.2,401,2025-05-30,RICH,4/5,22.7,22.7,22.6,6.81,5.25,She's Promising,2111,1.22
"",B,7,6,29.2,520,2025-02-21,RICH,NG,30.2,29.6,29.31,4.32,8.5,Miss Zig Zag,11667,4.6
"",B,1,2,29.6,401,2025-02-07,RICH,5,22.35,22.35,22.35,6.58,9.25,Officer Dibble,1111,1.2
