Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Tough Cookie,D,6,7,30.9,300,2025-08-05,MBS,6,17.45,16.87,16.48,4.63,8.25,Finniss Sunset,6,61.0
"",D,4,4,31.2,342,2025-08-02,AP/K,TG1-4W,20.68,20.26,19.56,4.83,6.0,Districts Dub,4,9.0
"",D,5,5,31.1,342,2025-07-29,AP/K,TG1-4W,20.62,20.11,19.6,4.83,7.25,Introduced,5,9.0
"",D,4,5,31.2,342,2025-07-25,AP/K,TG1-4W,20.6,20.23,19.58,4.64,5.25,Triston,4,11.0
"",D,3,1,31.0,342,2025-07-19,AP/K,TG1-4W,20.61,20.17,19.63,4.78,6.25,Triston,3,4.0
2. Weblec Wonder,B,4,9,27.7,342,2025-08-05,AP/K,TG1-4W,20.44,20.15,19.57,,4.25,He's A Profit,4,5.0
"",B,3,2,28.1,342,2025-08-02,AP/K,TG1-4W,20.38,20.07,19.56,4.73,4.25,Aston Biden,3,3.9
"",B,3,4,28.1,342,2025-07-29,AP/K,TG1-4W,20.3,20.1,19.6,4.76,2.75,All The Bling,3,9.5
"",B,5,2,28.3,342,2025-07-22,AP/K,TG1-4W,20.51,20.06,19.54,4.66,6.25,Computer Man,5,7.5
"",B,5,5,28.1,342,2025-07-15,AP/K,TG1-4W,20.78,19.97,19.73,4.88,11.5,Bonnie Diva,5,9.0
4. Archer Eleven,B,5,7,25.9,342,2025-08-05,AP/K,TG1-4W,20.65,20.15,19.57,4.95,7.0,He's A Profit,5,9.0
"",B,1,2,25.9,342,2025-07-29,AP/K,M,20.33,20.33,19.6,4.74,5.25,Little Lagertha,1,4.4
"",B,6,2,25.9,375,2025-07-27,BKHL,M,23.23,21.91,21.5,,18.75,RAVEN ZAYLEE,6,26.0
"",B,2,4,26.2,342,2025-07-22,AP/K,M,20.37,20.18,19.54,4.71,2.5,Introduced,2,3.1
"",B,3,5,26.6,342,2025-07-19,AP/K,M,20.89,20.74,19.63,4.94,2.0,Our Baby Tiger,3,2.5
5. Sebon Diva,B,5,8,26.5,300,2025-08-05,MBS,6,17.19,16.87,16.48,4.68,4.5,Finniss Sunset,5,21.0
"",B,5,1,26.5,342,2025-08-02,AP/K,TG1-4W,20.5,20.07,19.56,5.04,6.0,Aston Biden,5,4.2
"",B,6,3,26.7,530,2025-07-27,MBR,6,31.4,30.35,30.35,12.66,15.0,Wraps,6,23.0
"",B,7,7,26.5,595,2025-07-18,AP/K,SE,35.86,34.82,34.82,9.13,14.75,Bang Bang Jack,7,101.0
"",B,5,7,25.9,595,2025-07-10,AP/K,6,35.82,34.9,34.36,8.89,13.25,Anna Valentina,5,81.0
7. Districts Dub,D,1,5,31.2,342,2025-08-02,AP/K,TG1-4W,20.26,20.26,19.56,4.72,3.25,LAST BURST,1,5.0
"",D,5,8,30.7,342,2025-07-29,AP/K,TG1-4W,20.44,20.1,19.6,4.81,4.75,All The Bling,5,41.0
"",D,5,2,30.9,342,2025-07-22,AP/K,TG1-4W,20.65,20.12,19.54,4.75,7.5,LIBRA COURT,5,13.0
"",D,5,4,30.4,342,2025-07-08,AP/K,TG1-4W,20.5,19.92,19.38,4.78,8.25,Hayride Warner,5,31.0
"",D,5,1,30.7,300,2025-06-24,MBS,6,17.28,17.02,16.23,4.6,3.75,COUNTRY CRUSADER,5555,26.0
8. Knock Off Cans,D,5,5,34.7,342,2025-08-08,AP/K,TG1-4W,20.91,19.91,19.42,4.96,14.25,Russo,5,101.0
"",D,3,1,34.7,342,2025-08-02,AP/K,TG1-4W,20.65,20.26,19.56,4.87,5.5,Districts Dub,3,3.8
"",D,4,8,34.4,342,2025-07-29,AP/K,TG1-4W,20.61,20.11,19.6,4.99,7.0,Introduced,4,5.5
"",D,3,4,34.4,342,2025-07-25,AP/K,TG1-4W,20.55,20.23,19.58,4.93,4.5,Triston,3,4.4
"",D,4,8,34.4,342,2025-07-19,AP/K,TG1-4W,20.55,19.98,19.63,4.91,8.25,FRENZY ATTACK,4,21.0
