Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. TWITCHING,B,4,8,26.0,300,2026-05-15,HEA,Tier 3 - Maiden,17.326,17.121,16.69,3.995,3.0,TRACKING ME,4,7.0
"",B,7,6,25.3,300,2026-05-08,HEA,Tier 3 - Maiden,17.934,17.38,17.023,,8.0,ASTON ANTIBES,7,6.0
"",B,5,7,25.6,390,2026-04-30,SHE,Bottom Up - Maiden,22.982,22.435,22.14,8.947,8.0,SCOTT ALIFEROUS,5,10.0
"",B,8,1,25.2,390,2026-04-27,SHE,Maiden,23.251,22.3,21.875,8.7925,13.75,SMART AS YOU,8,6.5
"",B,7,1,25.8,410,2026-04-09,HOR,Maiden,24.475,24.111,22.975,,5.25,SAFELY,7,2.8
2. CRITICALLY,D,5,7,30.1,400,2026-05-14,WAR,Rank Limit - Maiden,23.227,22.893,22.893,8.8375,5.0,TRACK THIRTEEN,5,8.0
"",D,4,8,29.9,450,2026-05-07,SHE,Tier 3 - Maiden,26.099,25.834,25.688,,4.0,GRAVITY RUSH,4,4.0
"",D,2,6,29.9,390,2026-04-30,SHE,Bottom Up - Maiden,22.681,22.435,22.14,8.835,3.75,SCOTT ALIFEROUS,2,5.0
"",D,4,2,29.4,410,2026-04-28,HOR,Tier 3 - Restricted Win,23.988,23.745,23.087,,3.5,PINK FROSTING,4,5.0
"",D,5,2,29.5,410,2026-04-21,HOR,Maiden,24.286,23.727,22.745,,8.0,FULL BORE DONNY,5,16.0
3. PAW CADE,D,2,8,33.1,390,2026-05-18,WAR,Bottom Up - Maiden,22.587,22.436,22.08,8.8925,2.25,LEKTRA EDGE,2,10.0
"",D,2,6,33.0,400,2026-05-12,GEE,Bottom Up - Maiden,23.21,22.815,22.736,8.697,5.75,RING A BLUEY,2,4.2
"",D,3,2,33.0,400,2026-05-09,GEE,Rank Limit - Maiden,23.477,22.74,22.461,8.77,10.75,PAW WONDER,3,4.2
"",D,5,5,33.1,390,2026-05-04,WAR,Bottom Up - Maiden,22.912,22.653,22.421,,3.75,INGA JOKER,5,16.0
"",D,5,5,33.0,390,2026-04-27,BAL,Tier 3 - Maiden,23.293,22.706,22.087,,8.5,CONUS,5,3.0
4. TOOTHPICK,D,8,8,30.1,390,2026-05-07,SHE,Tier 3 - Maiden,23.303,22.521,22.237,,11.25,HARTLAND BONNIE,8,26.0
"",D,8,5,30.1,390,2026-04-30,SHE,Bottom Up - Maiden,23.777,22.435,22.14,9.2445,19.25,SCOTT ALIFEROUS,8,21.0
"",D,5,8,30.2,390,2026-04-16,SHE,Tier 3 - Maiden,23.823,22.863,22.233,,13.75,ACCIDENTAL,5,16.0
"",D,8,7,30.7,390,2026-04-10,SHE,Tier 3 - Maiden,23.578,22.646,22.477,,13.5,ROCKET TATTOO,8,16.0
"",D,5,8,30.4,425,2026-03-25,BEN,Tier 3 - Maiden,25.262,24.336,23.938,,13.25,KRAKEN NUTTER,5,18.0
5. MURRAY RIVER,D,8,7,34.2,450,2025-12-04,SHE,Tier 3 - Maiden,26.689,25.304,25.304,,20.75,STEELY SHIRAZ,8,7.5
"",D,2,2,34.0,425,2025-11-26,BEN,Maiden,24.452,24.405,24.338,,0.75,YOU FOUND ME,2,3.6
"",D,3,5,33.7,450,2025-11-20,SHE,Maiden,26.254,26.115,25.474,,2.25,RUGRAT TOMMY,3,5.5
"",D,7,8,33.5,425,2025-11-13,BEN,Maiden,24.963,23.993,23.527,,14.5,ORLA,7,21.0
"",D,4,4,33.6,390,2025-10-16,SHE,Maiden,23.389,22.35,22.229,9.2775,15.75,PAW HARKONNEN,4,15.0
6. HAVING A LOOK,B,5,3,27.1,425,2026-05-13,BEN,Tier 3 - Maiden,24.944,24.84,23.964,,1.5,TRENTON'S MISS,5,4.6
"",B,3,4,26.8,390,2026-05-07,SHE,Tier 3 - Maiden,22.595,22.237,22.237,,5.25,DON'T LOOK,3,4.4
"",B,2,1,26.6,425,2026-04-29,BEN,Tier 3 - Maiden,24.47,24.311,24.136,,2.5,RITZY RUTH,2,3.6
"",B,2,5,26.3,425,2026-04-15,BEN,Bottom Up - Maiden,24.651,24.232,23.928,,6.0,TALTARNI LANE,2,2.8
"",B,3,7,26.3,390,2026-04-10,SHE,Tier 3 - Maiden,22.724,22.609,22.477,,1.75,ASTON MAJOR,3,9.0
7. SCOTT ENIGMA,B,4,2,25.0,450,2026-05-14,SHE,Rank Limit - Maiden,26.209,26.105,25.43,,1.5,SCOTT ELYSIAN,4,5.5
"",B,4,7,24.8,390,2026-05-04,SHE,Maiden,22.77,22.314,22.119,8.69,6.75,WANGARATTA GIRL,4,4.2
"",B,3,7,25.1,450,2026-04-30,SHE,Bottom Up - Maiden,26.115,25.964,25.533,6.95,2.25,SCOTT IMPOSTER,3,3.0
"",B,5,4,24.9,390,2026-04-27,SHE,Maiden,22.957,22.3,21.875,8.985,9.5,SMART AS YOU,5,5.5
"",B,3,8,25.0,390,2026-04-23,SHE,Rank Limit - Maiden,22.749,22.415,22.101,8.845,5.0,FRANKY'S LASS,3,6.0
8. DANCING MAYA,B,7,8,27.9,390,2026-05-04,SHE,Maiden,23.146,22.314,22.119,8.795,12.0,WANGARATTA GIRL,7,10.0
"",B,7,7,29.0,390,2026-02-28,SHE,Maiden,23.296,22.426,21.959,,13.0,CHEEKY MILA,7,6.5
