Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. All The Spoils,B,4,1,27.9,375,2025-06-29,BKHL,MX,22.91,21.71,21.71,,17.25,Sweet Spot,4,3.1
"",B,2,4,27.7,375,2025-06-22,BKHL,MX,22.25,22.02,21.53,,3.25,Seldom Found,2,9.5
"",B,2,6,27.7,375,2025-06-15,BKHL,MX,22.27,22.1,21.71,,2.25,Del Mar Jessie,2,4.4
"",B,7,7,27.4,375,2025-06-01,BKHL,M,22.96,22.46,21.63,,7.0,Horne Francis,7,4.6
"",B,2,4,26.9,375,2025-05-18,BKHL,M,22.32,22.24,21.72,,1.0,Del Mar Sal,2,7.5
2. Archer Eleven,B,2,4,26.2,342,2025-07-22,AP/K,M,20.37,20.18,19.54,4.71,2.5,Introduced,2,3.1
"",B,3,5,26.6,342,2025-07-19,AP/K,M,20.89,20.74,19.63,4.94,2.0,Our Baby Tiger,3,2.5
"",B,4,5,26.0,342,2025-07-15,AP/K,M,20.81,20.31,19.73,4.84,7.0,Luna Lovegood,4,3.0
"",B,3,2,25.4,342,2025-06-24,AP/K,M,20.63,20.07,19.67,4.85,8.0,Rothrock,3333,5.0
"",B,4,8,25.3,300,2025-06-10,MBS,M,17.64,17.06,16.9,4.64,8.25,Red Said So,4,14.0
3. Visibility,D,5,4,26.5,375,2025-07-20,BKHL,M,22.87,22.19,21.37,,9.75,Del Mar Deb,5,12.0
"",D,4,6,26.6,375,2025-07-13,BKHL,MX,22.72,21.63,21.63,,15.5,CLARETOWN RAY,4,23.0
"",D,6,4,26.7,375,2025-07-06,BKHL,MX,23.25,22.14,21.73,,15.75,Sweet Spot,6,19.0
4. Super Wings,B,7,3,26.0,375,2025-07-20,BKHL,M,23.04,22.19,21.37,,12.25,Del Mar Deb,7,19.0
6. RAVEN ZAYLEE,B,2,8,26.9,375,2025-07-20,BKHL,M,22.34,22.19,21.37,,2.0,Del Mar Deb,2,1.35
"",B,2,4,26.8,375,2025-07-13,BKHL,MX,21.84,21.63,21.63,,3.0,CLARETOWN RAY,2,4.6
"",B,2,1,26.9,375,2025-07-06,BKHL,MX,21.94,21.93,21.73,,0.125,Del Mar Beeper,2,8.5
"",B,5,6,27.2,375,2025-06-29,BKHL,MX,22.64,21.88,21.71,,10.75,Del Mar Ice,5,8.0
"",B,2,3,27.0,375,2025-06-01,BKHL,M,22.52,22.46,21.63,,0.75,Horne Francis,2,3.6
7. Lethal Riot,D,4,2,34.8,375,2025-07-20,BKHL,M,22.47,22.19,21.37,,4.0,Del Mar Deb,4,7.0
"",D,3,3,34.7,375,2025-07-13,BKHL,MX,22.47,21.96,21.63,,7.25,Seldom Found,3,18.0
"",D,5,2,35.0,375,2025-07-06,BKHL,MX,23.13,22.14,21.73,,14.0,Sweet Spot,5,10.0
"",D,6,5,36.6,375,2024-12-01,BKHL,MX,22.85,22.17,21.61,,9.75,Masked Riot,6,12.0
"",D,4,6,36.5,375,2024-11-24,BKHL,MX,22.35,21.72,21.6,,9.0,Crying Tiger,4,10.0
8. DISCOURAGED,D,8,4,29.7,400,2025-05-22,GEE,Maiden,23.999,22.73,22.371,8.82,19.0,MIA BLONDE,8,8.0
"",D,5,7,29.7,450,2025-05-14,BAL,Maiden Final,26.198,25.494,25.241,6.97375,10.75,RIVERS MEET,5,4.8
"",D,3,2,30.1,450,2025-05-07,BAL,Maiden Heat,26.187,25.882,25.138,,4.75,RIVERS MEET,3,4.5
