Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Velocity Risk,B,5,3,28.7,407,2025-07-20,ROCK,5,24.33,23.91,23.8,9.35,6.0,Cosmic Beach,5,23.0
"",B,6,4,28.5,407,2025-07-13,ROCK,5,24.68,23.89,23.33,9.54,11.25,Any Reason,6,12.0
"",B,3,1,28.5,407,2025-07-06,ROCK,5,24.34,24.06,23.73,9.37,4.0,PATRIOT COUGAR,3,34.0
"",B,6,7,28.4,407,2025-07-02,ROCK,5,24.61,23.97,23.46,9.43,9.25,PAW VALENTINA,6,51.0
"",B,5,5,29.0,407,2025-04-27,ROCK,P5,24.63,23.74,23.74,9.4,12.75,Farmor Bacardi,5,81.0
2. Boulder Beach,D,5,6,32.8,407,2025-07-23,ROCK,5,24.37,23.86,23.67,9.46,7.25,Flickin' Fifties,5,34.0
"",D,5,6,32.7,407,2025-07-20,ROCK,5,24.52,24.2,23.8,9.58,4.5,Go Go Cambla,5,23.0
"",D,3,3,32.7,407,2025-07-16,ROCK,5,24.05,23.96,23.66,9.29,1.25,Barefoot Rogue,3,23.0
"",D,4,5,32.5,407,2025-07-13,ROCK,5,24.35,23.6,23.33,9.48,10.5,Miss Manaudou,4,41.0
"",D,5,6,32.6,407,2025-07-09,ROCK,5,24.44,24.01,23.67,9.4,6.0,Unique Ability,5,34.0
3. Velocity Reba,B,6,4,28.7,510,2025-07-23,ROCK,5,30.91,29.84,29.84,4.92,15.25,Arnie Ferrari,6,34.0
"",B,4,2,28.5,407,2025-06-25,ROCK,5,24.61,23.83,23.54,9.45,11.0,Velocity Smolder,4,4.4
"",B,4,2,28.4,407,2025-06-15,ROCK,5,23.98,23.85,23.46,9.17,1.75,Aston Cherokee,4,9.5
"",B,4,6,28.5,407,2025-06-11,ROCK,5,24.39,23.99,23.72,9.72,5.75,Bargara Killian,4,21.0
"",B,3,5,28.5,407,2025-06-04,ROCK,5,24.29,23.95,23.71,9.5,4.75,Dream Design,3,5.0
4. Rosa's Robbie,D,8,4,29.6,457,2025-07-19,QOT,5,26.93,25.64,25.34,4.48,18.25,Cash Handy,5458,101.0
"",D,3,7,29.8,407,2025-07-13,ROCK,5,24.32,23.89,23.33,9.36,6.0,Any Reason,3,11.0
"",D,1,1,29.7,407,2025-07-06,ROCK,6,24.4,24.4,23.73,9.36,0.75,Chalky's Choice,1,1.8
"",D,6,2,30.0,407,2025-06-29,ROCK,6,24.5,23.89,23.71,9.6,8.75,Unique Ability,6,8.0
"",D,4,7,30.0,407,2025-06-22,ROCK,6,24.33,23.89,23.55,9.35,6.25,Ballinger Beach,4,12.0
5. Kerri Beach,B,7,5,28.0,407,2025-07-06,ROCK,5,24.73,23.75,23.73,9.71,14.0,Velocity Commit,7,101.0
"",B,4,8,28.1,407,2025-07-02,ROCK,5,24.43,23.97,23.46,9.39,6.5,PAW VALENTINA,4,31.0
"",B,5,3,27.7,407,2025-06-25,ROCK,5,24.62,23.83,23.54,9.46,11.25,Velocity Smolder,5,31.0
"",B,3,1,27.6,407,2025-06-22,ROCK,5,24.4,24.15,23.55,9.35,3.5,Sorsogon Smile,3,4.4
"",B,7,8,27.6,407,2025-06-15,ROCK,5,24.57,23.46,23.46,9.49,15.75,Golden Envy,7,41.0
6. Geiger,D,8,6,27.6,407,2025-07-06,ROCK,5,24.67,24.06,23.73,9.46,8.75,PATRIOT COUGAR,8,34.0
"",D,7,3,27.5,407,2025-06-22,ROCK,R/W,24.63,24.05,23.55,9.59,8.25,At The Roxy,7,31.0
"",D,4,1,27.5,510,2025-06-08,ROCK,4/5,31.16,29.99,29.99,4.86,16.75,KING ETERNAL,4,23.0
"",D,4,2,27.8,407,2025-06-01,ROCK,5,24.36,23.73,23.72,9.46,9.0,Feisty Fawny,4,9.5
"",D,4,1,28.1,407,2025-05-21,ROCK,5,24.42,23.87,23.33,9.45,7.75,Blackjack Bob,4,4.8
7. Hooked On Dean,D,7,8,27.4,407,2025-07-20,ROCK,5,24.81,24.2,23.8,9.7,8.75,Go Go Cambla,7,81.0
"",D,7,7,27.5,407,2025-07-06,ROCK,M5,24.76,24.27,23.73,9.77,7.0,Cambla Clown,7,9.0
"",D,1,3,27.4,407,2025-06-29,ROCK,P5,24.15,24.15,23.71,9.18,2.75,Una Knows,1,12.0
"",D,4,3,27.5,407,2025-06-22,ROCK,M5,24.7,24.02,23.55,9.72,9.75,Lone Hunter,4,61.0
"",D,7,8,27.5,407,2025-06-15,ROCK,M5,24.77,24.05,23.46,9.41,10.25,Tick And Flick,7,51.0
8. LORD APOLLON,D,5,5,33.2,510,2025-07-23,ROCK,5,30.8,29.84,29.84,5.16,13.75,Arnie Ferrari,5,101.0
"",D,5,7,33.5,510,2025-07-13,ROCK,R/W,31.01,30.35,30.35,5.15,9.25,Veracious Val,5,34.0
"",D,8,8,33.6,510,2025-07-09,ROCK,5/6,31.14,30.33,30.07,5.33,11.5,Toss The Coin,8,61.0
"",D,5,5,33.5,407,2025-07-02,ROCK,5,24.44,23.97,23.46,9.46,6.5,PAW VALENTINA,5,18.0
"",D,3,2,33.7,407,2025-06-29,ROCK,R/W,24.85,24.38,23.71,9.7,6.5,Where's My Beer,3,10.0
