Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Wario,D,2,1,32.6,410,2025-07-22,HOR,Mixed 4/5,23.39,23.314,23.314,,1.25,IDYLLIC JAMES,2,2.8
"",D,2,5,33.0,390,2025-07-16,BAL,Grade 5 Final,22.327,21.708,21.708,8.71675,9.25,Funny Old Fellow,2,3.4
"",D,1,2,33.0,390,2025-07-09,BAL,Grade 5 Heat,22.125,22.125,22.065,,7.25,ROSCOE BALE,1,2.2
"",D,2,8,33.2,390,2025-07-02,BAL,Mixed 4/5,22.242,22.124,22.076,,2.0,PRETTY FOLLIE,2,3.4
"",D,3,1,32.7,400,2025-06-27,GEE,Mixed 4/5,22.634,22.299,22.299,8.37,5.0,NO RESTRICTIONS,3,3.4
2. Typhoon Thomas,D,3,6,31.0,305,2025-06-29,MT/G,I,17.92,17.61,17.33,5.75,4.25,Come On Kilkenny,1233,9.5
"",D,1,2,30.9,305,2025-06-22,MT/G,I,17.67,17.67,17.58,5.76,2.0,Chief Pow Wow,1111,5.5
"",D,3,2,30.6,305,2025-06-15,MT/G,I,18.11,17.94,17.71,5.87,2.25,Cadillac Magic,3,7.5
"",D,6,3,30.5,390,2025-06-09,WAR,Grade 5,23.101,22.55,22.309,8.97,8.25,Moraine Baloo,6,10.0
"",D,3,4,31.0,400,2025-05-01,MT/G,TG5+W,23.53,23.12,23.12,10.97,5.75,Smart Operator,3333,19.0
4. Cadillac Girl,B,4,4,22.9,305,2025-06-15,MT/G,I,18.38,17.71,17.71,6.0,9.5,Compton Daisy,4,21.0
"",B,3,2,23.3,400,2025-06-05,MT/G,TG5+W,23.73,23.47,23.32,,3.75,Cadillac Patch,1133,12.0
"",B,3,8,23.2,400,2025-05-29,MT/G,TG5+W,23.74,23.62,23.33,11.06,1.75,Compton Kelly,2233,14.0
"",B,6,6,23.3,400,2025-05-22,MT/G,TG5+W,24.19,23.64,22.84,11.27,7.75,Saint Sally,2666,2.25
"",B,1,2,23.6,400,2025-05-15,MT/G,TG5+W,23.57,23.57,23.06,,3.0,Hotfoot Swizzle,1,1.85
6. Come On Kilkenny,D,5,6,29.5,512,2025-07-20,MT/G,OPEN,30.77,30.1,30.02,4.56,9.5,Gaping Margin,5,18.0
"",D,2,5,30.0,512,2025-07-13,MT/G,OPEN,30.54,30.31,30.07,,3.25,Unique Destiny,2,13.0
"",D,8,6,30.2,305,2025-07-06,MT/G,5,18.48,17.47,17.42,5.93,14.25,Wind Whiskers,6888,2.6
"",D,1,4,30.0,305,2025-06-29,MT/G,I,17.61,17.61,17.33,5.77,3.75,Compton Daisy,2111,1.45
"",D,1,8,30.1,305,2025-06-22,MT/G,I,17.58,17.58,17.58,5.81,1.75,Compton Daisy,2111,2.15
8. Compton Daisy,B,3,4,30.6,350,2025-07-20,MBR,5/6,19.87,19.53,19.53,7.13,4.75,Zipping Hagrid,3,8.5
"",B,2,4,30.5,350,2025-07-15,MBS,5/6,19.52,19.49,19.49,7.05,0.5,Zipping Hagrid,2,19.0
"",B,2,2,30.6,305,2025-07-06,MT/G,I,17.79,17.42,17.42,5.81,5.25,Sharp Thief,2222,3.7
"",B,2,8,30.7,305,2025-06-29,MT/G,I,17.87,17.61,17.33,5.86,3.75,Come On Kilkenny,3222,5.0
"",B,2,1,30.9,305,2025-06-22,MT/G,I,17.71,17.58,17.58,5.71,1.75,Come On Kilkenny,1222,3.8
