dog_clean_name,race_id,race_date,race_time,venue,grade,distance,finish_position,individual_time,margin,weight,starting_price,data_source
Elegant Zephyr,AP_K_2025-08-26_342m_TG1-4W,2025-08-26,,AP_K,TG1-4W,342,5,20.57,8.25,26.3,5.5,embedded_form_guide
Elegant Zephyr,AP_K_2025-08-19_342m_TG1-4W,2025-08-19,,AP_K,TG1-4W,342,1,19.9,1.0,26.3,7.0,embedded_form_guide
Elegant Zephyr,AP_K_2025-07-29_342m_TG1-4W,2025-07-29,,AP_K,TG1-4W,342,6,20.64,11.25,26.3,21.0,embedded_form_guide
Elegant Zephyr,AP_K_2025-07-01_342m_TG1-4W,2025-07-01,,AP_K,TG1-4W,342,6,21.18,14.5,26.3,13.0,embedded_form_guide
Nitro Bolt,MBR_2025-08-29_395m_6,2025-08-29,,MBR,6,395,5,23.48,7.0,32.5,101.0,embedded_form_guide
Nitro Bolt,GAWL_2025-08-13_531m_6,2025-08-13,,GAWL,6,531,5,32.17,15.75,32.1,81.0,embedded_form_guide
Nitro Bolt,AP_K_2025-08-08_342m_TG1-4W,2025-08-08,,AP_K,TG1-4W,342,4,20.8,12.75,32.1,23.0,embedded_form_guide
Nitro Bolt,AP_K_2025-08-02_342m_TG1-4W,2025-08-02,,AP_K,TG1-4W,342,2,20.55,7.75,32.7,7.5,embedded_form_guide
Nitro Bolt,AP_K_2025-07-25_3,2025-07-25,,AP_K,TG1-4W,342,4,,,,,
Nitro Bolt,AP_K_2025-07-19_5,2025-07-19,,AP_K,TG1-4W,342,6,,,,,
Nitro Bolt,AP_K_2025-07-18_8,2025-07-18,,AP_K,TG1-4W,530,6,,,,,
Searing Lass,AP_K_2025-08-26_342m_TG1-4W,2025-08-26,,AP_K,TG1-4W,342,4,20.37,5.75,23.4,10.0,embedded_form_guide
Searing Lass,AP_K_2025-07-15_342m_TG1-4W,2025-07-15,,AP_K,TG1-4W,342,6,20.6,6.75,23.4,11.0,embedded_form_guide
Searing Lass,AP_K_2025-07-08_342m_TG1-4W,2025-07-08,,AP_K,TG1-4W,342,6,20.99,16.75,23.5,3.9,embedded_form_guide
Searing Lass,AP_K_2025-07-01_342m_TG1-4W,2025-07-01,,AP_K,TG1-4W,342,2,20.14,5.25,23.2,14.0,embedded_form_guide
Sebon Rocks,AP_K_2025-08-26_342m_TG1-4W,2025-08-26,,AP_K,TG1-4W,342,2,20.23,3.75,29.9,21.0,embedded_form_guide
Sebon Rocks,AP_K_2025-07-22_342m_TG1-4W,2025-07-22,,AP_K,TG1-4W,342,6,20.72,8.5,30.6,18.0,embedded_form_guide
Sebon Rocks,AP_K_2025-07-19_3,2025-07-19,,AP_K,6,300,4,,,,,
Sebon Rocks,AP_K_2025-07-19_4,2025-07-19,,AP_K,TG1-4W,342,4,,,,,
Sebon Rocks,AP_K_2025-07-19_342m_TG1-4W,2025-07-19,,AP_K,TG1-4W,342,3,20.48,7.0,30.9,31.0,embedded_form_guide
Sebon Rocks,AP_K_2025-07-15_342m_TG1-4W,2025-07-15,,AP_K,TG1-4W,342,4,20.37,3.5,30.6,34.0,embedded_form_guide
Sebon Rocks,AP_K_2025-07-11_3,2025-07-11,,AP_K,TG1-4W,342,6,,,,,
Zaidee Diva,AP_K_2025-08-26_342m_TG1-4W,2025-08-26,,AP_K,TG1-4W,342,2,20.21,3.25,25.3,4.6,embedded_form_guide
Zaidee Diva,AP_K_2025-08-16_342m_M,2025-08-16,,AP_K,M,342,1,20.28,2.0,25.7,4.6,embedded_form_guide
Zaidee Diva,AP_K_2025-08-04_342m_M,2025-08-04,,AP_K,M,342,6,21.17,14.5,25.5,21.0,embedded_form_guide
Zaidee Diva,AP_K_2025-08-02_342m_M,2025-08-02,,AP_K,M,342,2,20.32,0.75,25.7,3.6,embedded_form_guide
Zaidee Diva,AP_K_-_2025-07-25_2,2025-07-25,,AP_K_-,M,342,3,,,,,
Zaidee Diva,AP_K_2025-07-18_1,2025-07-18,,AP_K,M,342,2,,,,,
Zaidee Diva,AP_K_2025-07-08_1,2025-07-08,,AP_K,M,400,2,,,,,
Zaidee Diva,AP_K_2025-07-05_1,2025-07-05,,AP_K,M,400,2,,,,,
