model_id,name,accuracy,auc,correct_winners,top1_rate,created_at
et_balanced_migrated_model_20250830_202548,et_balanced,0.873977,0.918443,0,0.0,2025-08-30T20:26:00.086808
V4_Best6M_LogisticRegression_CalibratedPipeline_20250904_201825,V4_Best6M_LogisticRegression,0.929217,0.672849,94,0.13165266106442577,2025-09-04T20:18:25.043652
V4_GradientBoosting_CalibratedPipeline_20250828_161925,V4_GradientBoosting,0.853025,0.685353,200,0.3853564547206166,2025-08-28T16:19:25.443771
V4_GradientBoosting_CalibratedPipeline_20250831_101511,V4_GradientBoosting,0.869281,0.584258,8,0.2,2025-08-31T10:15:11.439425
V4_ExtraTrees_CalibratedPipeline_20250904_190814,V4_ExtraTrees,0.782486,0.633732,23,0.3026315789473684,2025-09-04T19:08:21.012585
V4_GradientBoosting_CalibratedPipeline_20250831_103135,V4_GradientBoosting,0.870246,0.557464,15,0.25862068965517243,2025-08-31T10:31:35.694225
V4_GradientBoosting_CalibratedPipeline_20250831_112347,V4_GradientBoosting,0.854534,0.574588,48,0.21524663677130046,2025-08-31T11:23:47.679750
V4_HistGradientBoosting_CalibratedPipeline_20250831_103318,V4_HistGradientBoosting,0.870246,0.550106,8,0.13793103448275862,2025-08-31T10:33:18.859048
V4_ExtraTrees_CalibratedPipeline_20250831_162157,V4_ExtraTrees,0.854534,0.566869,0,0.0,2025-08-31T16:21:58.364583
temporal_features_v4_31f_MLSystemV4_temporal_20250901_193023,temporal_features_v4_31f,0.853229,0.568226,0,0.0,2025-09-01T19:30:25.432103
V4_ExtraTrees_CalibratedPipeline_20250830_210543,V4_ExtraTrees,0.854534,0.551527,0,0.0,2025-08-30T21:05:45.427022
V4_ExtraTrees_CalibratedPipeline_20250904_190235,V4_ExtraTrees,0.782486,0.633732,0,0.0,2025-09-04T19:02:41.622732
V4_ExtraTrees_CalibratedPipeline_20250904_191006,V4_ExtraTrees,0.782486,0.633732,0,0.0,2025-09-04T19:10:11.511023
V4_ExtraTrees_CalibratedPipeline_20250904_184820,V4_ExtraTrees,0.774011,0.642252,23,0.3026315789473684,2025-09-04T18:48:23.900005
V4_HistGradientBoosting_CalibratedPipeline_20250831_104303,V4_HistGradientBoosting,0.854534,0.533466,43,0.19282511210762332,2025-08-31T10:43:03.254465
V4_HistGradientBoosting_CalibratedPipeline_20250830_211142,V4_HistGradientBoosting,0.854534,0.526733,44,0.19730941704035873,2025-08-30T21:11:42.988658
V4_Optimized_Ensemble_CalibratedPipeline_20250904_192649,V4_Optimized_Ensemble,0.779661,0.618255,26,0.34210526315789475,2025-09-04T19:26:50.873066
V4_Optimized_Extratrees_CalibratedPipeline_20250904_191608,V4_Optimized_Extratrees,0.774011,0.623438,24,0.3157894736842105,2025-09-04T19:16:08.784282
V4_GradientBoosting_CalibratedPipeline_20250831_105525,V4_GradientBoosting,0.856631,0.512029,5,0.125,2025-08-31T10:55:25.218613
V4_Optimized_Lgbm_CalibratedPipeline_20250904_192303,V4_Optimized_Lgbm,0.782486,0.598519,22,0.2894736842105263,2025-09-04T19:23:03.361656
V4_Optimized_Lgbm_CalibratedPipeline_20250904_191350,V4_Optimized_Lgbm,0.779661,0.591750,21,0.27631578947368424,2025-09-04T19:13:50.756099
V4_ExtraTrees_CalibratedPipeline_20250904_181459,V4_ExtraTrees,0.000000,0.500000,0,0.0,2025-09-04T18:14:59.124202
