Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Ritza Duane,D,3,3,30.8,520,2025-07-12,W/PK,5,30.54,29.95,29.56,5.57,8.25,False Witness,1353,3.2
"",D,3,3,30.5,520,2025-07-05,W/PK,5,29.77,29.67,29.45,5.5,1.5,Out Of Style,3213,5.5
"",D,5,4,30.5,520,2025-06-28,W/PK,5,30.18,29.74,29.48,5.65,6.25,Woolgoolga Gal,6645,4.2
"",D,1,3,30.6,520,2025-06-21,W/PK,5,29.9,29.9,29.41,5.47,3.0,Betty Emgrand,1211,3.0
"",D,5,7,30.6,520,2025-06-14,W/PK,5,30.47,30.13,29.63,5.76,4.75,Dynamic Drummer,7885,4.4
2. Wootown Will,D,3,7,32.1,520,2025-07-14,NOWR,4/5,30.02,29.75,29.75,4.39,3.75,Ashby Chai,323,16.0
"",D,6,5,32.0,520,2025-07-10,W/PK,5,30.4,30.05,29.54,5.64,5.0,Dynamic Gregory,2566,13.0
"",D,3,1,32.3,520,2025-06-23,NOWR,4/5,30.11,29.95,29.95,4.41,2.25,Skedaddle Arlo,653,8.5
"",D,7,4,32.4,520,2025-06-19,W/PK,4/5,30.58,29.89,29.62,5.75,9.75,Zipping Hasler,7777,21.0
"",D,4,6,32.4,520,2025-06-16,NOWR,4/5,30.11,29.9,29.79,4.39,3.0,Flying Aussie,454,6.0
3. Olling,D,3,8,31.5,400,2025-07-08,BUL,4/5,22.68,22.51,22.38,6.67,2.25,Fiery Ruby,4433,4.8
"",D,6,7,31.4,520,2025-06-30,NOWR,5,31.71,30.03,29.72,4.36,24.0,Zipping Trucker,166,5.0
"",D,7,1,31.8,450,2025-05-25,GRAF,5,25.95,25.69,25.53,9.16,3.75,Firebird,2787,9.0
"",D,2,4,32.1,450,2025-05-18,GRAF,5,25.67,25.54,25.33,9.08,1.75,Maeve Baby,3222,12.0
"",D,7,8,31.6,300,2025-04-16,TARE,4/5,18.0,17.45,17.22,6.66,7.75,My Boy Majestic,777,4.2
4. Go Jimmy,D,5,6,35.9,520,2025-07-05,W/PK,5,30.09,29.67,29.45,5.7,6.0,Out Of Style,6755,4.4
"",D,4,5,35.8,520,2025-06-28,W/PK,5,30.13,29.74,29.48,5.62,5.5,Woolgoolga Gal,3464,3.6
"",D,1,1,35.8,520,2025-06-21,W/PK,5,29.77,29.77,29.41,5.59,6.5,Casari,7311,1.7
"",D,1,2,35.9,520,2025-06-12,W/PK,5,29.68,29.68,29.53,5.57,2.5,Vonnie's Power,6411,3.1
"",D,3,4,35.8,520,2025-06-05,W/PK,5,30.06,29.6,29.58,5.62,6.5,Rosa Marie,5533,5.0
5. Prescot,D,4,9,31.3,520,2025-07-05,W/PK,5,30.4,29.69,29.45,5.64,10.0,Santino Kade,5444,17.0
"",D,3,8,31.0,520,2025-06-26,W/PK,5,30.69,30.47,29.75,5.57,3.0,KIWI HARRY,3353,9.0
"",D,5,7,30.6,520,2025-06-21,W/PK,5,30.55,29.9,29.41,5.53,9.25,Ritza Duane,3355,21.0
"",D,3,2,30.5,400,2025-06-17,BUL,5,22.81,22.51,22.45,6.69,4.25,Angelic Angel,4433,3.8
"",D,7,4,30.8,603,2025-05-13,GOSF,5,35.48,34.5,34.5,9.35,14.0,Great Terms,57777,10.0
6. Hope's Secret,B,2,2,27.5,520,2025-07-12,W/PK,5,30.08,29.91,29.56,5.62,2.25,Linkin Park,2322,3.5
"",B,4,2,27.5,520,2025-07-03,W/PK,5,30.08,29.54,29.54,5.55,7.75,Ritza Benji,2344,9.0
"",B,8,7,27.5,520,2025-06-21,W/PK,5,30.89,29.77,29.41,5.59,16.0,Go Jimmy,3488,15.0
"",B,5,6,27.6,520,2025-06-12,W/PK,5,30.52,30.19,29.53,5.68,4.75,Supermaxi,6765,6.0
"",B,2,3,27.3,520,2025-06-07,W/PK,5,30.36,30.26,29.67,5.65,1.5,Ruination,4722,6.5
7. Siska Roy,D,7,3,32.8,520,2025-07-10,W/PK,5,30.64,30.05,29.54,5.75,8.25,Dynamic Gregory,7877,101.0
"",D,6,7,32.1,630,2025-06-23,NOWR,5,37.85,36.75,36.75,10.61,15.75,Zipping Trucker,346,16.0
"",D,7,8,32.4,520,2025-06-16,NOWR,4/5,30.59,29.9,29.79,4.48,9.75,Flying Aussie,577,41.0
"",D,6,1,32.3,720,2025-06-12,W/PK,4/5,43.63,42.34,42.34,16.61,18.25,Alakazam,2466,23.0
"",D,3,2,32.4,630,2025-06-02,NOWR,4/5,36.95,36.48,36.48,10.36,6.5,Skedaddle Arlo,233,16.0
8. Aunty Meeka,B,2,8,24.8,520,2025-07-12,W/PK,5,29.82,29.82,29.56,5.53,0.031,Tiki Magic,2222,12.0
"",B,4,3,24.8,400,2025-06-27,WAGA,5,23.49,23.1,22.8,,5.5,Lady Amron,4,1.3
"",B,2,7,25.3,320,2025-06-20,WAGA,5,18.69,18.57,18.4,,1.75,EIGHT OLD MATES,2,3.9
"",B,1,1,25.1,400,2025-06-13,WAGA,5,22.87,22.87,22.87,,0.75,Slick Felix,1,2.5
"",B,3,3,24.7,318,2025-06-07,DUBO,NG,18.64,18.23,18.23,4.83,5.75,Fusion Mint,5433,19.0
