Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Fantastic Zohan,D,1,4,34.6,435,2025-06-11,SAL,Grade 4,24.445,24.445,24.414,5.27,1.0,KIT,1,1.7
"",D,1,8,35.1,400,2025-06-03,WAR,Grade 5,22.91,22.91,22.492,,0.5,,1,2.2
"",D,7,4,35.1,460,2025-05-23,WAR,Grade 5,26.715,26.237,26.192,,7.25,AMRON SAMMY,7,4.8
"",D,1,7,34.7,400,2025-05-15,WAR,Grade 5,22.596,22.596,22.551,8.28,5.25,BEST DRESSED,1,3.0
"",D,1,1,35.2,435,2025-05-11,SAL,Grade 5,24.51,24.51,24.166,5.2675,9.75,ABUNDANT LUMENS,1,10.0
2. MADE UP STORIES,B,4,3,26.8,400,2025-07-04,WAR,Grade 5,23.113,22.872,22.686,,3.75,QILIN BALE,4,7.5
"",B,7,6,27.0,435,2025-06-29,SAL,Mixed 4/5,25.289,24.357,24.357,,14.0,PAW ZELINI,7,7.0
"",B,2,8,27.2,300,2025-06-22,HEA,Restricted Win Final,16.752,16.665,16.519,,1.5,NAMBROK NICK,2,4.6
"",B,1,8,27.4,300,2025-06-15,HEA,Restricted Win Heat,16.818,16.818,16.547,,1.0,ZINZAN PLODDER,1,3.6
"",B,2,1,27.7,350,2025-06-08,HEA,Grade 5,19.656,19.636,19.342,,0.5,AUSSIE SUPREME,2,4.0
4. Butterflies Lad,D,7,4,33.2,390,2025-07-02,BAL,Grade 5,23.075,22.294,22.076,,11.75,SCENIC COURT,7,8.0
"",D,6,4,33.6,450,2025-06-25,BAL,Grade 5,26.232,25.722,25.722,6.868,7.75,BLACK STATESMAN,6,16.0
"",D,2,7,33.8,390,2025-06-18,BAL,Grade 5,22.389,22.121,22.072,,4.0,JUST BELIEVE,2,7.0
"",D,6,5,33.8,390,2025-06-12,WAR,Grade 5,22.653,22.258,21.979,,6.0,TRUTH TELLER,6,8.0
"",D,3,1,34.0,400,2025-06-07,GEE,Mixed 3/4,22.845,22.599,22.472,,3.75,TORNADO TAHLIA,3,6.0
5. PAW USAMI,B,7,5,28.8,390,2025-07-02,BAL,Grade 5,22.696,22.328,22.076,8.4675,5.5,INTERSTATE GIRL,7,12.0
"",B,5,2,28.4,410,2025-06-10,HOR,Grade 5,24.562,23.584,23.479,,14.75,PAW LEON,5,8.0
"",B,8,8,28.2,390,2025-06-04,WAR,Mixed 4/5,22.793,22.267,21.749,8.745,8.0,PAW YONDER,8,5.0
"",B,1,5,28.4,390,2025-05-26,SHE,Grade 5,22.152,22.152,21.908,8.39,1.25,CINNABAR ICON,1,3.8
"",B,2,2,28.2,390,2025-05-16,BAL,Grade 5,22.337,22.188,21.965,,2.25,NOSEY PARKER,2,7.5
7. MASSETER,B,6,5,25.0,425,2025-06-29,BEN,S/E Heat,24.609,24.001,23.624,,9.25,DOONGALLA JESSIE,6,1.4
"",B,1,2,24.6,390,2025-06-19,WAR,Mixed 3/4,21.892,21.892,21.876,8.51,0.75,TOMMY TEQUILA,1,7.5
"",B,2,7,24.5,400,2025-06-13,GEE,Group Listed,22.645,22.604,22.221,8.29,0.75,DUBROW,2,5.5
"",B,1,3,24.9,390,2025-06-05,SHE,S/E Heat,21.941,21.941,21.696,8.45,3.0,SCOTT SIGMA,1,4.8
"",B,2,7,25.2,350,2025-06-01,HEA,Grade 5 Heat,19.395,19.365,19.073,6.537,0.5,SWIFTY GIRL,2,4.2
8. ZAMBORA BULLY,D,7,6,33.2,390,2025-07-02,BAL,Grade 5,22.841,22.076,22.076,,11.5,NAUGHTY NORM,7,16.0
"",D,4,2,33.2,297,2025-05-15,DAPT,5,17.83,17.15,16.89,5.63,9.75,Aussie Lantern,544,2.9
"",D,3,8,33.1,297,2025-05-08,DAPT,5,17.63,17.04,16.92,5.5,8.25,Bobby Ville,333,16.0
"",D,6,4,32.2,320,2025-03-02,RICH,5,19.1,18.43,18.3,2.19,9.5,Toffee Rocks,5566,4.4
"",D,4,4,32.5,297,2025-02-20,DAPT,4/5,17.27,16.87,16.87,5.52,5.75,Aria's Dream,644,4.6
