Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Peyton's Wish,D,4,5,32.7,431,2025-06-25,GUNN,5,25.74,25.06,24.58,11.84,9.75,Make Your Stand,4444,101.0
"",D,2,4,32.0,400,2025-06-16,MAIT,5,22.94,22.7,22.15,5.5,3.5,Stock's Gift,2332,41.0
"",D,6,7,31.3,400,2025-05-31,DUBO,5,24.05,23.21,23.21,9.5,12.0,Me Style,6666,19.0
"",D,4,1,31.4,318,2025-05-26,DUBO,5,19.02,18.61,18.47,4.9,5.75,Kuta Beach,3444,6.0
"",D,8,1,32.1,340,2025-05-14,GUNN,5,20.36,19.77,19.57,6.73,8.25,Denawen Beach,5688,34.0
2. Zipping Kit Kat,B,8,8,26.2,388,2025-06-24,GOSF,5,23.12,22.13,22.08,10.59,14.0,Hello Chilli,88,101.0
"",B,8,5,24.5,400,2025-05-03,GRDN,5,23.92,22.94,22.54,11.94,14.0,Songar Oscar,588,41.0
"",B,2,7,24.5,388,2025-04-29,GOSF,5,22.68,22.24,22.02,10.36,6.25,Bombay,22,41.0
"",B,6,3,24.5,400,2025-04-26,GRDN,5,23.76,22.58,22.58,11.79,16.75,Bernardo Beach,766,81.0
"",B,4,7,24.0,388,2025-04-22,GOSF,5,23.3,22.36,21.87,10.67,13.25,Hank Mccoy,64,51.0
3. Elusive Data,D,8,6,32.3,400,2025-06-20,GRDN,5,23.65,23.36,22.4,11.35,4.25,Elusive Lenny,148,81.0
"",D,4,2,32.6,400,2025-06-13,GRDN,5,23.8,23.39,22.79,11.46,5.75,Fire Motto,414,17.0
"",D,3,1,32.7,388,2025-06-07,GOSF,5,23.1,22.21,22.21,10.4,12.75,Silver Tiara,2223,10.0
"",D,4,6,32.3,388,2025-05-29,GOSF,5,23.21,22.55,22.32,10.52,9.25,My Cupcake,4334,41.0
"",D,5,2,33.1,336,2025-04-10,MUSW,5,19.75,19.37,19.11,,5.25,Bandit Millie,555,17.0
4. Housie Bob,D,2,4,30.9,400,2025-06-23,MAIT,5,22.83,22.83,22.37,5.32,0.031,Bumpy Blue,1112,17.0
"",D,2,2,30.6,400,2025-06-20,GRDN,5,23.34,23.13,22.4,11.54,3.0,Rare Obsidian,622,3.1
"",D,2,4,31.5,400,2025-06-13,GRDN,5,23.24,23.03,22.79,11.47,3.0,Wreck It Rex,522,5.5
"",D,6,3,31.4,400,2025-06-02,MAIT,5,23.63,22.63,22.19,5.49,14.25,Poker Nismo,7576,7.5
"",D,6,5,32.4,400,2025-03-15,GRDN,5,23.84,22.86,22.6,12.01,14.0,Beltone Boy,866,9.0
5. Tipsy Ethics,B,7,6,27.3,388,2025-06-24,GOSF,5,23.82,22.32,22.08,10.56,21.25,Lumina Bell,57,13.0
"",B,2,8,27.1,400,2025-06-20,GRDN,5,23.13,22.93,22.4,11.33,2.75,TRICKLE,722,6.0
"",B,4,8,27.0,400,2025-06-16,MAIT,5,22.94,22.38,22.15,5.38,8.0,Fortune Hunter,8344,19.0
"",B,8,5,27.6,340,2025-06-04,GUNN,5,21.03,20.0,19.61,6.95,14.5,Aston Depp,6888,5.5
"",B,8,3,27.8,340,2025-06-01,GUNN,5,20.94,19.99,19.41,7.04,13.5,Slick Olive,8888,3.7
6. Volare Alto,B,1,5,26.0,340,2025-06-25,GUNN,5,19.84,19.84,19.59,6.67,1.5,Fancy Chick,5211,4.4
"",B,2,7,25.8,300,2025-06-21,TARE,5,17.56,17.54,17.37,6.59,0.25,Reel 'em Harada,522,4.2
"",B,2,1,25.6,336,2025-06-14,MUSW,5,19.73,19.38,19.34,,5.0,John's Promise,322,1.8
"",B,4,5,25.6,375,2025-05-18,BKHL,5,23.02,22.28,21.72,,10.5,Aston McEnroe,4,2.2
"",B,2,1,25.8,375,2025-05-04,BKHL,5,21.79,21.6,21.57,,2.5,Qwerty,2,7.0
7. TUMBY BAY,D,4,6,31.8,297,2025-06-12,DAPT,5,17.68,17.28,16.92,5.61,5.75,Teresa's Angel,744,10.0
"",D,2,4,31.7,365,2025-06-09,NOWR,5,20.95,20.77,20.5,8.82,2.5,Black Tiara,42,15.0
"",D,3,1,31.8,297,2025-06-05,DAPT,5,17.53,17.46,16.96,5.58,1.0,Black Tiara,633,5.5
"",D,3,5,31.8,320,2025-06-02,RICH,5,18.55,18.27,18.21,2.23,4.0,UNACCEPTABLE AXE,4433,41.0
"",D,8,8,31.7,401,2025-05-30,RICH,5,23.65,22.87,22.6,7.17,11.0,Folding Stuff,7878,71.0
8. Nabiac Megs,B,5,6,27.3,400,2025-06-20,GRDN,5,23.3,22.99,22.4,11.33,4.25,Homer Mulwee,245,16.0
"",B,4,3,27.7,400,2025-06-13,GRDN,5,23.4,23.22,22.79,11.33,2.5,Hooked On Iraola,124,11.0
"",B,5,8,27.6,400,2025-06-06,GRDN,5,24.2,23.97,22.82,11.39,3.25,Kiarni Phantom,555,4.0
"",B,2,6,26.7,400,2025-05-17,GRDN,5,23.25,22.89,22.76,11.29,5.25,Messy And Untidy,222,4.8
"",B,6,7,27.0,300,2025-05-14,TARE,5,18.04,17.45,17.32,6.62,8.25,Jilliby Dan,556,7.0
