Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Sycamore Tricky,D,6,1,27.4,320,2025-04-11,WAGA,4/5,19.29,18.43,18.22,,12.25,ASTON CREOLE,6,15.0
"",D,6,4,27.8,330,2025-04-02,TEMA,NG1-4,19.55,18.6,18.6,,13.5,My Mate Timmy,6,58.8
"",D,6,4,27.8,320,2025-03-10,WAGA,NG1-4,19.26,18.48,18.48,,11.0,Done The Best,6,34.0
"",D,8,6,27.4,320,2025-02-28,WAGA,3/4,19.1,18.21,18.21,,12.75,Tiggerlong Gill,8,26.0
"",D,1,2,27.5,320,2025-02-07,WAGA,3/4,18.45,18.45,18.33,,0.75,Kostecki,1,26.0
2. Wilcannia Ray,D,3,2,35.6,400,2025-06-13,WAGA,5,23.85,23.01,22.87,,12.0,Let's Go Wham,3,10.0
"",D,6,1,36.1,320,2025-06-06,WAGA,5,19.43,18.93,18.28,,7.0,Impress Rousey,6,4.0
"",D,5,2,36.3,320,2025-05-23,WAGA,5,18.88,18.58,18.33,,4.25,Ponzi,5,16.0
"",D,4,2,36.7,320,2025-05-09,WAGA,4/5,18.8,18.34,17.99,,6.5,Rogue Izmir,4,26.0
"",D,4,6,36.7,320,2025-04-25,WAGA,4/5,18.8,18.48,18.21,,4.5,In The Klondike,4,101.0
3. ASTON CREOLE,B,5,7,28.3,320,2025-06-09,WAGA,NG1-4,18.75,18.22,18.22,,7.5,Tiggerlong Bingo,5,3.7
"",B,1,2,28.0,320,2025-06-06,WAGA,4/5,18.28,18.28,18.28,,1.5,Tiny Bianca,1,2.7
"",B,1,2,28.1,320,2025-05-19,WAGA,NG1-4,18.35,18.35,18.35,,0.75,Bronte Lee,1,3.9
"",B,5,1,28.1,320,2025-05-16,WAGA,NG1-4,18.64,18.39,18.17,,3.5,Tiggerlong Gill,5,6.5
"",B,5,7,28.0,320,2025-05-09,WAGA,FFA,18.88,18.4,17.99,,6.75,Talakai,5,5.5
4. Tiny Bianca,B,1,6,23.8,320,2025-06-20,WAGA,4/5,18.41,18.41,18.4,,1.0,ASTON VALERIA,1,3.1
"",B,2,7,23.6,320,2025-06-13,WAGA,4/5,18.56,18.46,18.42,,1.5,ASTON VALERIA,2,2.9
"",B,2,1,23.4,320,2025-06-06,WAGA,4/5,18.39,18.28,18.28,,1.5,ASTON CREOLE,2,3.0
"",B,2,2,23.3,320,2025-05-30,WAGA,4/5,18.42,18.41,18.07,,0.125,Ponzi,2,3.8
"",B,4,3,23.3,320,2025-05-23,WAGA,FFA,18.72,18.33,18.33,,5.5,Rogue Izmir,4,12.0
5. Next Of Kin,D,7,4,30.8,320,2025-06-20,WAGA,4/5,18.93,18.41,18.4,,7.5,Tiny Bianca,7,17.0
"",D,6,3,30.5,320,2025-06-13,WAGA,4/5,19.61,18.46,18.42,,16.25,ASTON VALERIA,6,10.0
"",D,1,2,30.7,320,2025-06-09,WAGA,3/4,18.44,18.44,18.22,,4.25,ASTON LAMBADA,1,4.2
"",D,5,8,30.8,330,2025-06-04,TEMA,M1/M2/M3,19.35,18.93,18.78,,6.0,Totally Deluded,5,14.0
"",D,5,1,30.4,320,2025-05-30,WAGA,NG,18.66,18.41,18.07,,3.5,Kostecki,5,21.0
6. Cawbourne Sassy,B,8,7,25.3,330,2025-06-25,TEMA,NG1-4,19.87,19.03,18.92,,12.0,Westside Storm,8,6.0
"",B,5,7,25.0,330,2025-06-18,TEMA,NG1-4,19.32,18.72,18.72,,8.5,Corleone Flight,5,8.0
"",B,2,6,25.0,330,2025-06-11,TEMA,4/5,19.09,18.88,18.79,,3.0,Longest Road,2,2.5
"",B,2,7,24.9,330,2025-06-04,TEMA,NG1-4,18.83,18.78,18.78,,0.75,Westside Storm,2,8.0
"",B,1,8,25.6,330,2025-05-21,TEMA,5,18.76,18.76,18.57,,1.5,Lucy Valentine,1,3.7
7. Canya Candy,B,5,3,25.1,320,2025-06-09,WAGA,3/4,19.38,18.44,18.22,,13.25,Next Of Kin,5,12.0
"",B,6,3,25.5,320,2025-06-06,WAGA,4/5,19.22,18.28,18.28,,13.25,ASTON CREOLE,6,23.0
"",B,1,2,25.7,320,2025-05-23,WAGA,5,18.98,18.98,18.33,,1.5,Tell Me Anything,1,2.0
"",B,8,2,25.7,320,2025-05-16,WAGA,5,19.47,18.49,18.17,,14.0,Daksha Bale,8,5.5
"",B,5,5,24.5,300,2025-03-19,TARE,4/5,17.83,17.17,17.17,6.57,9.25,Bugatti Talent,145,6.5
8. Got A Depart,B,1,7,30.0,320,2025-05-30,WAGA,NG,18.07,18.07,18.07,,4.5,BALA ACE,1,2.1
"",B,1,2,30.1,320,2025-05-16,WAGA,5,18.17,18.17,18.17,,5.75,MALA ANGEL,1,1.2
"",B,1,2,30.1,320,2025-05-09,WAGA,5,17.99,17.99,17.99,,8.5,Kim's Chance,1,1.55
"",B,6,5,30.3,320,2025-04-11,WAGA,5,18.92,18.42,18.22,,7.0,Cawbourne Sassy,6,2.3
"",B,1,2,30.5,320,2025-04-04,WAGA,5,18.46,18.46,18.45,,2.25,Gucci Giblet,1,1.35
