Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Froggy Did It,B,5,6,29.5,400,2025-07-18,GRDN,5,23.97,23.37,23.0,11.66,8.5,Stanley Rupert,475,19.0
"",B,2,3,28.9,400,2025-07-11,GRDN,5,23.34,23.15,22.74,11.59,2.5,Moonshine Magic,222,5.5
"",B,5,6,29.1,400,2025-07-04,GRDN,5,23.41,23.12,22.39,11.67,4.25,Northern Tiger,265,14.0
"",B,5,2,28.9,400,2025-06-27,GRDN,5,23.5,22.82,22.62,11.85,9.75,Rare Obsidian,565,13.0
"",B,3,5,29.0,400,2025-06-11,GRDN,5,23.36,22.69,22.69,11.55,9.5,Tenacious Talker,333,19.0
2. Riverside Levi,D,5,7,31.9,400,2025-07-21,MAIT,5,22.97,22.38,22.16,5.54,8.25,Prince Of Persia,5555,61.0
"",D,6,7,32.1,400,2025-07-11,GRDN,5,24.07,23.15,22.74,11.91,13.25,Moonshine Magic,756,4.4
"",D,1,3,32.2,400,2025-07-04,GRDN,M,22.93,22.93,22.39,11.1,0.75,Prince Of Persia,211,31.0
"",D,4,6,32.0,400,2025-06-27,GRDN,M,23.58,23.04,22.62,11.63,7.75,It's A Tease,454,9.5
"",D,5,8,31.9,400,2025-06-20,GRDN,M,23.9,22.95,22.4,11.76,13.5,Marg's Vogue,445,4.4
3. Bella Rory,B,7,6,29.1,400,2025-07-11,GRDN,5,24.43,23.15,22.74,11.93,18.25,Moonshine Magic,477,21.0
"",B,6,6,29.3,400,2025-07-04,GRDN,5,23.57,22.98,22.39,11.82,8.25,Blue Dynamic,666,61.0
"",B,5,8,29.1,400,2025-06-27,GRDN,5,23.47,23.36,22.62,11.58,1.5,Fascinate Jess,455,61.0
"",B,6,3,29.3,400,2025-06-11,GRDN,5,24.1,22.69,22.69,12.17,20.25,Tenacious Talker,276,34.0
"",B,4,4,29.0,400,2025-06-06,GRDN,5,23.65,23.32,22.82,11.77,4.75,Toby Bell,364,19.0
