Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Allinga Mercury,D,1,8,30.6,342,2025-06-24,AP/K,TG5+W,19.67,19.67,19.67,4.62,1.25,Oakvale Outlaw,2221,10.0
"",D,5,2,30.7,342,2025-06-19,AP/K,6,20.43,19.7,19.34,4.69,10.25,NAUGHTY NUNG,6655,7.5
"",D,8,8,30.0,342,2025-06-12,AP/K,6,20.42,19.68,19.58,4.67,10.5,Techno Kelli,8,9.0
"",D,3,7,30.4,342,2025-06-05,AP/K,6,19.9,19.74,19.7,4.61,2.25,Footrot Fan,4433,7.5
"",D,1,3,30.2,342,2025-06-02,AP/K,6,19.73,19.73,19.65,4.57,3.5,Techno Kelli,2111,5.0
2. Jan Hewett,B,6,2,26.0,342,2025-06-02,AP/K,5,20.09,19.7,19.65,4.8,5.5,Dubai Hunter,7766,4.0
"",B,6,4,25.8,400,2025-05-25,GAWL,5,23.26,22.68,22.68,,8.25,Mad Maverick,6,9.0
"",B,2,4,26.0,400,2025-05-18,GAWL,5,23.15,23.03,22.75,,1.75,Long Gully Cait,2,5.0
"",B,1,5,26.3,400,2025-05-09,GAWL,6,23.01,23.01,22.65,8.92,0.125,Allinga Mercury,5431,2.0
"",B,2,6,26.4,342,2025-05-05,AP/K,5,19.83,19.78,19.43,4.78,0.75,Terrific Baz,7322,18.0
4. Coolidge,B,1,6,28.5,342,2025-06-16,AP/K,6,19.58,19.58,19.27,4.59,7.0,Hayden's Milk,1,1.65
"",B,1,5,28.5,342,2025-06-02,AP/K,M,19.82,19.82,19.65,4.65,3.0,Pleasure Or Pain,2211,1.75
"",B,2,6,28.5,530,2025-04-03,AP/K,M,31.27,31.2,30.33,5.4,1.0,Darling May,22222,5.0
"",B,5,2,29.3,530,2025-02-13,AP/K,M,32.33,31.31,30.69,5.61,14.5,Binnaway Warrior,5,5.5
5. Forgotten Fury,B,2,8,22.7,400,2025-06-25,GAWL,TG5+W,23.32,23.27,22.87,8.84,0.75,Two Hands George,1112,5.0
"",B,5,4,23.0,342,2025-06-21,AP/K,TG5+W,20.33,19.64,19.64,4.75,9.75,Mellow Mead,6555,5.5
"",B,2,6,22.8,305,2025-06-15,MT/G,6,17.84,17.76,17.71,5.89,1.0,Galactic Artemis,2,5.0
"",B,7,7,22.6,342,2025-06-09,AP/K,6,20.35,19.67,19.65,4.8,9.75,MEMORIES OF ROSE,7,7.0
"",B,1,8,22.9,300,2025-06-03,MBS,6,17.26,17.26,16.68,4.45,0.5,Built For Glory,1111,3.2
7. Zing Matilda,B,2,4,24.9,395,2025-06-27,MBR,6,22.63,22.61,22.2,5.08,0.25,Beast Best,3222,1.85
"",B,2,1,25.1,395,2025-06-20,MBR,6,22.56,22.48,22.0,5.01,1.0,Binnaway Mirage,1122,9.0
"",B,5,1,25.0,400,2025-06-15,GAWL,6,23.47,22.97,22.72,8.81,7.0,Oakvale Cowboy,5,13.0
"",B,8,6,25.3,400,2025-06-06,GAWL,6,24.05,23.42,22.64,9.31,9.0,MINH BRONCO,8,18.0
"",B,6,7,25.0,395,2025-04-25,MBR,6,23.05,22.3,22.3,5.2,10.5,Trivia,6666,18.0
8. Breaker Of Rules,D,6,2,33.3,342,2025-06-30,AP/K,3/4/5,20.16,19.69,19.66,4.68,6.5,My Rusty Halo,4566,10.0
"",D,7,4,33.2,400,2025-06-22,GAWL,5,23.38,22.89,22.81,8.87,7.0,BUN VOLCANO,4557,23.0
"",D,1,3,33.0,342,2025-06-16,AP/K,5,19.64,19.64,19.27,4.61,4.0,Florrie Lincoln,1,8.5
"",D,4,8,33.1,342,2025-06-09,AP/K,5,20.15,19.65,19.65,4.67,7.0,CHILLI SAL,4,14.0
"",D,3,1,33.2,342,2025-06-02,AP/K,5,19.95,19.7,19.65,4.74,3.5,Dubai Hunter,4323,4.4
