Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DR. HAROLD,D,1,1,31.3,435,2025-06-18,SAL,Grade 5 Heat,24.572,24.572,24.481,5.3485,3.5,DAD'S JAM DONUT,1,4.2
"",D,5,6,31.6,435,2025-06-11,SAL,Grade 5,25.264,24.922,24.414,5.565,5.25,BOO BOO GIBLET,5,3.6
"",D,7,2,31.5,435,2025-06-08,SAL,Grade 5 Heat,25.085,24.118,24.053,,14.5,Cookie Man,7,26.0
"",D,3,4,31.9,435,2025-06-04,SAL,Grade 5 T3,24.679,24.593,24.585,,1.5,DAINTREE VISION,3,5.0
"",D,6,7,31.7,435,2025-06-01,SAL,Grade 5,24.943,24.472,24.376,5.6575,7.25,MAYFAIR JILL,6,8.0
2. KILMANY WARRIOR,D,1,6,31.2,435,2025-06-18,SAL,Grade 5 Heat,24.723,24.723,24.481,,3.75,WARRIOR JACK,1,10.0
"",D,2,8,30.9,400,2025-06-06,WAR,Grade 5 Non Penalty Heat,23.094,23.05,22.382,8.5045,0.75,ROSE OPAL,2,8.0
"",D,5,6,31.2,400,2025-05-29,WAR,Grade 5 T3,23.748,23.263,22.955,8.9425,7.25,Redshift Victory,5,3.0
"",D,3,1,30.8,400,2025-05-23,WAR,Grade 5 T3,23.195,22.905,22.613,8.48,4.5,PAW JUDAS,3,4.6
"",D,7,6,30.4,435,2025-05-09,SAL,Restricted Win Final,25.277,24.448,24.196,,12.5,LEVIATHAN,7,12.0
3. DREAM ON ALLAN,D,1,6,30.6,435,2025-06-18,SAL,Grade 5 Heat,24.805,24.805,24.481,5.4145,1.75,TAKE THE EDGE,1,8.0
"",D,4,2,30.5,460,2025-06-13,WAR,Grade 5,26.472,26.014,25.695,,7.0,PAW QUANDA,4,16.0
"",D,6,5,30.2,515,2025-06-09,SAN,Mixed 4/5,30.568,29.916,29.916,5.312,9.75,ASTON RAYNER,6,18.0
"",D,6,3,30.3,595,2025-06-02,SAN,Grade 5,35.144,34.757,34.373,9.70875,6.0,REALITY PIE,6,7.5
"",D,5,8,30.4,460,2025-05-30,WAR,Grade 5,26.34,26.186,25.731,,2.5,FIRE UP MARK,5,16.0
4. PARUMBA DAWN,B,2,8,29.0,435,2025-06-18,SAL,Grade 5 Heat,24.879,24.824,24.481,5.48825,1.0,Jack Hook,2,3.2
"",B,3,4,29.0,435,2025-06-11,SAL,Grade 5,25.069,24.922,24.414,5.25,2.25,BOO BOO GIBLET,3,5.5
"",B,4,8,29.2,435,2025-06-04,SAL,Grade 5 T3,24.73,24.593,24.585,,2.25,DAINTREE VISION,4,4.4
"",B,4,1,28.9,400,2025-05-27,WAR,Grade 5,23.19,23.053,22.616,8.7155,2.25,FOLLOW THE SUN,4,5.0
"",B,6,7,29.2,400,2025-05-20,WAR,Grade 5,23.48,23.14,22.314,8.85,5.25,Fire Feather,6,10.0
5. TAKE THE EDGE,B,2,3,25.3,435,2025-06-18,SAL,Grade 5 Heat,24.912,24.805,24.481,5.25,1.75,DREAM ON ALLAN,2,10.0
"",B,6,8,25.4,400,2025-04-29,WAR,Grade 5,23.297,22.926,22.485,,5.75,DREAM ON ALLAN,6,8.5
"",B,4,7,25.7,400,2025-04-22,WAR,Grade 5 Heat,23.036,22.879,22.446,,2.5,SMOOTH COLLINDA,4,34.0
"",B,7,1,26.3,435,2025-03-12,SAL,Grade 5,25.285,24.34,24.34,5.4275,14.25,REBECCA RIOT,7,10.0
