Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Hit After Hit,D,7,2,32.0,380,2025-07-22,TVLE,4/5,22.53,21.9,21.69,,9.0,GIGANTOR,7,13.0
"",D,5,1,32.1,380,2025-06-27,TVLE,P5,22.37,21.78,21.65,,8.25,Canya King Seti,5,6.5
"",D,1,2,31.9,380,2025-06-20,TVLE,P5,22.01,22.01,21.8,,1.0,Time For Tina,1,15.0
"",D,5,7,32.2,380,2025-06-06,TVLE,5,22.65,21.85,21.54,,11.5,Lucky Red,5,81.0
"",D,5,6,33.2,380,2025-05-16,TVLE,P5,22.39,21.81,21.81,,8.25,At The Roxy,5,12.0
2. ZIPPING PERKINS,D,8,8,32.4,380,2025-07-22,TVLE,4/5,22.59,21.9,21.69,,9.75,GIGANTOR,8,5.5
"",D,5,7,32.3,380,2025-06-24,TVLE,4/5,22.29,21.76,21.69,,7.5,Drink Shiraz,5,6.5
"",D,2,8,32.2,380,2025-06-17,TVLE,4/5,22.19,22.15,21.63,,0.75,Flying In Style,2,3.6
"",D,2,7,32.4,380,2025-06-06,TVLE,P5,22.31,21.91,21.54,,5.75,Blue Marine,2,5.5
"",D,1,1,32.3,380,2025-05-30,TVLE,P5,21.97,21.97,21.62,,1.75,Emgrand Flash,1,2.7
3. Souvlaki George,D,2,1,31.3,380,2025-07-22,TVLE,4/5,21.96,21.9,21.69,,0.75,GIGANTOR,2,4.6
"",D,7,4,31.5,380,2025-06-24,TVLE,4,22.16,21.7,21.69,,6.5,Table Topper,7,10.0
"",D,1,4,31.4,380,2025-06-17,TVLE,5,21.98,21.98,21.63,,4.5,Herbie Jenkins,1,2.6
"",D,4,4,30.9,380,2025-05-30,TVLE,P5,22.0,21.62,21.62,,5.25,Lush Ice,4,3.9
"",D,5,5,31.0,380,2025-05-27,TVLE,OPEN,22.23,21.68,21.56,,7.75,Maisie Moo Moo,5,16.0
4. Powerful Whiskey,D,6,2,35.0,380,2025-06-17,TVLE,4,22.47,21.63,21.63,,12.0,Swing Shift,6,5.5
"",D,8,2,34.5,498,2025-06-10,TVLE,4/5,29.89,28.91,28.39,,14.0,Huey Luey,8,3.1
"",D,3,7,34.5,380,2025-05-27,TVLE,4,21.96,21.74,21.56,,3.0,Showtime Imogen,3,4.2
"",D,3,3,34.0,380,2025-05-20,TVLE,OPEN,22.09,22.01,21.53,,1.0,Farmor Iconic,3,13.0
"",D,3,8,34.1,380,2025-05-13,TVLE,OPEN,22.24,22.13,21.93,,1.5,Cuban Eight,3,7.0
5. Cash Pirate,D,6,5,31.9,498,2025-07-22,TVLE,5/6,29.7,28.97,28.71,,10.25,Ashy Bear,6,12.0
"",D,3,8,31.9,498,2025-06-24,TVLE,5,29.19,28.91,28.56,,4.0,Speedy Ben,3,14.0
"",D,3,8,31.8,498,2025-06-17,TVLE,P5,29.36,29.19,28.52,,2.25,Stappen On Tap,3,3.0
"",D,5,6,31.3,498,2025-06-10,TVLE,4/5,29.68,28.91,28.39,,11.0,Huey Luey,5,11.0
"",D,5,6,30.9,380,2025-05-30,TVLE,5,22.14,21.88,21.62,,3.75,Federal Tommy,5,15.0
6. Agitate,D,4,4,29.5,380,2025-07-22,TVLE,4/5,22.21,21.9,21.69,,4.25,GIGANTOR,4,9.5
"",D,4,4,29.6,380,2025-06-24,TVLE,4/5,22.18,21.76,21.69,,6.0,Drink Shiraz,4,10.0
"",D,4,6,29.5,380,2025-06-03,TVLE,3/4,22.41,21.9,21.51,,7.25,Shine On Ski,4,26.0
"",D,5,3,29.5,380,2025-05-13,TVLE,OPEN,22.64,22.13,21.93,,7.25,Cuban Eight,5,34.0
"",D,5,8,29.7,407,2025-03-16,ROCK,3/4,24.21,23.92,23.85,9.27,4.25,Cosmic Beach,5,17.0
7. Hara's Meryl,B,6,3,25.2,380,2025-07-25,TVLE,5,22.4,21.84,21.79,,8.0,Jackknifed,6,4.8
"",B,1,4,24.6,380,2025-07-18,TVLE,5,21.89,21.89,21.59,,2.0,Pink Car,1,3.1
"",B,4,3,24.5,380,2025-06-06,TVLE,5,21.98,21.72,21.54,,3.75,Waikarie Venom,4,4.4
"",B,2,2,24.6,380,2025-06-03,TVLE,5,21.69,21.66,21.51,,0.5,Swing Shift,2,6.0
"",B,7,4,24.6,380,2025-05-27,TVLE,OPEN,22.37,21.68,21.56,,9.75,Maisie Moo Moo,7,14.0
8. Apache Malt,D,6,3,30.9,380,2025-07-22,TVLE,4/5,22.47,21.9,21.69,,8.25,GIGANTOR,6,14.0
"",D,1,2,31.2,380,2025-06-27,TVLE,5,21.92,21.92,21.65,7.62,0.75,Dinosaur Bones,1,6.0
"",D,3,3,31.2,380,2025-06-20,TVLE,P5,22.24,22.16,21.8,,1.0,Canya King Seti,3,16.0
"",D,6,8,31.2,380,2025-05-30,TVLE,P5,22.26,21.62,21.62,,9.25,Lush Ice,6,11.0
"",D,6,1,31.3,380,2025-05-23,TVLE,5,22.46,21.8,21.7,,9.25,Cash Pirate,6,16.0
9. Shine On Ski,D,8,8,28.0,380,2025-07-22,TVLE,4,22.61,21.9,21.69,,10.0,Major Ando,8,26.0
"",D,7,2,27.9,380,2025-06-24,TVLE,3/4,22.45,21.81,21.69,,9.25,INSTINCTIVELY,7,8.0
"",D,8,6,27.8,380,2025-06-17,TVLE,3/4,22.39,22.0,21.63,,5.5,Cool Bananas,8,17.0
"",D,7,6,28.0,380,2025-06-10,TVLE,FFA,22.35,21.56,21.56,,11.25,Jimmy Roo,7,41.0
"",D,1,1,28.0,380,2025-06-03,TVLE,3/4,21.9,21.9,21.51,,2.5,Total Franky,1,9.5
