Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DIM SIM NODDY,D,1,7,35.3,390,2025-07-21,BAL,Tier 3 - Grade 7,22.488,22.488,22.215,8.6475,3.75,ACE CHASER,1,4.0
"",D,1,9,35.1,350,2025-07-18,HEA,Tier 3 - Restricted Win,19.617,19.617,19.466,6.8125,0.25,SUMMER HAIL,1,21.0
"",D,4,1,35.6,525,2025-07-05,MEA,Grade 7,31.124,30.527,29.913,5.19,9.0,DURAN OLLY,4,21.0
"",D,7,4,35.4,450,2025-07-02,BAL,Grade 7,26.232,25.353,25.213,,13.25,CANYA TERRY,7,16.0
"",D,1,4,35.0,450,2025-06-25,BAL,Maiden,26.365,26.365,25.722,,0.25,PHOENIX SILVER,1,9.0
2. Fury's Rage,D,6,3,33.9,390,2025-07-21,SHE,Grade 5,23.016,22.081,21.711,,14.0,OUR REGARDS,6,5.0
"",D,1,4,33.9,390,2025-07-14,SHE,Mixed 6/7,22.375,22.375,21.935,8.5975,1.75,FEDERAL NOTICE,1,4.4
"",D,1,1,33.7,390,2025-07-05,SHE,Grade 7,22.309,22.309,22.22,8.5,0.5,HUNTLY MISS,1,2.4
"",D,6,7,33.6,390,2025-06-23,SHE,Grade 7,22.719,22.257,21.918,8.62125,7.0,FASHION SQUARE,6,15.0
"",D,4,7,33.6,390,2025-06-16,SHE,Mixed 6/7,22.824,22.402,21.963,,6.5,LETHAL FORCE,4,12.0
3. NEVER LOOK BACK,B,3,4,29.1,390,2025-07-21,SHE,Restricted Win,22.571,21.901,21.711,8.735,10.0,MOYARRA KONGK,3,5.0
"",B,1,4,28.6,400,2025-07-08,GEE,Grade 6,22.658,22.658,22.583,,1.25,SIA RIOT,1,4.6
"",B,5,8,28.0,425,2025-06-27,BEN,Grade 6,24.484,23.815,23.682,6.6725,10.0,EXAGGERATOR,5,6.0
"",B,8,9,27.8,390,2025-05-19,SHE,Mixed 6/7 Final,22.597,21.819,21.765,8.7575,11.75,THIS BLACK DUCK,8,8.0
"",B,3,4,27.8,390,2025-05-12,SHE,Mixed 6/7 Heat,22.509,21.987,21.729,8.557,8.0,THIS BLACK DUCK,3,5.0
4. LEAP OF FAITH,B,2,6,27.5,390,2025-07-21,SHE,Grade 5,22.254,22.111,21.711,8.4575,2.25,TWILIGHT TORI,2,3.6
"",B,6,7,27.2,390,2025-07-14,SHE,Grade 5,22.806,22.528,21.935,,4.25,THAT'S MY COUSIN,6,3.6
"",B,6,8,27.2,390,2025-06-30,SHE,Mixed 4/5,22.389,21.894,21.894,8.3845,7.5,Hard Style Leon,6,15.0
"",B,4,1,27.0,390,2025-06-23,SHE,Mixed 4/5,22.432,21.918,21.918,8.43,7.75,Cookie Man,4,21.0
"",B,3,2,26.7,425,2025-06-20,BEN,Mixed 4/5,24.335,24.219,23.851,,1.75,Dusty Mcgraw,3,21.0
5. BOY,D,6,3,30.6,390,2025-07-21,SHE,Restricted Win,22.992,21.901,21.711,8.91,16.5,MOYARRA KONGK,6,11.0
"",D,3,6,30.3,390,2025-07-14,SHE,Grade 5,22.285,21.975,21.935,8.53,4.75,MAXIMUM JASMINE,3,10.0
"",D,7,1,29.5,390,2025-07-05,SHE,Grade 5,23.098,22.28,22.22,9.1475,12.25,Dashing Nando,7,4.4
"",D,2,7,29.2,390,2025-06-26,SHE,Grade 5,22.418,22.338,22.316,,1.25,BINGO DASH,2,3.6
"",D,1,8,29.3,390,2025-06-19,SHE,Grade 6,22.355,22.355,22.231,,8.0,MOTIVATE,1,2.4
6. PAW ENNA,B,2,3,28.3,400,2025-07-17,WAR,Grade 5,23.256,23.016,23.016,8.6575,3.75,BEST DRESSED,2,4.2
"",B,1,6,28.3,390,2025-07-14,BAL,Grade 5 T3,22.525,22.525,22.421,8.57,2.75,SMOKIN' GRACIE,1,3.4
"",B,4,8,28.3,400,2025-07-10,WAR,Grade 5 T3,23.89,23.572,22.987,,4.75,JOHN BOY,4,5.0
"",B,3,8,28.1,390,2025-07-05,SHE,Grade 5,22.566,22.347,22.22,8.77,3.5,DECORATED,3,4.2
"",B,2,5,28.6,390,2025-06-30,BAL,Grade 5 T3,22.572,22.223,22.223,8.59,5.25,SPECIAL SIAN,2,16.0
7. Trent Crimm,D,7,3,34.5,457,2025-07-23,TEMA,4/5,26.45,25.82,25.75,,9.0,JOLLY OLLIE,7,14.7
"",D,5,7,34.3,390,2025-07-14,SHE,Grade 5,22.425,21.975,21.935,8.7225,6.75,MAXIMUM JASMINE,5,3.2
"",D,1,7,34.2,450,2025-07-07,SHE,Mixed 6/7,25.449,25.449,25.078,,2.75,RUXTON GIRL,1,3.2
"",D,1,4,34.3,450,2025-07-03,SHE,Tier 3 - Grade 6,25.458,25.458,25.269,6.65,5.0,INNER VISION,1,6.5
"",D,1,3,33.6,400,2025-06-27,WAGA,5,23.3,23.3,22.8,,1.0,Silvertree Nacho,1,10.0
8. XISAN BALE,D,5,7,31.1,390,2025-07-21,SHE,Mixed 3/4,22.307,21.711,21.711,8.6625,9.0,ASTON FANTASTIC,5,8.0
"",D,1,8,31.0,390,2025-07-16,BAL,Grade 5,22.35,22.35,21.708,8.69,3.75,Stress Test,1,6.0
"",D,1,6,31.4,425,2025-07-11,BEN,Grade 5,24.169,24.169,23.858,,4.25,Smokin' Arrow,1,4.2
"",D,5,2,31.4,390,2025-07-05,SHE,Mixed 4/5,23.118,22.258,22.22,8.80375,13.0,Hard Style Robbo,5,6.5
"",D,5,1,31.4,390,2025-07-02,BAL,Grade 5,22.56,22.294,22.076,,4.0,SCENIC COURT,5,6.0
9. BIG BOY CABANG,D,7,4,37.9,425,2025-04-15,BEN,Grade 5 Heat,25.118,24.327,23.908,,12.0,BASEMENT,7,6.0
"",D,6,6,38.1,450,2025-03-22,SHE,Restricted Win Heat,25.833,25.428,24.784,6.7,6.25,MONEY PALACE,6,15.0
"",D,7,6,37.9,390,2025-03-10,SHE,Grade 5,23.098,22.209,21.712,8.615,13.5,GREEN FLASH,7,10.0
"",D,8,1,37.5,450,2025-03-03,SHE,Grade 5 Heat,25.777,25.244,24.868,6.67,8.0,Aston Florin,8,18.0
"",D,3,3,36.8,390,2025-02-10,SHE,Grade 5,22.18,22.035,21.928,,2.25,Global Express,3,11.0
10. Western Flat,D,3,3,31.4,320,2025-07-18,WAGA,5,18.64,18.56,18.36,,1.0,Angel's Emma,3,5.0
