Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Sweet Babysitter,B,4,4,28.0,305,2025-07-10,MT/G,M,19.04,18.57,17.34,,6.5,Banana Cream,4,21.0
"",B,6,2,28.5,400,2025-02-04,GEE,Maiden,24.433,23.255,22.711,,17.75,BLACKPOOL LUCKY,6,10.0
"",B,6,1,28.1,305,2025-01-30,MT/G,M,18.66,17.9,17.9,6.08,10.75,Saint Bree,6,41.0
"",B,4,2,28.2,305,2025-01-23,MT/G,M,18.73,18.34,18.0,6.14,5.5,Compton Lily,4,81.0
"",B,5,4,28.0,305,2025-01-16,MT/G,M,19.05,18.49,18.0,6.36,8.0,Shadows To Burn,5,23.0
5. Aston Salmon,B,5,7,26.2,305,2025-07-06,MT/G,M,18.64,17.65,17.42,5.95,14.0,Drill Baby,5555,12.0
"",B,2,7,26.1,305,2025-06-26,MT/G,M,18.22,18.12,17.88,5.9,1.5,What A Wrought,1122,4.8
"",B,5,9,26.2,395,2025-06-20,MBR,M,23.17,22.37,22.0,5.2,11.5,Ruby Rhea,4445,26.0
"",B,4,4,25.9,395,2025-06-13,MBR,M,23.34,22.23,22.12,5.25,15.75,Capybara,4,16.0
"",B,6,2,25.5,400,2025-06-05,MT/G,M,25.19,24.49,23.32,12.05,10.0,Miracle Man,2666,1.25
8. Smiling Lily,B,2,2,25.4,305,2025-07-10,MT/G,M,18.71,18.57,17.34,,2.0,Banana Cream,2,4.6
"",B,4,8,25.3,305,2025-06-29,MT/G,M,18.55,17.67,17.33,6.13,12.5,Dimora Bluey,4444,10.0
"",B,5,2,25.6,305,2025-06-26,MT/G,M,18.67,18.12,17.88,6.11,7.75,What A Wrought,5555,10.0
"",B,5,2,25.6,305,2025-06-15,MT/G,M,18.49,17.75,17.71,6.1,10.5,Fernando Lee,5,11.0
