Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Starburst Candy,B,4,1,26.9,300,2025-06-24,MBS,6,17.23,16.71,16.23,4.69,7.5,Peaky Boo,4444,51.0
"",B,6,7,27.0,342,2025-06-19,AP/K,6,20.56,19.7,19.34,4.84,12.25,NAUGHTY NUNG,8766,34.0
"",B,4,8,26.7,342,2025-06-10,AP/K,TG5+W,20.34,20.16,19.41,4.84,2.5,As Charged,4,12.0
"",B,7,5,26.2,530,2025-03-20,AP/K,I,32.11,31.01,30.23,5.48,15.75,Weblec Flame,55777,12.0
"",B,6,5,26.3,595,2025-03-13,AP/K,6,35.04,34.24,34.07,8.82,11.5,Time To Fire,566666,81.0
2. PAW IGNITE,D,5,8,33.9,400,2025-06-29,GAWL,6,23.59,23.23,22.8,9.04,5.25,Adhana Carl,4555,7.0
"",D,3,8,34.0,342,2025-06-24,AP/K,TG5+W,20.28,19.92,19.67,4.82,5.25,Devil Energy,6633,2.5
"",D,4,2,34.4,400,2025-06-11,GAWL,TG5+W,23.27,23.02,22.87,8.98,3.5,ASTON MAI TAI,4,3.0
"",D,6,4,34.2,400,2025-06-08,MT/G,4/5,23.79,23.22,23.14,11.26,8.25,My Lady Panama,6,13.0
"",D,6,5,34.8,375,2025-05-25,BKHL,NG,22.33,21.72,21.72,,8.75,Dawny By Name,6,21.0
4. Golden Blend,D,3,5,32.7,300,2025-06-24,MBS,6,16.83,16.71,16.23,4.46,1.75,Peaky Boo,1123,3.3
"",D,2,8,32.1,395,2025-05-23,MBR,6,22.53,22.35,22.27,5.12,2.5,Princess Tilley,2222,6.0
"",D,1,1,32.4,342,2025-05-10,AP/K,TG1-4W,19.59,19.59,19.59,4.63,5.75,Buffy's No Angel,1111,2.3
"",D,4,5,32.5,390,2025-04-21,WAR,S/E Heat,22.513,22.34,22.046,8.8925,2.75,SAINT TAY,4,21.0
"",D,3,2,32.2,390,2025-04-17,WAR,Restricted Win Heat,22.358,22.012,21.988,,5.25,DOONGALLA ROCKET,3,21.0
6. ARCHER EIGHT,D,1,2,34.1,342,2025-06-24,AP/K,TG1-4W,19.85,19.85,19.67,4.83,0.5,SAILAWAY BUDDY,3221,5.0
"",D,7,3,34.5,400,2025-06-11,GAWL,TG1-4W,23.93,23.04,22.87,9.08,12.75,Find The Sun,7,6.0
"",D,7,6,34.4,400,2025-06-08,MT/G,6,24.56,23.39,23.14,,16.75,Merger,7,5.5
"",D,2,1,34.4,375,2025-06-01,BKHL,5,21.95,21.92,21.63,,0.5,RIVIA THEA,2,1.85
"",D,2,6,34.3,375,2025-05-25,BKHL,5,22.15,22.03,21.72,,1.75,RUSTY FLYER,2,3.7
8. Zinfandel Macy,B,7,6,26.2,400,2025-06-25,GAWL,TG5+W,24.05,22.88,22.87,9.12,16.75,Binnaway Mirage,7777,19.0
"",B,6,7,24.6,342,2025-04-22,AP/K,TG5+W,20.23,19.78,19.77,4.78,6.25,Toot Toot,6556,6.5
"",B,5,4,25.0,400,2025-04-16,GAWL,6,23.39,22.77,22.57,8.78,8.75,INARA BALE,2235,17.0
"",B,4,4,25.3,342,2025-03-29,AP/K,TG5+W,20.27,19.71,19.64,4.67,8.0,Ritza Riot,2244,9.0
"",B,3,8,24.9,342,2025-03-25,AP/K,TG5+W,19.9,19.71,19.55,4.72,2.5,Hayride Gulden,3223,10.0
