Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Bouldy Bullet,D,4,8,31.9,407,2025-07-16,ROCK,M,24.73,24.03,23.66,9.2,10.0,Bright Side,4,17.0
3. Prophet Zulu,B,4,7,29.4,407,2025-07-13,ROCK,M,24.44,24.08,23.33,9.35,5.25,Tusken Wind,4,5.5
"",B,2,4,29.3,407,2025-06-25,ROCK,M,24.47,24.36,23.54,9.25,1.5,Tip Alore Honey,2,3.3
"",B,3,4,28.9,407,2025-06-08,ROCK,M,24.47,24.13,23.61,9.56,4.75,Swift Dragon,3,3.0
4. Wilma Flintstone,B,5,4,25.9,407,2025-07-09,ROCK,M,24.28,23.84,23.67,9.2,6.25,Sing My Song,5,17.0
"",B,6,1,25.7,407,2025-06-04,ROCK,M,24.8,23.95,23.71,9.42,12.25,Catching Rays,6,3.4
"",B,3,3,26.1,407,2025-05-28,ROCK,M,24.54,24.24,23.73,9.61,4.25,Strawberry Crush,3,5.5
"",B,5,1,26.4,407,2025-05-18,ROCK,M,24.75,24.45,23.55,9.72,4.25,Untamed Banter,5,3.0
"",B,3,1,26.1,407,2025-05-11,ROCK,M,24.83,24.59,23.41,9.52,3.5,Unstable Mable,3,3.3
5. Dream House,B,7,6,27.6,407,2025-07-16,ROCK,M,25.0,24.03,23.66,9.7,13.75,Bright Side,7,9.0
6. Boonie's Baby,B,3,1,23.6,407,2025-07-16,ROCK,M,24.26,24.03,23.66,9.3,3.25,Bright Side,3,21.0
"",B,5,2,23.8,407,2025-07-13,ROCK,M,24.51,24.08,23.33,9.47,6.0,Tusken Wind,5,23.0
"",B,4,7,23.9,407,2025-07-06,ROCK,M,24.74,24.01,23.73,9.53,10.25,Hassan,4,8.0
"",B,7,4,24.4,366,2025-06-29,CAPA,M,21.08,20.21,19.53,,12.25,Mighty Uproar,677,61.0
"",B,2,2,24.2,395,2025-06-18,APWE,M,23.6,23.22,22.82,10.92,5.25,Scotty's Idea,42,14.0
7. Velocity Radiate,B,2,10,27.6,407,2025-07-16,ROCK,M,23.84,23.74,23.66,8.97,1.5,Playing To Win,2,3.8
"",B,4,5,27.5,407,2025-07-09,ROCK,M,24.21,23.84,23.67,9.19,5.25,Sing My Song,4,2.0
"",B,2,3,27.5,407,2025-07-02,ROCK,M,24.15,24.03,23.46,9.02,1.75,Navabi,2,1.6
"",B,2,7,27.9,380,2025-06-13,TVLE,M,22.07,22.0,21.68,7.48,1.0,Explosive Jem,2,1.75
"",B,8,8,27.5,380,2025-06-06,TVLE,M,23.13,22.23,21.54,,12.75,Mister Hugo,8,1.5
8. Precursor,D,3,4,30.5,407,2025-07-13,ROCK,M,24.94,24.69,23.33,9.9,3.5,Koolboo Brookie,3,1.25
9. Let's Just Dance,B,5,5,24.1,407,2025-07-16,ROCK,M,24.88,24.03,23.66,9.36,12.25,Bright Side,5,21.0
"",B,4,1,24.3,407,2025-07-06,ROCK,M,24.69,24.62,23.73,9.44,1.0,Wow She's Quick,4,4.2
"",B,6,2,24.2,407,2025-06-29,ROCK,M,24.71,24.27,23.71,9.54,6.25,End Of Tunnel,6,6.5
10. Hip Hip Hooray,B,6,4,26.2,407,2025-07-02,ROCK,M,24.84,24.03,23.46,9.74,11.5,Navabi,6,31.0
"",B,5,9,26.3,407,2025-06-25,ROCK,M,24.66,24.36,23.54,9.57,4.25,Tip Alore Honey,5,10.0
"",B,5,1,26.2,407,2025-06-15,ROCK,M,24.92,24.67,23.46,9.45,3.5,Sugar Baby,5,2.7
"",B,6,7,26.6,407,2025-06-08,ROCK,M,24.63,24.27,23.61,9.58,5.25,Mr. Williams,6,2.3
"",B,4,7,26.4,407,2025-06-04,ROCK,M,24.42,23.95,23.71,9.48,6.5,Catching Rays,4,9.5
