Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Reborn Ruby,B,5,5,25.1,330,2025-06-25,TEMA,5,19.32,19.17,18.92,,2.0,SHUFFLE,5,34.0
"",B,6,2,24.8,320,2025-06-20,WAGA,5,19.75,18.65,18.4,,15.75,Paw Perez,6,14.0
"",B,1,3,25.1,320,2025-06-02,RICH,M,18.61,18.61,18.21,2.15,1.75,Erina Charm,1111,4.0
2. Lone Rustler,D,7,6,30.3,457,2025-06-25,TEMA,MX,27.22,26.24,26.16,,14.0,Club Miami,7,26.0
"",D,5,4,29.7,320,2025-06-20,WAGA,5,19.08,18.55,18.4,,7.5,Angel's Emma,5,10.0
"",D,6,5,30.2,320,2025-06-16,WAGA,5,18.95,18.31,18.31,,9.25,King Of Asgard,6,10.0
"",D,3,1,30.0,400,2025-06-09,WAGA,5,23.75,23.48,23.42,,3.75,Cawbourne Donny,3,2.25
"",D,3,4,29.8,330,2025-06-04,TEMA,5,19.15,18.94,18.78,,3.0,Jude Said,3,10.0
3. Lumeah Taylor,B,4,8,29.8,340,2025-06-18,GUNN,5,20.13,19.72,19.51,6.84,5.75,Molly Miss,7644,19.0
"",B,8,2,29.4,340,2025-06-08,GUNN,M,20.71,19.62,19.4,6.85,15.5,Minty Dancer,2688,41.0
"",B,1,1,29.3,340,2025-05-28,GUNN,M,19.92,19.92,19.42,6.71,3.5,Al Can Do,1111,3.0
"",B,2,8,29.3,318,2025-05-24,DUBO,M,18.68,18.58,18.36,4.86,1.5,Miss Ciardo,6422,7.0
"",B,6,3,29.3,318,2025-05-12,DUBO,M,18.9,18.33,17.99,4.86,8.25,Bogan Sway,4566,19.0
4. Magical Maurice,D,7,6,29.6,330,2025-06-25,TEMA,5,19.48,19.17,18.92,,4.25,SHUFFLE,7,61.0
"",D,3,1,29.6,330,2025-06-18,TEMA,5,19.31,18.76,18.72,,7.75,BENNY ROCKS,3,7.5
"",D,4,9,29.5,330,2025-06-11,TEMA,5,19.26,18.81,18.79,,6.25,Dark Panther,4,71.0
"",D,6,5,29.5,330,2025-06-04,TEMA,5,19.76,19.1,18.78,,9.25,Oscar James,6,11.0
"",D,7,8,29.5,330,2025-05-28,TEMA,5,19.66,19.35,18.79,,4.25,Benny Moko,7,12.0
5. Kim Laurice,B,7,1,25.5,457,2025-05-07,TEMA,5,26.65,25.72,25.62,,13.25,Lone Shark,7,33.8
"",B,6,1,25.7,457,2025-04-30,TEMA,5,26.44,25.64,25.64,,11.5,Shiralee,6,14.0
"",B,6,4,25.8,330,2025-04-23,TEMA,5,19.46,18.62,18.61,,12.0,Samurai,6,7.5
"",B,5,6,25.6,330,2025-04-16,TEMA,5,19.26,19.03,18.41,,3.25,Fusion Rogue,5,14.0
"",B,3,7,25.7,330,2025-04-09,TEMA,5,19.32,19.25,18.42,,1.0,Blue Jezebel,3,5.0
6. Manila Shelby,B,8,2,25.4,330,2025-06-25,TEMA,5,19.91,19.36,18.92,,7.75,Sly Sticker,8,81.0
"",B,7,5,25.0,320,2025-06-20,WAGA,5,19.15,18.55,18.4,,8.5,Angel's Emma,7,101.0
"",B,6,6,24.7,320,2025-06-13,WAGA,5,19.28,18.42,18.42,,12.25,Rosey Flow,6,81.0
"",B,6,6,25.1,320,2025-06-06,WAGA,5,19.18,18.48,18.28,,10.0,Got A Flyer,6,81.0
"",B,8,4,25.3,330,2025-05-28,TEMA,5,19.86,19.35,18.79,,7.25,Benny Moko,8,81.0
7. Lumeah Jolie,B,6,7,26.8,318,2025-06-28,DUBO,5,19.25,18.28,18.07,4.93,13.75,Peach Mac,2866,81.0
"",B,5,7,26.6,330,2025-06-18,TEMA,5,19.42,18.76,18.72,,9.25,BENNY ROCKS,5,3.8
"",B,5,7,26.8,340,2025-06-11,GUNN,5,20.21,19.65,19.52,6.75,8.0,Molly Miss,2655,34.0
"",B,7,6,26.6,350,2025-05-30,GOUL,5,21.78,19.94,19.36,,26.25,Whistle Wave,3777,12.0
"",B,6,5,26.8,350,2025-05-23,GOUL,5,20.47,19.71,19.48,,10.75,Bland Option,7766,101.0
8. Jacobite Wren,B,8,1,27.6,457,2025-06-25,TEMA,MX,27.32,26.28,26.16,,14.75,MOM'S SPAGHETTI,8,101.0
"",B,7,1,27.0,320,2025-06-20,WAGA,5,19.56,18.63,18.4,,13.25,Nugget Ned,7,11.0
"",B,6,7,27.6,320,2025-06-16,WAGA,5,19.47,18.76,18.31,,10.0,Kiando Brooklyn,6,5.0
"",B,5,3,27.7,320,2025-06-09,WAGA,5,19.43,18.54,18.22,,12.75,EIGHT OLD MATES,5,21.0
"",B,1,4,27.4,400,2025-05-30,WAGA,M,23.64,23.64,23.22,,1.0,Stagger Out Ann,1,4.4
9. Tammy Turbo,B,5,1,26.7,320,2025-06-16,WAGA,5,19.38,18.76,18.31,,8.75,Kiando Brooklyn,5,51.0
"",B,6,2,26.3,330,2025-04-30,TEMA,M3,19.98,18.83,18.57,,16.25,Shian Lani,6,88.6
"",B,8,6,25.9,330,2025-03-19,TEMA,5,20.12,18.9,18.54,,17.25,Saiko,8,101.0
"",B,8,9,26.3,330,2025-02-05,TEMA,5,19.97,18.89,18.48,,15.5,Franco Boy,8,101.0
"",B,8,8,26.2,330,2025-01-29,TEMA,5,20.23,18.98,18.82,,17.75,Lange's Lad,8,101.0
