Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. ELEVATE,D,3,8,31.9,400,2025-07-12,GEE,Restricted Win,22.854,22.794,22.201,8.70425,1.0,OLLIE JACK,3,5.5
"",D,4,6,32.0,410,2025-07-07,HOR,Grade 5,23.581,23.31,23.001,10.6575,4.25,LAURISTON GIRL,4,8.0
"",D,1,7,31.8,390,2025-07-02,BAL,Restricted Win,22.582,22.582,22.076,,2.5,ULTIMATE BLEND,1,10.0
"",D,2,4,31.6,460,2025-06-27,GEE,Mixed 6/7,26.451,26.023,25.879,6.66175,6.5,BILLY BUST UP,2,6.5
"",D,3,2,31.5,400,2025-06-17,GEE,Grade 6,23.045,22.801,22.526,8.7185,3.75,ALBORZ GIRL,3,4.6
2. PAPA EASY,D,2,6,30.2,350,2025-07-13,HEA,Grade 5,19.458,19.379,18.958,6.71875,1.25,KILL YOUR SMILE,2,5.0
"",D,3,6,30.4,400,2025-07-04,GEE,Grade 5,23.095,22.875,22.491,,3.5,IMPEL,3,4.0
"",D,1,8,30.3,425,2025-06-27,BEN,Grade 5,24.076,24.076,23.682,,5.5,LITTLE MISS ENVY,1,3.2
"",D,1,3,30.7,425,2025-06-20,BEN,Restricted Win,23.902,23.902,23.851,6.53,1.5,BLAZIN' FRIES,1,3.4
"",D,3,4,30.5,450,2025-03-05,BAL,Mixed 6/7 Final,25.708,25.355,25.159,,5.5,ZAMBORA BLISS,3,3.6
4. Swift Gift,B,6,9,27.8,512,2025-07-13,MT/G,OPEN,30.48,30.25,30.07,,3.25,Gaping Margin,6,26.0
"",B,1,5,27.8,512,2025-07-03,MT/G,TG1-4W,29.89,29.89,29.89,4.46,1.25,PRINCETOWN FLYER,11111,10.0
"",B,7,6,27.7,450,2025-06-12,WAR,Mixed 6/7,26.164,25.322,24.946,,12.75,PAW NEBRASKA,7,26.0
"",B,4,3,26.7,595,2025-06-02,SAN,Restricted Win,35.443,35.026,34.373,9.64925,6.25,SOUTH THAILAND,4,18.0
"",B,2,7,26.8,450,2025-05-28,WAR,Mixed 6/7,25.778,25.067,25.067,,10.75,MORNING BOSS,2,51.0
5. ERIC QUIRK,D,3,2,34.8,450,2025-07-07,WAR,Grade 5,26.058,25.533,25.533,6.86175,8.0,BLAZING RIOT,3,10.0
"",D,4,6,34.8,390,2025-06-30,WAR,Grade 5,22.989,22.64,22.299,,5.25,STEP ON AIR,4,4.8
"",D,4,2,34.9,400,2025-06-08,MT/G,6,24.06,23.39,23.14,,9.5,Merger,4,4.2
"",D,5,4,34.7,450,2025-05-22,WAR,Grade 5,26.039,25.526,25.303,,7.75,MORAINE WALLY,5,8.0
"",D,7,3,34.9,450,2025-05-15,WAR,Grade 5,26.332,25.589,25.298,,11.25,COLLINDA LAW,7,10.0
7. SPEEDY KHE SANH,B,1,2,25.7,425,2025-06-27,BEN,Grade 5,24.299,24.299,23.682,,0.25,NICKLEBY ACTION,1,12.0
"",B,4,2,25.6,460,2025-06-17,GEE,Grade 5,26.245,25.996,25.996,6.715,3.75,PAW YALE,4,3.0
"",B,6,8,25.7,460,2025-06-07,GEE,Grade 5,26.479,26.073,25.598,6.6485,6.25,BAKIS BALE,6,8.0
"",B,3,7,25.8,425,2025-05-23,BEN,Grade 5,24.496,24.269,23.773,,3.5,ASTON WARRIOR,3,3.6
"",B,1,3,25.9,390,2025-05-10,BAL,Grade 6,22.26,22.26,21.963,8.39,1.75,MIA MADELLA,1,8.5
8. DESIRED,B,7,4,28.4,450,2025-07-10,WAR,Grade 5,26.092,25.559,25.354,6.792,8.0,CANYA ULTIMATE,7,7.5
"",B,4,8,28.0,390,2025-06-04,WAR,Grade 5 Final,22.369,21.965,21.749,,6.25,Cookie Man,4,4.8
"",B,1,2,28.0,390,2025-05-28,WAR,Grade 5 Heat,21.954,21.954,21.884,,0.5,ASTON ELENA,1,3.6
"",B,4,3,27.9,450,2024-12-30,SHE,Restricted Win Heat,25.494,25.414,25.0,6.782,1.25,PAW MANTRA,4,6.0
"",B,1,2,28.3,410,2024-12-23,HOR,Mixed 6/7,23.212,23.212,23.132,10.35,14.25,ZIPPING TAMIKA,1,1.8
