Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MAGIC BOOM,D,3,4,32.0,425,2025-07-23,BEN,Grade 7,24.845,24.742,24.158,,1.75,MORNING DAISY,3,2.8
"",D,4,8,32.5,390,2025-07-17,SHE,Grade 7,22.869,22.504,22.297,8.645,5.5,UNLEASH CRIPPS,4,3.6
"",D,7,2,31.9,390,2025-07-07,SHE,Mixed 6/7,23.235,22.538,22.025,,10.5,TRAJECTORY,7,8.0
"",D,3,2,32.0,425,2025-06-25,BEN,Tier 3 - Grade 7,24.883,24.313,24.085,,8.75,SHADOW MAC,3,2.8
"",D,1,1,31.9,390,2025-06-19,SHE,Maiden,22.58,22.58,22.231,,0.25,GREEN SHOOTS,1,12.0
2. LALA CHUCKY,D,2,8,37.6,450,2025-07-21,WAR,Mixed 6/7,25.866,25.617,25.532,,3.75,BELAIR BLUE,2,10.0
"",D,2,4,37.5,425,2025-07-16,BEN,Tier 3 - Grade 7,24.38,24.318,23.987,,1.0,TOPPER SNOWDRIFT,2,4.2
"",D,6,4,37.7,425,2025-07-11,BEN,Mixed 6/7,24.56,24.213,23.858,,5.25,ZIPPING SANDCHEZ,6,21.0
"",D,4,6,37.9,450,2025-07-03,SHE,Tier 3 - Grade 7,26.221,25.595,25.269,7.02,9.5,BIG PLAYER,4,6.5
"",D,2,4,37.1,425,2025-06-25,BEN,Tier 3 - Grade 7,24.52,24.313,24.085,,3.25,SHADOW MAC,2,9.0
3. CORNHILL HUSTLER,B,6,8,26.8,450,2025-07-26,BAL,Grade 7,26.55,26.046,25.699,6.9,7.75,VALLETTA PEARL,6,26.0
"",B,8,7,26.8,425,2025-07-23,BEN,Grade 7,25.031,24.456,24.158,,8.75,Birdwood Franky,8,7.5
"",B,8,5,27.0,500,2025-07-16,BEN,Tier 3 - Restricted Win,29.561,28.213,28.054,6.732,20.25,COUNT THE STARS,8,12.0
"",B,3,7,27.1,450,2025-07-10,SHE,Tier 3 - Grade 7,26.111,25.747,25.645,,5.5,SUNNY STRIDE,3,10.0
"",B,6,8,27.5,500,2025-07-02,BEN,Mixed 6/7,29.388,29.102,28.498,,4.5,ANOTHER FIFTY,6,6.0
4. ATOMIC DIVA,B,1,7,30.8,425,2025-07-23,BEN,Maiden,24.564,24.564,24.158,,4.0,WALL HOUSE,1,6.0
"",B,2,7,30.3,425,2025-07-16,BEN,Tier 3 - Maiden,24.496,24.307,23.987,6.74925,3.0,ANGELANI,2,3.2
"",B,7,6,31.3,425,2025-05-17,BEN,Maiden,25.115,24.291,24.291,,12.5,SUPER STORM,7,10.0
"",B,7,8,31.2,425,2025-04-30,BEN,Maiden,25.165,24.456,23.952,,10.75,BLACK HAWK,7,10.0
"",B,3,1,30.6,425,2025-04-15,BEN,Maiden,24.914,24.255,23.908,,10.0,MCINALLY,3,4.8
5. SHE'S TROPIC,B,7,4,33.6,450,2025-07-24,SHE,Tier 3 - Restricted Win,26.165,25.814,25.518,,5.25,KRAKEN TOMMY,7,8.5
"",B,3,1,33.4,425,2025-07-16,BEN,Tier 3 - Grade 7,24.431,24.264,23.987,6.781,2.5,CONCRETE KAOS,3,7.5
