Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. KIANI STAR,B,7,4,29.6,390,2025-07-02,BAL,Grade 5,22.956,22.165,22.076,,12.0,PAW UELLA,7,4.6
"",B,1,5,29.4,390,2025-06-26,WAR,Grade 5,22.225,22.225,21.771,8.6,0.5,Moraine Sofia,1,12.0
"",B,2,1,29.3,400,2025-06-17,GEE,Grade 5,22.87,22.818,22.526,8.49,1.0,ON SONG ICE,2,5.5
"",B,5,10,29.3,390,2025-06-12,WAR,Grade 5,22.863,22.493,21.979,,5.75,Bourne Supremacy,5,8.0
"",B,6,2,29.5,305,2025-06-08,MT/G,6,18.57,17.75,17.75,6.24,11.75,BUSTING,6,5.0
2. DUCHESS GEORGIA,B,3,3,28.1,400,2025-06-20,GEE,Grade 5,22.802,22.586,22.3,,3.25,BLACKPOOL RANGER,3,12.0
"",B,8,6,27.6,390,2025-06-05,SHE,S/E Heat,22.663,21.696,21.696,,14.5,SHARAPOVA STAR,8,31.0
"",B,5,5,27.8,400,2025-05-20,WAR,Mixed 4/5,23.075,22.624,22.314,8.43,6.75,SHARNI'S SECRET,5,23.0
"",B,8,2,28.5,400,2025-04-29,WAR,Grade 5 Final,23.038,22.634,22.485,8.545,6.25,SMOOTH COLLINDA,8,10.0
"",B,2,6,28.1,400,2025-04-22,WAR,Grade 5 Heat,22.911,22.802,22.446,,1.75,BLINKED,2,3.5
3. Chappy's Thief,B,5,7,25.9,400,2025-07-04,GEE,Grade 5,22.96,22.686,22.491,8.507,4.25,CRANK IT,5,12.0
"",B,5,7,26.1,500,2025-06-29,BEN,Mixed 3/4,28.562,28.243,28.243,6.7815,5.0,UTRILLO BALE,5,15.0
"",B,7,1,26.1,390,2025-06-05,BAL,Veterans Heat,22.623,21.704,21.704,,13.75,Funny Old Fellow,7,16.0
"",B,1,1,26.1,515,2025-05-19,SAN,Grade 5 No Penalty,29.984,29.984,29.355,,0.5,DOONGALLA BOY,1,14.0
"",B,4,5,26.4,390,2025-05-07,BAL,Grade 5,22.731,22.151,21.962,,8.75,NORTH CAROLINA,4,9.0
4. ELENA'S JEBRYNAH,B,5,3,25.0,300,2025-07-06,HEA,Grade 5,17.132,16.748,16.688,3.9475,5.75,ZINZAN CHARLIE,5,6.5
"",B,5,4,24.9,300,2025-06-27,HEA,Grade 5 T3,17.104,16.848,16.747,,4.0,ZOOM BOOM,5,5.5
"",B,3,8,24.7,300,2025-06-20,HEA,Grade 5 T3,17.1,17.034,16.912,3.93,1.0,LITTLE MISS ENVY,3,6.5
"",B,2,1,25.7,400,2025-02-07,GEE,Grade 5,23.057,22.988,22.486,8.4875,1.25,ASTON WARRIOR,2,3.6
"",B,3,8,25.8,425,2025-01-31,BEN,Grade 5,24.24,23.764,23.542,,7.25,Kaluna Chaos,3,9.0
6. DRAGONELLE,B,7,3,28.0,400,2025-06-27,GEE,Grade 5,23.344,22.457,22.299,8.5675,13.25,NO GOOD,7,9.0
"",B,2,1,27.6,400,2025-06-20,GEE,Grade 5,22.668,22.586,22.3,,1.25,BLACKPOOL RANGER,2,2.8
"",B,1,2,27.2,450,2025-06-12,WAR,Grade 5,25.68,25.68,24.946,,0.25,COLLINDA EXPRESS,1,2.8
"",B,8,7,27.2,450,2025-06-05,SHE,S/E Heat,26.024,24.989,24.875,6.6945,15.5,DEAR CARLA LOU,8,15.0
"",B,4,8,27.6,450,2025-05-22,WAR,Grade 5,25.579,25.358,25.303,,3.5,MISCHIEF MATE,4,6.0
7. MISS GEORGIE LEE,B,6,5,28.6,390,2025-07-03,WAR,Grade 5,22.809,22.05,21.88,,11.5,SHAKER STICKER,6,3.4
"",B,5,4,28.5,450,2025-06-23,SHE,Grade 5,26.047,25.496,25.41,7.011,8.25,Minnie's My Mum,5,10.0
"",B,1,7,28.2,460,2025-06-10,GEE,Grade 5,26.151,26.151,25.781,,3.75,MISS YOUR KISS,1,7.5
"",B,3,9,28.2,450,2025-06-05,SHE,Grade 5 Non Penalty Heat,25.953,25.624,24.875,6.992,5.0,STORMY SECRET,3,3.4
"",B,8,3,28.1,450,2025-05-30,BAL,Special Event,26.703,25.997,24.694,,10.75,LITTLE DARL,8,7.5
8. ASTON OPHELIA,B,5,6,26.6,410,2025-07-07,HOR,Grade 5,23.645,23.001,23.001,,9.75,TURN THE TIDE,5,6.0
"",B,1,2,27.1,390,2025-07-01,BAL,Grade 5,22.288,22.288,22.08,8.5725,2.75,HARAJUKU LASS,1,4.6
"",B,3,1,27.7,390,2025-06-23,BAL,Grade 5 T3,22.576,22.534,22.401,,0.75,NOCTILUCENT,3,2.8
"",B,3,3,27.4,400,2025-06-07,GEE,Grade 5,23.293,22.787,22.472,8.812,7.75,PEAKY AVENGER,3,2.8
"",B,7,2,27.8,410,2025-06-03,HOR,Grade 5,24.044,23.352,23.326,,10.5,Nangar Express,7,4.6
