Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. My Cujo,D,6,5,32.3,300,2025-07-17,QST,6,16.9,16.57,16.56,6.57,4.75,Share The Dream,46,12.0
"",D,2,8,32.4,300,2025-07-12,QST,6,17.05,16.95,16.69,6.74,1.5,Queen Lily,32,10.0
"",D,6,6,32.2,350,2025-07-10,QST,6,20.01,19.77,19.15,4.06,3.5,Quick Zip Franky,556,16.0
"",D,2,2,32.2,300,2025-07-03,QST,6,17.33,17.12,16.91,6.85,3.0,Ricky Bobby,32,51.0
"",D,5,5,32.1,350,2025-06-26,QST,6,19.69,19.52,18.87,4.05,2.25,Havoc,245,61.0
2. No Junk,D,8,8,28.7,390,2025-06-24,QOT,6,22.77,22.0,22.0,6.24,11.0,Lakoda Focus,468,23.0
"",D,2,1,28.7,395,2025-06-18,APWE,6,23.25,22.97,22.82,10.8,4.0,At The Pond,22,3.3
"",D,1,3,28.6,395,2025-06-11,APWE,M,23.25,23.25,22.54,10.75,5.25,Asawa Baby,11,4.4
"",D,2,4,28.7,395,2025-05-28,APWE,M,23.79,22.99,22.65,11.15,11.5,Harry's Hill,42,9.0
"",D,8,2,29.6,395,2025-05-14,APWE,M,24.71,23.31,22.51,11.4,20.0,Exotic Ruby,88,2.4
3. Bonnie Royale,B,1,2,27.1,350,2025-07-18,QST,6,19.27,19.27,18.98,3.93,1.5,Game On Greg,1,5.5
"",B,2,2,27.1,350,2025-07-12,QST,6,19.57,19.41,18.83,3.97,2.25,Rupee Magic,222,10.0
"",B,7,4,27.2,350,2025-07-03,QST,6,20.32,19.89,19.46,4.14,6.0,Basil Fawlty,587,8.5
"",B,7,5,27.3,395,2025-05-28,APWE,6,24.07,22.99,22.65,11.55,15.5,Silva Hayze,87,9.5
"",B,5,8,27.2,395,2025-05-14,APWE,6,23.31,23.02,22.51,10.88,4.25,Yogi's Princess,55,3.2
4. Versification,B,1,5,24.4,350,2025-07-10,QST,M,19.58,19.58,19.15,4.06,1.0,Colonel's Ranger,321,3.5
"",B,4,7,24.5,350,2025-07-03,QST,M,19.9,19.52,19.46,4.03,5.25,Maximum Ace,234,26.0
6. Barry The Boss,D,3,3,31.1,350,2025-07-18,QST,6,19.46,19.27,18.98,4.06,2.5,Bonnie Royale,3,6.0
"",D,5,1,31.1,366,2025-07-13,CAPA,6,20.61,20.4,19.39,,3.0,Ice Rider,5,5.5
"",D,2,5,30.8,350,2025-07-10,QST,6,19.87,19.77,19.15,4.04,1.5,Quick Zip Franky,342,21.0
"",D,5,2,30.9,366,2025-07-06,CAPA,6,20.69,19.96,19.61,,10.25,Mighty Uproar,665,41.0
"",D,8,5,30.8,390,2025-07-01,QOT,6,22.95,22.0,22.0,6.27,13.5,Oxidisation,788,61.0
7. Hope Moo Moo,B,6,8,24.6,352,2025-04-15,QOT,6,20.56,19.99,19.94,4.11,8.25,Mamma's Gift,686,81.0
"",B,7,3,24.9,390,2025-04-11,QOT,6,22.75,22.3,21.76,6.34,6.25,Valeena Boy,667,23.0
"",B,5,8,24.9,352,2025-04-08,QOT,6,20.31,19.66,19.66,4.07,9.25,Take A Breath,445,41.0
"",B,3,5,25.2,431,2025-03-18,IPTU,NOV,26.19,25.26,24.99,14.17,13.25,Fire Ricochet,53,15.0
"",B,6,1,25.5,431,2025-02-28,IPFR,NOV,25.77,25.28,25.02,13.74,7.0,Juniper Rose,46,41.0
8. Kisses For Me,B,4,2,26.6,520,2025-06-28,QTT,M/6,30.34,29.78,29.76,5.23,8.0,Dixie Lad,5334,5.0
"",B,5,1,27.2,520,2025-06-02,QTT,6,30.76,30.08,29.76,5.27,9.75,Goldstar Dozer,5655,2.6
"",B,5,2,27.3,520,2025-05-22,QTT,6,30.65,29.77,29.39,5.14,12.5,Tempting Dash,3455,5.0
"",B,3,1,27.3,520,2025-05-15,QTT,6,30.28,29.76,29.38,5.12,7.5,Alacrity Dave,3333,1.9
"",B,8,4,27.7,520,2025-04-24,APTH,6,31.57,30.4,29.84,5.65,16.75,Marg,338,5.5
