Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Willina Charm,B,3,6,26.4,300,2025-05-03,TARE,4/5,18.15,17.69,17.37,6.73,6.5,Kiarni Terror,233,3.7
"",B,2,1,26.5,300,2025-04-26,TARE,M2/M3,17.91,17.9,17.29,6.63,0.125,Red Jenny,632,2.4
"",B,3,4,26.6,300,2025-04-19,TARE,5,18.04,17.55,17.38,6.7,7.0,My Runaway,343,9.5
"",B,1,4,26.7,300,2025-04-12,TARE,M2/M3,17.8,17.8,17.58,6.53,0.75,Norbert Bale,111,4.2
"",B,1,8,27.2,300,2025-04-05,TARE,M3,17.83,17.83,17.38,6.49,0.5,Emerald Green,311,7.0
2. Bad Boy Hunter,D,2,5,30.2,320,2025-06-14,PPK,M3,18.7,18.18,18.18,,7.5,She's Rare,3222,3.5
"",D,5,6,30.7,340,2025-05-14,GUNN,M1/M2/M3,20.59,19.57,19.57,6.68,14.5,Levings,5355,9.5
"",D,3,1,30.4,340,2025-04-30,GUNN,M2/M3,20.17,19.72,19.55,,6.25,Don't Blush Baby,4233,3.6
"",D,4,4,30.9,300,2025-04-19,TARE,5,18.08,17.85,17.38,6.59,3.25,Tralee Richie,344,3.1
"",D,2,3,31.1,300,2025-04-12,TARE,4/5,17.74,17.58,17.58,6.56,2.25,Piqued Interest,322,2.9
3. Blue Tiara,B,7,3,26.3,300,2025-06-25,TARE,4/5,18.65,17.3,17.26,6.66,19.25,Let's Go Luke,567,51.0
"",B,2,7,26.5,300,2025-06-18,TARE,M2/M3,17.68,17.57,17.33,6.58,1.5,Nangar Prue,422,21.0
"",B,7,8,26.6,400,2025-06-14,GRDN,5,23.66,22.64,22.51,11.54,14.5,Ripper Freda,577,81.0
"",B,1,3,26.4,388,2025-06-10,GOSF,M3,22.48,22.48,22.24,,0.125,Sunrise Cruiser,1,34.0
"",B,5,1,26.9,388,2025-06-07,GOSF,M3,23.4,22.37,22.21,10.8,14.5,Petrichor,6655,9.5
4. Kiarni Bolt,D,2,1,34.6,300,2025-06-25,TARE,5,17.54,17.5,17.26,6.55,0.75,She's Silky,422,4.2
"",D,1,6,35.2,300,2025-06-21,TARE,4,17.67,17.67,17.37,6.56,0.031,Majestic Tyson,441,5.0
"",D,2,4,34.3,400,2025-06-16,MAIT,5,22.61,22.38,22.15,5.29,3.25,Fortune Hunter,2222,51.0
"",D,4,4,34.6,400,2025-06-06,GRDN,5,23.42,22.96,22.82,11.46,6.5,Wade's Edge,444,61.0
"",D,4,6,34.3,300,2025-05-07,TARE,M1/M2/M3,18.24,17.72,17.29,6.92,7.5,Okey,354,21.0
5. Norbert Bale,D,4,8,36.0,300,2025-06-25,TARE,5,17.97,17.5,17.26,6.67,6.5,She's Silky,554,51.0
"",D,2,1,36.5,300,2025-04-12,TARE,M2/M3,17.84,17.8,17.58,6.66,0.75,Willina Charm,222,3.3
"",D,7,4,36.6,300,2025-04-09,TARE,5,18.17,17.61,17.33,6.85,8.0,Weekend Scotch,887,34.0
"",D,7,6,36.3,300,2025-04-05,TARE,M3,18.21,17.83,17.38,6.74,5.25,Willina Charm,167,6.0
"",D,3,7,37.0,300,2025-04-02,TARE,5,17.98,17.59,17.3,6.61,5.5,Transpose,243,31.0
6. Askey,D,6,1,29.0,300,2025-06-25,TARE,4/5,18.11,17.3,17.26,6.72,11.5,Let's Go Luke,886,34.0
"",D,3,7,28.4,300,2025-06-18,TARE,M2/M3,18.09,17.96,17.33,6.73,1.75,Key Van,453,4.8
"",D,7,6,28.9,272,2025-06-11,GRDN,4/5,16.56,15.72,15.66,4.71,12.0,Elle Robbo,577,34.0
"",D,7,1,28.2,336,2025-04-10,MUSW,M2/M3,23.23,19.62,19.11,,51.5,Key Van,777,9.0
"",D,6,8,28.1,336,2025-03-01,MUSW,M2/M3,20.28,19.46,19.46,,11.75,Keylin,2266,3.9
7. Okey,D,1,7,32.3,300,2025-06-25,TARE,FFA,17.26,17.26,17.26,6.47,3.25,Dawn Raider,631,18.0
"",D,5,4,32.1,300,2025-06-18,TARE,M2/M3,17.85,17.57,17.33,6.76,4.0,Nangar Prue,665,3.0
"",D,8,3,31.8,324,2025-06-12,RICS,M2/M3,18.5,17.72,17.54,7.24,11.0,Silver Session,8788,10.0
"",D,3,6,32.0,388,2025-06-03,GOSF,M1/M2/M3,22.81,21.99,21.91,10.57,11.75,Federal Aussie,33,7.0
"",D,1,7,32.2,300,2025-05-07,TARE,M1/M2/M3,17.72,17.72,17.29,6.61,2.75,Blazin' Bad Zula,421,4.4
8. Key Van,D,1,1,29.1,300,2025-06-18,TARE,M2/M3,17.96,17.96,17.33,6.65,0.75,Tricky Toodles,331,3.5
"",D,7,6,29.2,324,2025-06-12,RICS,M2/M3,18.41,17.72,17.54,7.23,9.75,Silver Session,2677,101.0
"",D,7,6,29.5,324,2025-06-05,RICS,5,18.27,17.63,17.63,7.19,9.25,Tarawi Pringle,5777,101.0
"",D,5,7,29.8,324,2025-05-29,RICS,M3,18.43,17.83,17.57,7.28,8.5,Silver Session,4665,41.0
"",D,8,6,29.5,336,2025-05-17,MUSW,M1/M2/M3,20.08,19.35,19.15,,10.25,King Kainane,8,26.0
9. Katie's Portrait,B,7,9,27.2,324,2025-06-26,RICS,M3,18.33,18.02,17.63,7.26,4.25,Rockstar Apollo,1567,101.0
"",B,5,4,27.0,300,2025-06-21,TARE,4,18.14,17.67,17.37,6.48,6.5,Kiarni Bolt,125,34.0
"",B,7,5,26.1,320,2025-05-30,RICH,M3,19.13,18.6,18.18,2.21,7.5,Mick's Pick,1127,41.0
"",B,3,2,26.1,365,2025-05-26,NOWR,M3,21.71,21.58,20.3,8.76,1.75,Dawny Dream,13,13.0
"",B,7,3,26.1,401,2025-05-23,RICH,M3,24.12,23.37,22.67,6.81,10.5,Pavlov Bale,1137,31.0
