Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Vinales,D,4,6,32.7,601,2025-06-21,CANN,OPEN,35.09,34.65,34.55,10.28,6.25,ASTON SMOKEY,666664,8.0
"",D,1,2,33.0,715,2025-06-14,CANN,4/5,41.99,41.99,41.99,5.71,10.75,Hippy Trail,321111,1.45
"",D,3,5,33.0,652,2025-05-30,MAND,OPEN,37.18,37.12,37.12,14.52,0.75,BORACAY SUMMER,44443,7.5
"",D,1,2,33.1,652,2025-05-23,MAND,OPEN,37.31,37.31,37.01,14.56,1.75,BORACAY SUMMER,64441,4.0
"",D,1,2,33.1,601,2025-05-17,CANN,5,34.74,34.74,34.74,9.97,0.125,Sunset Serengeti,643221,2.9
2. Sunset Serengeti,B,3,2,26.8,601,2025-06-21,CANN,OPEN,34.88,34.65,34.55,9.78,3.25,ASTON SMOKEY,232223,6.5
"",B,2,2,27.1,520,2025-06-14,CANN,4/5,29.86,29.67,29.57,5.5,2.5,Timmy Tesla,32222,4.6
"",B,1,6,27.5,520,2025-05-24,CANN,4/5,29.94,29.94,29.76,5.51,3.0,Iconic Jet,11111,15.0
"",B,2,1,27.6,601,2025-05-17,CANN,5,34.75,34.74,34.74,9.74,0.125,Vinales,311112,2.6
"",B,3,3,27.7,520,2025-05-10,CANN,4/5,30.17,30.07,29.7,5.62,1.5,Sunset Capone,44333,8.0
3. Fast Byte,B,2,1,30.2,601,2025-06-21,CANN,OPEN,34.85,34.65,34.55,9.88,2.75,ASTON SMOKEY,444332,9.5
"",B,6,8,30.2,520,2025-06-11,CANN,5,30.41,29.87,29.87,5.54,7.75,Simple Sally,58776,7.5
"",B,2,1,30.0,520,2025-06-04,CANN,5,30.26,30.26,29.9,5.61,0.031,Simple Sally,55442,3.3
"",B,5,6,30.3,520,2025-05-24,CANN,OPEN,30.77,30.25,29.76,5.72,7.5,Sunset Owlet,88755,6.0
"",B,3,5,30.4,488,2025-05-09,MAND,OPEN,27.63,27.54,27.23,5.93,1.25,Rosie Browne,7753,3.8
4. Rapido Jedi,D,4,1,31.4,601,2025-06-21,CANN,OPEN,35.23,34.55,34.55,9.8,9.75,Bezzecchi,126444,5.5
"",D,3,6,31.8,520,2025-06-14,CANN,5,30.05,29.76,29.57,5.55,4.25,Junk Yard Clyde,34443,5.0
"",D,5,3,31.8,520,2025-06-07,CANN,OPEN,29.95,29.64,29.56,5.6,4.25,West On Sidney,66665,14.0
"",D,6,4,31.7,601,2025-04-12,CANN,5,35.49,34.7,34.68,9.91,11.25,Sunset Serengeti,446666,2.75
"",D,5,8,31.4,520,2025-04-05,CANN,OPEN,30.08,29.73,29.29,5.57,5.0,Bezzecchi,32455,8.5
5. Bezzecchi,D,1,4,28.8,601,2025-06-21,CANN,OPEN,34.55,34.55,34.55,9.81,0.125,Sunset Comanche,331111,3.0
"",D,1,2,29.1,520,2025-06-14,CANN,OPEN,29.57,29.57,29.57,5.61,0.25,Mailata,62221,4.2
"",D,1,1,28.9,520,2025-06-07,CANN,OPEN,29.56,29.56,29.56,5.61,0.125,Fire Lighter,63321,2.65
"",D,3,4,29.0,520,2025-05-31,CANN,FFA,29.9,29.73,29.6,5.65,2.25,Sunset Hornet,77543,2.9
"",D,2,1,28.7,520,2025-05-24,CANN,FFA,30.46,30.44,29.76,5.69,0.25,Spooky Hook,86652,1.85
6. Canya Bypass,D,3,6,32.8,601,2025-06-21,CANN,OPEN,35.09,34.55,34.55,10.03,7.75,Bezzecchi,765333,51.0
"",D,6,5,32.7,520,2025-06-11,CANN,5/6,30.37,30.06,29.87,5.64,4.25,West On Gnocchi,56666,3.9
"",D,1,9,32.8,520,2025-06-04,CANN,NOV,29.98,29.98,29.9,5.62,3.0,Oliver Grande,22211,8.5
"",D,8,6,33.1,520,2025-05-24,CANN,OPEN,33.93,29.76,29.76,5.59,59.5,Mailata,78888,51.0
"",D,2,4,33.2,520,2025-05-17,CANN,OPEN,29.87,29.82,29.47,5.75,0.75,Echoes Of Dad,76532,19.0
7. Sunset Comanche,D,2,3,36.9,601,2025-06-21,CANN,OPEN,34.56,34.55,34.55,9.72,0.125,Bezzecchi,212222,13.0
"",D,5,4,36.9,488,2025-06-13,MAND,FFA,27.92,27.64,27.64,5.99,4.0,Sunset Hornet,8885,10.0
"",D,1,7,37.1,601,2025-06-07,CANN,5,34.36,34.36,34.3,9.67,11.5,Timon Lane,111111,3.0
"",D,3,4,37.1,601,2025-05-31,CANN,5,35.19,35.02,34.88,10.12,2.25,Lady Sherwood,665443,3.5
"",D,1,4,36.9,601,2025-05-24,CANN,4/5,34.79,34.79,34.79,9.71,2.25,Panadero Magic,112211,7.5
8. ASTON SMOKEY,D,1,4,32.9,601,2025-06-21,CANN,OPEN,34.65,34.65,34.55,9.67,2.75,Fast Byte,111111,3.9
"",D,1,8,32.8,601,2025-06-14,CANN,4/5,34.46,34.46,34.46,9.7,6.0,King Kuna,221111,2.7
"",D,1,2,33.1,509,2025-06-09,NOR,FFA,29.28,29.28,29.28,5.84,2.5,Fletcher Keeping,32221,1.8
"",D,2,5,33.2,601,2025-05-31,CANN,5,35.09,35.02,34.88,10.06,1.0,Lady Sherwood,353322,2.8
"",D,7,6,33.0,520,2025-05-24,CANN,5,30.72,29.96,29.76,5.67,10.75,Arbolino,67777,10.0
9. West On Prancer,B,5,3,28.0,601,2025-06-21,CANN,OPEN,35.11,34.65,34.55,10.11,6.5,ASTON SMOKEY,555555,21.0
"",B,3,4,28.1,488,2025-06-13,MAND,4/5,28.22,27.8,27.64,5.94,6.0,All About Stone,6563,3.3
"",B,3,10,27.6,520,2025-05-24,CANN,OPEN,30.48,30.25,29.76,5.71,3.25,Sunset Owlet,76543,9.5
"",B,7,1,27.7,520,2025-05-17,CANN,5,30.62,29.76,29.47,5.72,12.25,Disco Daisy,77667,2.45
"",B,5,5,27.8,601,2025-05-03,CANN,5,35.1,34.56,34.39,10.04,7.75,Loan Shark,756555,2.65
10. West On Sidney,D,5,8,35.8,601,2025-06-21,CANN,OPEN,35.25,34.55,34.55,9.86,10.0,Bezzecchi,644555,2.0
"",D,3,4,35.6,520,2025-06-14,CANN,OPEN,29.66,29.57,29.57,5.62,1.25,Bezzecchi,74333,2.6
"",D,1,7,35.6,520,2025-06-07,CANN,OPEN,29.64,29.64,29.56,5.66,2.0,Sunset Capone,85541,2.7
"",D,1,2,35.3,520,2025-05-31,CANN,5,29.67,29.67,29.6,5.6,4.75,Canya Romance,63321,1.32
"",D,1,2,35.2,520,2025-05-24,CANN,5,30.07,30.07,29.76,5.71,1.25,BEAUTIFUL STORY,54331,1.45
