Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Be The Best,D,6,3,36.5,340,2025-07-08,HOBT,MI4/5MA,20.14,19.39,19.39,5.52,10.5,Cadia Gold,6,15.0
"",D,6,8,36.0,515,2025-06-30,LCTN,MI4/5MA,30.7,30.03,29.54,5.35,9.5,Whiskey Turbo,6,51.0
"",D,4,6,35.4,340,2025-06-19,HOBT,MI4/5MA,20.06,19.59,19.4,5.3,6.5,Get Noticed,4,17.0
"",D,2,3,35.5,461,2025-06-12,HOBT,MI4/5MA,26.59,26.46,25.62,5.26,1.75,Lizzy Milici,2,8.0
"",D,5,7,35.1,278,2025-06-10,LCTN,5,16.59,16.04,15.91,5.26,7.75,No Deal,25,26.0
2. Summer Owl,B,7,7,25.8,340,2025-07-08,HOBT,MI4/5MA,20.34,19.65,19.39,5.4,9.75,Roxy Rocker,7,101.0
"",B,5,2,25.2,278,2025-07-01,LCTN,MI4/5MA,16.69,16.09,15.91,5.27,8.5,Paco,25,18.0
"",B,7,2,26.1,340,2025-06-05,HOBT,MI4/5MA,20.39,19.51,19.51,5.37,12.5,Gas Lock,27,31.0
"",B,6,8,25.7,278,2025-05-27,LCTN,MI4/5MA,16.87,16.36,15.95,5.28,7.25,Bridwood Jack,6,12.0
"",B,6,9,26.3,340,2025-05-08,HOBT,MI4/5MA,20.08,19.52,19.16,5.3,8.0,Blackpool Aries,6,81.0
3. Mighty Quinn,D,3,3,33.5,599,2025-06-19,HOBT,SE,34.2,33.86,33.86,5.3,4.75,Red Day,3,4.6
"",D,5,4,33.5,461,2025-06-12,HOBT,INV,26.01,25.62,25.62,5.36,5.5,Dealer,5,16.0
"",D,1,2,33.5,599,2025-06-05,HOBT,FFA,34.3,34.3,34.3,5.28,0.25,Supreme Leader,1,2.0
"",D,4,5,33.6,600,2025-05-26,LCTN,BT8,35.04,34.94,34.94,9.64,1.5,Red Day,44,3.2
"",D,2,7,33.8,515,2025-05-20,LCTN,2/3,29.53,29.49,29.49,5.31,0.75,Dealer,2,5.0
4. Princess Cruiser,B,3,8,27.1,340,2025-07-08,HOBT,MI4/5MA,19.94,19.39,19.39,5.2,7.75,Cadia Gold,3,31.0
"",B,7,7,26.8,278,2025-07-01,LCTN,4,16.82,15.91,15.91,5.27,13.0,Peco,37,101.0
"",B,6,1,26.6,278,2025-06-10,LCTN,INV,16.59,16.01,15.91,5.07,8.25,Lady Juliette,6,71.0
"",B,7,7,26.6,278,2025-05-12,LCTN,5,16.85,16.04,16.0,5.2,11.5,CHALUPA BATMAN,27,21.0
"",B,5,4,26.5,278,2025-05-05,LCTN,MI4/5MA,16.7,16.23,16.05,5.13,6.5,Blackpool Aries,5,6.0
5. Staunch,D,6,5,32.5,515,2025-07-07,LCTN,MI4/5MA,31.13,30.1,29.77,5.3,14.5,Whisky Barrel,6,41.0
