Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Tell Me Again,B,1,2,26.5,401,2025-06-29,RICH,M1/M2/M3,22.88,22.88,22.81,6.65,1.75,Snowman,1111,1.6
"",B,2,6,26.7,320,2025-06-22,RICH,M1/M2/M3,18.45,18.3,18.29,2.16,2.0,Running Reds,3332,1.75
"",B,1,5,27.0,401,2025-06-15,RICH,M1/M2/M3,22.75,22.75,22.44,6.58,4.0,Solo Fernando,1111,2.8
"",B,1,5,27.0,297,2025-06-05,DAPT,M2/M3,16.96,16.96,16.96,5.28,4.25,Ebony Panda,111,1.5
"",B,3,3,27.1,297,2025-05-29,DAPT,M2/M3,17.43,17.28,17.0,5.36,2.0,Ninja Mac,133,1.6
2. Aria's Dream,B,1,2,26.0,365,2025-06-23,NOWR,M1/M2/M3,20.63,20.63,20.47,8.52,1.0,War Hawk,11,2.1
"",B,1,2,26.2,297,2025-06-19,DAPT,M1/M2/M3,17.07,17.07,17.07,5.41,5.25,Ninja Mac,111,1.4
"",B,1,6,26.0,365,2025-06-09,NOWR,M1/M2/M3,21.2,21.2,20.5,8.71,0.125,Ravid Ruby,11,1.5
"",B,1,4,26.0,297,2025-05-29,DAPT,4/5,17.0,17.0,17.0,5.28,3.75,Batgirl,211,2.1
"",B,1,2,26.0,297,2025-05-15,DAPT,M1/M2/M3,16.89,16.89,16.89,5.31,1.5,Ninja Mac,111,1.55
4. Jake Peralta,D,1,5,35.1,297,2025-06-26,DAPT,M3,16.98,16.98,16.98,5.37,6.25,Ebony Dancer,111,4.4
"",D,4,6,34.7,297,2025-06-19,DAPT,M1/M2/M3,17.54,17.07,17.07,5.55,6.5,Aria's Dream,444,16.0
"",D,6,5,34.5,297,2025-06-12,DAPT,M3,17.87,17.15,16.92,5.45,10.25,Skedaddle Addie,466,6.5
"",D,5,8,35.4,297,2025-05-15,DAPT,M1/M2/M3,17.52,16.89,16.89,5.52,9.0,Aria's Dream,655,7.5
"",D,5,9,36.4,297,2025-03-20,DAPT,M1/M2/M3,17.72,17.15,16.71,5.47,8.25,Quantifiable,555,11.0
5. Calamity Joe,D,2,4,31.5,297,2025-06-26,DAPT,5,17.29,17.19,16.98,5.31,1.5,Anxious Lass,122,5.0
"",D,3,3,32.3,297,2025-06-19,DAPT,M1/M2/M3,17.43,17.07,17.07,5.46,5.25,Aria's Dream,233,5.5
"",D,3,1,31.8,297,2025-06-12,DAPT,5,17.09,16.92,16.92,5.4,2.25,Dynamic Sunny,333,12.0
"",D,3,4,32.6,297,2025-05-15,DAPT,M1/M2/M3,17.15,16.89,16.89,5.32,3.75,Aria's Dream,233,31.0
"",D,8,6,32.1,297,2025-05-08,DAPT,5,18.11,17.04,16.92,5.5,15.25,Bobby Ville,288,101.0
7. Ninja Mac,D,2,7,33.0,297,2025-06-19,DAPT,M1/M2/M3,17.43,17.07,17.07,5.47,5.25,Aria's Dream,322,6.0
"",D,1,8,32.7,297,2025-05-29,DAPT,M2/M3,17.28,17.28,17.0,5.49,1.25,Ebony Panda,411,3.4
"",D,2,5,32.9,297,2025-05-15,DAPT,M1/M2/M3,16.99,16.89,16.89,5.4,1.5,Aria's Dream,322,3.7
"",D,1,3,32.9,297,2025-05-08,DAPT,M3,17.0,17.0,16.92,5.42,5.75,Ebony Dancer,111,2.5
"",D,5,6,32.7,297,2025-04-24,DAPT,M3,17.63,17.35,17.04,5.51,4.0,Fiery Ruby,655,4.4
8. Slick Honey,B,8,8,27.9,318,2025-06-14,DUBO,5,19.43,18.59,18.17,4.89,12.0,Denawen Beach,6888,10.0
"",B,8,3,28.1,318,2025-06-07,DUBO,5,19.16,18.62,18.23,4.97,7.75,Kiando Diva,7888,34.0
"",B,4,6,27.9,318,2025-05-31,DUBO,5,19.26,18.73,18.11,4.95,7.5,Get Fully Loaded,6444,15.0
"",B,1,6,27.8,318,2025-05-26,DUBO,M2/M3,18.58,18.58,18.47,4.73,2.25,Loads Of Promise,2111,23.0
"",B,8,4,28.2,388,2025-05-20,GOSF,M2/M3,23.77,22.48,22.02,10.93,18.25,Speedy Pebbles,7888,71.0
