Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Tango Anna,B,2,7,24.7,320,2025-07-14,WAGA,4/5,18.83,18.3,18.08,,7.5,All Things Go,2,3.5
"",B,4,4,25.2,525,2025-06-27,WAGA,4/5,30.79,30.36,30.36,5.22,6.0,Ozzie Nick,4,26.0
"",B,6,2,25.5,525,2025-06-20,WAGA,NG,30.98,30.48,30.48,5.26,7.0,Zadie Bale,6,19.0
"",B,5,5,25.3,400,2025-06-13,WAGA,5,23.55,23.16,22.87,,5.5,Rowan,5,7.0
"",B,2,4,24.8,525,2025-06-06,WAGA,5,30.61,30.47,30.47,5.23,2.0,Stew Bob,2,5.5
2. Flex Up,B,4,5,25.8,330,2025-07-02,TEMA,M2/M3,19.38,18.92,18.71,,6.5,Orson Jimmy,4,101.0
"",B,8,6,25.8,525,2025-06-20,WAGA,NG,31.46,30.48,30.48,5.56,14.0,Zadie Bale,8,71.0
"",B,3,8,25.6,525,2025-06-13,WAGA,5,31.36,31.2,31.2,5.36,2.25,ASTON PAYCHECK,3,17.0
"",B,3,8,25.9,400,2025-06-06,WAGA,5,23.39,22.88,22.81,,7.25,Rowan,3,18.0
"",B,5,8,25.9,525,2025-05-30,WAGA,5,31.14,30.7,30.56,5.37,6.25,Tango Anna,5,41.0
3. ZIPPING TAMIKA,B,3,6,28.5,450,2025-05-15,WAR,Grade 5,25.731,25.36,25.298,,5.75,MORAINE ARIANA,3,16.0
"",B,5,5,28.9,410,2025-05-06,HOR,Grade 5,23.733,23.488,23.111,,3.75,SOMETHING GOOD,5,7.5
"",B,6,4,28.8,410,2025-04-29,HOR,Grade 5,23.669,23.021,23.021,,9.75,SOLAR SPECTRUM,6,8.0
"",B,4,3,28.8,410,2025-04-22,HOR,Grade 5,23.6,23.326,23.326,,4.25,PAW XENA,4,6.5
"",B,1,6,29.0,435,2025-04-13,SAL,Grade 5,24.718,24.718,24.129,5.371,1.25,PAW UCARTY,1,4.8
4. Rowan,D,8,5,29.4,520,2025-07-12,W/PK,5,30.83,29.82,29.56,5.6,14.25,Tiki Magic,6578,13.0
"",D,1,6,29.5,400,2025-06-27,WAGA,4/5,22.8,22.8,22.8,,9.25,ASTON VALERIA,1,1.55
"",D,1,8,29.6,400,2025-06-20,WAGA,4/5,22.82,22.82,22.82,,5.25,Let's Go Dean,1,3.3
"",D,1,8,29.5,400,2025-06-13,WAGA,5,23.16,23.16,22.87,,1.25,Chasin' Opie,1,3.4
"",D,1,1,29.2,400,2025-06-09,WAGA,5,23.42,23.42,23.42,,1.0,Peaceful Ruler,1,1.28
5. King Of Asgard,D,2,6,31.4,400,2025-06-27,WAGA,5,23.41,23.1,22.8,,4.25,Lady Amron,2,6.0
"",D,1,1,30.7,320,2025-06-16,WAGA,5,18.31,18.31,18.31,,3.25,Rupee Shark,1,2.5
"",D,2,4,30.3,320,2025-06-13,WAGA,5,18.55,18.46,18.42,,1.25,All Things Go,2,3.7
"",D,4,7,30.2,320,2025-06-09,WAGA,5,19.19,18.52,18.22,,9.5,All Things Go,4,4.0
"",D,2,1,30.4,320,2025-06-06,WAGA,5,18.67,18.62,18.28,,0.75,EIGHT OLD MATES,2,3.5
6. XIRA BALE,B,5,4,30.0,318,2025-07-12,DUBO,3/4,18.64,18.28,18.28,4.82,5.25,Armatree Violet,4555,9.0
"",B,4,1,30.3,350,2025-06-20,GOUL,NG1-4,20.43,19.8,19.74,,9.0,YOGEN BALE,7734,23.0
"",B,5,2,30.2,520,2025-06-12,DAPT,5,30.51,30.26,29.83,5.78,3.5,Mrs Dimaggio,6555,15.0
"",B,3,2,30.3,525,2025-06-06,WAGA,5,31.02,30.47,30.47,5.39,7.75,Stew Bob,3,8.5
"",B,3,2,30.2,525,2025-05-30,WAGA,5,30.94,30.56,30.56,5.36,5.25,Stew Bob,3,10.0
7. Let's Go Wham,D,6,6,34.3,525,2025-06-27,WAGA,5,31.44,30.57,30.36,5.43,12.25,STAPLETON,6,4.2
"",D,3,4,34.5,400,2025-06-20,WAGA,5,23.61,23.3,22.82,,4.25,Summer Faith,3,2.3
"",D,1,4,34.7,400,2025-06-13,WAGA,5,23.01,23.01,22.87,,11.5,Summer Faith,1,2.5
"",D,4,6,34.9,525,2025-06-06,WAGA,5,31.06,30.47,30.47,5.41,8.25,Stew Bob,4,31.0
"",D,4,6,34.7,525,2025-05-30,WAGA,5,31.11,30.56,30.56,5.34,7.75,Stew Bob,4,23.0
8. STAPLETON,D,5,3,35.5,457,2025-07-09,TEMA,4/5,26.23,25.79,25.73,,6.25,Son Of Bianca,5,44.6
"",D,1,4,35.6,525,2025-06-27,WAGA,5,30.57,30.57,30.36,5.43,0.75,For Real Faith,1,2.2
"",D,3,1,35.9,457,2025-06-25,TEMA,5,26.31,26.16,26.16,,2.0,Gold Revolver,3,5.0
"",D,4,6,35.9,457,2025-06-18,TEMA,5,26.02,25.5,25.5,,7.5,Son Of Bianca,4,58.2
"",D,5,8,35.7,520,2025-06-14,W/PK,5,30.49,29.92,29.63,5.67,8.25,Taw Galaxy,5465,10.0
9. Magic Eclipse,B,5,7,28.6,400,2025-06-13,WAGA,5,23.34,22.87,22.87,,6.5,Aunty Meeka,5,26.0
"",B,4,6,28.4,320,2025-06-09,WAGA,NG1-4,18.75,18.22,18.22,,7.5,Tiggerlong Bingo,4,101.0
"",B,3,2,28.1,320,2025-06-06,WAGA,5,18.77,18.62,18.28,,2.0,EIGHT OLD MATES,3,26.0
"",B,6,7,28.5,525,2025-02-21,WAGA,4/5,31.31,30.36,30.36,5.53,13.5,Let's Go Frosty,6,41.0
"",B,6,5,28.3,400,2025-01-31,WAGA,5,23.87,22.93,22.92,,13.25,ELITE DOM,6,8.0
