Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. RAPIDO MYSTIQUE,B,3,8,25.6,275,2025-07-16,CANN,5,16.5,16.29,15.88,5.71,3.0,Ita Keeping,333,5.5
"",B,1,8,26.0,275,2025-07-09,CANN,6,16.24,16.24,16.19,5.68,0.75,Unique Jasmine,111,3.3
"",B,8,3,26.2,400,2025-05-22,MAND,6,23.49,23.08,22.73,6.58,5.75,Wise Koonac,678,5.0
"",B,6,5,26.5,400,2025-05-15,MAND,5,23.35,22.61,22.61,6.48,10.5,Go Gettem Croker,666,17.0
"",B,8,5,26.4,400,2025-05-01,MAND,5,23.19,22.65,22.62,6.56,7.75,Gnarly Nala,788,9.0
2. Harmony Rhythm,B,1,3,27.5,381,2025-07-12,CANN,NOV,22.12,22.12,22.05,6.64,1.0,Sunset Buckles,1111,8.5
"",B,5,3,27.7,381,2025-07-05,CANN,NOV,22.34,22.08,22.08,6.7,3.75,Pure Love,4455,6.5
"",B,1,2,27.8,381,2025-06-28,CANN,NOV,22.02,22.02,21.87,6.69,3.25,Speedy Deville,3111,8.5
"",B,4,8,27.8,381,2025-06-21,CANN,NOV,22.45,22.15,22.04,6.91,4.25,Speedy Deville,5554,21.0
"",B,6,8,27.8,381,2025-06-14,CANN,NOV,22.35,21.91,21.65,6.78,6.25,Tori Keeping,6666,14.0
3. Reggae Melody,D,1,2,30.9,381,2025-07-16,CANN,5,22.15,22.15,22.15,6.65,1.5,Flash Code,2111,6.5
"",D,4,1,30.9,381,2025-07-09,CANN,5/6,22.38,22.12,21.9,6.76,3.75,Wheel Around,5554,3.3
"",D,3,3,31.1,381,2025-07-02,CANN,5/6,22.17,21.79,21.67,6.63,5.25,Killer Kelly,3333,6.5
"",D,1,2,31.1,381,2025-06-25,CANN,5/6,22.23,22.23,21.63,6.81,0.75,JACOBY BALE,3111,11.0
"",D,6,8,31.0,381,2025-06-18,CANN,5/6,22.42,21.97,21.72,6.76,6.25,JACOBY BALE,7676,20.0
4. Binnaway Oak,D,3,5,30.5,381,2025-07-16,CANN,5,22.32,22.15,22.15,6.63,2.25,Reggae Melody,1233,11.0
"",D,2,5,30.8,400,2025-06-25,GAWL,SE,23.09,23.07,22.87,8.79,0.25,Find The Sun,2222,1.55
"",D,1,6,30.2,400,2025-06-18,GAWL,SE,22.9,22.9,22.49,8.79,5.75,Back To Work,1,1.4
"",D,5,2,30.1,400,2025-06-11,GAWL,TG1-4W,23.77,23.24,22.87,9.03,7.5,OUR IVIE ROSE,5,3.0
"",D,3,2,29.9,400,2025-06-04,GAWL,6,23.23,23.0,22.71,8.98,3.25,It's A Freeze,5333,3.6
5. Pure Love,B,1,2,24.0,381,2025-07-19,CANN,NOV,22.11,22.11,21.85,6.74,1.0,Majora's Mask,2211,5.0
"",B,3,7,24.0,381,2025-07-12,CANN,NOV,22.38,22.12,22.05,6.89,3.75,Harmony Rhythm,7543,11.0
"",B,1,8,23.7,381,2025-07-05,CANN,NOV,22.08,22.08,22.08,6.7,1.0,Majora's Mask,3321,11.0
"",B,4,6,23.8,381,2025-06-28,CANN,NOV,22.43,22.02,21.87,6.91,5.75,Harmony Rhythm,7774,13.0
"",B,5,1,23.7,381,2025-06-21,CANN,NOV,22.65,22.15,22.04,7.21,7.0,Speedy Deville,8875,7.5
6. Cheers Jax,D,1,1,32.7,381,2025-07-09,CANN,6,21.9,21.9,21.9,6.48,5.5,El Bandaleros,1111,1.5
